"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"4";"34";"0";"33";"0";"0";"0";"39";"0";"390";"0";"0";"0"
"Random";"Minimal";"Minimal";"4";"25";"0";"25";"0";"0";"0";"24";"0";"240";"0";"0";"0"
"Random";"Minimal";"Maximum";"4";"26";"0";"26";"0";"0";"0";"29";"0";"290";"0";"0";"0"
"Random";"Minimal";"Median";"4";"25";"0";"25";"0";"0";"0";"23";"0";"230";"0";"0";"0"
"Random";"Maximum";"Minimal";"4";"26";"0";"26";"0";"0";"0";"29";"0";"290";"0";"0";"0"
"Random";"Maximum";"Maximum";"4";"27";"0";"27";"0";"0";"0";"29";"0";"290";"0";"0";"0"
"Random";"Maximum";"Median";"4";"28";"0";"28";"0";"0";"0";"33";"0";"330";"0";"0";"0"
"Random";"Median";"Minimal";"4";"25";"0";"25";"0";"0";"0";"23";"0";"230";"0";"0";"0"
"Random";"Median";"Maximum";"4";"28";"0";"28";"0";"0";"0";"33";"0";"330";"0";"0";"0"
"Random";"Median";"Median";"4";"26";"0";"26";"0";"0";"0";"26";"0";"260";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"4";"15";"0";"14";"0";"0";"0";"11";"0";"110";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"4";"15";"0";"15";"0";"0";"0";"13";"0";"130";"0";"0";"0"
"Bipartite";"Minimal";"Median";"4";"15";"0";"14";"0";"0";"0";"11";"0";"110";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"4";"15";"0";"15";"0";"0";"0";"13";"0";"130";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"4";"27";"0";"27";"0";"0";"0";"51";"0";"510";"0";"0";"0"
"Bipartite";"Maximum";"Median";"4";"17";"0";"17";"0";"0";"0";"23";"0";"230";"0";"0";"0"
"Bipartite";"Median";"Minimal";"4";"15";"0";"14";"0";"0";"0";"11";"0";"110";"0";"0";"0"
"Bipartite";"Median";"Maximum";"4";"17";"0";"17";"0";"0";"0";"23";"0";"230";"0";"0";"0"
"Bipartite";"Median";"Median";"4";"17";"0";"17";"0";"0";"0";"15";"0";"150";"0";"0";"0"
