"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"7";"12416";"0";"12103";"88";"104";"0";"4020";"0";"40200";"0";"0";"0"
"Random";"Minimal";"Minimal";"7";"2653";"0";"2372";"95";"108";"0";"683";"0";"6830";"0";"0";"0"
"Random";"Minimal";"Maximum";"7";"3656";"0";"2631";"185";"380";"0";"1027";"0";"10270";"0";"0";"0"
"Random";"Minimal";"Median";"7";"2797";"1";"2447";"86";"116";"0";"664";"0";"6640";"0";"0";"0"
"Random";"Maximum";"Minimal";"7";"3407";"0";"2780";"111";"228";"0";"1126";"0";"11260";"0";"0";"0"
"Random";"Maximum";"Maximum";"7";"3468";"0";"3333";"27";"47";"0";"1920";"0";"19200";"0";"0";"0"
"Random";"Maximum";"Median";"7";"3045";"0";"2929";"31";"45";"0";"1630";"0";"16300";"0";"0";"0"
"Random";"Median";"Minimal";"7";"3349";"0";"2468";"181";"313";"0";"717";"0";"7170";"0";"0";"0"
"Random";"Median";"Maximum";"7";"2974";"0";"2933";"13";"17";"0";"1558";"0";"15580";"0";"0";"0"
"Random";"Median";"Median";"7";"2631";"0";"2553";"6";"22";"0";"731";"0";"7310";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"7";"1750";"0";"148";"150";"496";"0";"121";"0";"1210";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"7";"1742";"0";"325";"152";"441";"0";"598";"0";"5980";"0";"0";"0"
"Greedy";"Minimal";"Median";"7";"1323";"0";"251";"125";"328";"0";"182";"0";"1820";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"7";"1694";"0";"325";"148";"425";"0";"601";"0";"6010";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"7";"2773";"1";"2656";"7";"22";"0";"3056";"0";"30560";"0";"0";"0"
"Greedy";"Maximum";"Median";"7";"1557";"0";"703";"86";"262";"0";"807";"0";"8070";"0";"0";"0"
"Greedy";"Median";"Minimal";"7";"1288";"0";"254";"128";"335";"0";"208";"0";"2080";"0";"0";"0"
"Greedy";"Median";"Maximum";"7";"1496";"0";"698";"80";"252";"0";"838";"0";"8380";"0";"0";"0"
"Greedy";"Median";"Median";"7";"1111";"0";"582";"57";"168";"0";"476";"0";"4760";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"7";"3274";"0";"3176";"10";"31";"0";"1773";"0";"17730";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"7";"3560";"0";"3480";"8";"27";"0";"2702";"0";"27020";"0";"0";"0"
"Bipartite";"Minimal";"Median";"7";"3106";"0";"3071";"4";"11";"0";"1707";"0";"17070";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"7";"3598";"0";"3480";"14";"41";"0";"2704";"0";"27040";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"7";"5178";"0";"5151";"2";"8";"0";"5327";"0";"53270";"0";"0";"0"
"Bipartite";"Maximum";"Median";"7";"3830";"0";"3790";"7";"14";"0";"3258";"0";"32580";"0";"0";"0"
"Bipartite";"Median";"Minimal";"7";"3156";"0";"3137";"0";"6";"0";"1737";"0";"17370";"0";"0";"0"
"Bipartite";"Median";"Maximum";"7";"3830";"1";"3790";"7";"14";"0";"3258";"0";"32580";"0";"0";"0"
"Bipartite";"Median";"Median";"7";"3448";"0";"3424";"4";"10";"0";"1912";"0";"19120";"0";"0";"0"
