"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"8";"11355";"4";"585";"2982";"6677";"0";"1082";"0";"10820";"0";"0";"0"
"0";"0";"0.4";"1";"8";"4544";"2";"588";"1064";"2261";"0";"1022";"0";"10220";"0";"0";"0"
"0";"0";"0.7";"1";"8";"3159";"1";"586";"586";"1268";"0";"1091";"0";"10910";"0";"0";"0"
"0";"0";"1.0";"1";"8";"2384";"0";"608";"249";"882";"0";"1098";"4";"11020";"0";"0";"0"
"0";"0";"1.3";"1";"8";"1824";"1";"578";"194";"532";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"1.6";"1";"8";"1885";"0";"542";"200";"545";"0";"1048";"0";"10480";"0";"0";"0"
"0";"0";"1.9";"1";"8";"1738";"0";"566";"167";"465";"0";"1034";"0";"10340";"0";"0";"0"
"0";"0";"2.2";"1";"8";"1607";"1";"561";"126";"376";"0";"1052";"0";"10520";"0";"0";"0"
"0";"0";"2.5";"1";"8";"1499";"0";"550";"115";"341";"0";"1080";"0";"10800";"0";"0";"0"
"0";"0";"2.8";"1";"8";"1588";"0";"572";"127";"391";"0";"1065";"0";"10650";"0";"0";"0"
"0";"0";"3.1";"1";"8";"1500";"1";"575";"110";"333";"0";"1061";"0";"10610";"0";"0";"0"
"0";"0";"3.4";"1";"8";"1500";"0";"575";"110";"333";"0";"1061";"0";"10610";"0";"0";"0"
"0";"0";"3.7";"1";"8";"1500";"0";"575";"110";"333";"0";"1061";"0";"10610";"0";"0";"0"
"0";"0";"4.0";"1";"8";"1499";"1";"651";"83";"273";"0";"1176";"0";"11760";"0";"0";"0"
"0";"0";"4.3";"1";"8";"1412";"0";"619";"85";"260";"0";"1136";"0";"11360";"0";"0";"0"
"0";"0";"4.6";"1";"8";"1394";"0";"619";"82";"250";"0";"1136";"0";"11360";"0";"0";"0"
"0";"0";"4.9";"1";"8";"1394";"0";"619";"82";"250";"0";"1136";"0";"11360";"0";"0";"0"
"0";"0";"5.2";"1";"8";"1308";"0";"636";"75";"210";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"5.5";"1";"8";"1308";"0";"636";"75";"210";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"5.8";"1";"8";"1308";"1";"636";"75";"210";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"6.1";"1";"8";"1273";"0";"636";"70";"201";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"6.4";"1";"8";"1273";"0";"636";"70";"201";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"6.7";"1";"8";"1273";"0";"636";"70";"201";"0";"1059";"0";"10590";"0";"0";"0"
"0";"0";"7.0";"1";"8";"1346";"1";"671";"70";"206";"0";"1151";"0";"11510";"0";"0";"0"
"0";"0";"7.3";"1";"8";"1365";"0";"665";"71";"214";"0";"1139";"0";"11390";"0";"0";"0"
"0";"0";"7.6";"1";"8";"1365";"0";"665";"71";"214";"0";"1139";"0";"11390";"0";"0";"0"
"0";"0";"7.9";"1";"8";"1365";"1";"665";"71";"214";"0";"1139";"0";"11390";"0";"0";"0"
"0";"0";"8.2";"1";"8";"1391";"0";"663";"71";"215";"0";"1156";"0";"11560";"0";"0";"0"
"0";"0";"8.5";"1";"8";"1391";"0";"663";"71";"215";"0";"1156";"0";"11560";"0";"0";"0"
"0";"0";"8.8";"1";"8";"1391";"0";"663";"71";"215";"0";"1156";"0";"11560";"0";"0";"0"
"0";"0";"9.1";"1";"8";"1377";"0";"663";"69";"211";"0";"1156";"0";"11560";"0";"0";"0"
"0";"0";"9.4";"1";"8";"1377";"0";"663";"69";"211";"0";"1156";"0";"11560";"0";"0";"0"
"0";"0";"9.7";"1";"8";"1377";"0";"663";"69";"211";"0";"1156";"0";"11560";"0";"0";"0"
"0";"1";"dynamic";"1";"8";"1715";"1";"544";"84";"334";"0";"1059";"0";"10590";"0";"0";"0"
"0";"1";"0.1";"1";"9";"10508";"3";"381";"3268";"6492";"0";"1022";"0";"10220";"2";"99";"119"
"0";"1";"0.4";"1";"8";"5840";"1";"516";"1079";"2875";"0";"1038";"0";"10380";"0";"0";"0"
"0";"1";"0.7";"1";"8";"4246";"1";"533";"832";"1919";"0";"1128";"0";"11280";"0";"0";"0"
"0";"1";"1.0";"1";"8";"3011";"1";"537";"420";"1243";"0";"1009";"0";"10090";"0";"0";"0"
"0";"1";"1.3";"1";"8";"2655";"1";"560";"286";"887";"0";"992";"0";"9920";"0";"0";"0"
