"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Random";"Maximum";"Maximum";"0.025";"0.0";"0.4581872887117299";"0.3634810846200002";"20"
"Random";"Maximum";"Median";"0.025";"0.06666666666666667";"0.43211570127326804";"0.3142707595087507";"20"
"Random";"Maximum";"Minimal";"0.025";"0.05";"0.41802505178469473";"0.2800372781973899";"20"
"Random";"Median";"Maximum";"0.0";"0.0";"0.44330950125415863";"0.3250084543069611";"20"
"Random";"Median";"Median";"0.0";"0.016666666666666666";"0.416092008206812";"0.23794191045483912";"20"
"Random";"Median";"Minimal";"0.025";"0.06666666666666667";"0.40120575952472687";"0.20237948362106692";"20"
"Random";"Minimal";"Maximum";"0.016666666666666666";"0.05";"0.42317889946709075";"0.276285652544538";"20"
"Random";"Minimal";"Median";"0.016666666666666666";"0.11666666666666667";"0.3914803133142583";"0.20240987188459764";"20"
"Random";"Minimal";"Minimal";"0.016666666666666666";"0.0";"0.3918017294567535";"0.2002568997864088";"20"
"Bipartite";"Maximum";"Maximum";"0.0";"0.0";"0.6877432001707853";"1.0";"20"
"Bipartite";"Maximum";"Median";"0.03333333333333333";"0.016666666666666666";"0.406931255881117";"0.4866138353699335";"20"
"Bipartite";"Maximum";"Minimal";"0.0";"0.06666666666666667";"0.38355065248454234";"0.41539758438750995";"20"
"Bipartite";"Median";"Maximum";"0.0";"0.06666666666666667";"0.42104821835298073";"0.5024958038920364";"20"
"Bipartite";"Median";"Median";"0.0";"0.1";"0.3868217355857853";"0.3471101532504311";"20"
"Bipartite";"Median";"Minimal";"0.0";"0.05";"0.357203251877556";"0.3058400568989266";"20"
"Bipartite";"Minimal";"Maximum";"0.03333333333333333";"0.0";"0.37174928404580176";"0.4106348026023448";"20"
"Bipartite";"Minimal";"Median";"0.0";"0.05";"0.35606635645868867";"0.3061459246075477";"20"
"Bipartite";"Minimal";"Minimal";"0.0";"0.05";"0.35928197616159474";"0.30552863812378034";"20"
"Greedy";"Maximum";"Maximum";"0.0";"0.05";"0.28496700422354404";"0.32624564300967096";"20"
"Greedy";"Maximum";"Median";"0.03333333333333333";"0.03333333333333333";"0.153516675262845";"0.1090059643134873";"20"
"Greedy";"Maximum";"Minimal";"0.0";"0.016666666666666666";"0.1663968248140986";"0.06855233454182627";"20"
"Greedy";"Median";"Maximum";"0.0";"0.1";"0.17674791822762745";"0.11398311115767508";"20"
"Greedy";"Median";"Median";"0.0";"0.05";"0.21203844774208255";"0.0770060952877127";"20"
"Greedy";"Median";"Minimal";"0.0";"0.016666666666666666";"0.1877014119113613";"0.03047829779439041";"20"
"Greedy";"Minimal";"Maximum";"0.05";"0.016666666666666666";"0.15118986360078543";"0.06486218986588978";"20"
"Greedy";"Minimal";"Median";"0.0";"0.06666666666666667";"0.2089952889742464";"0.0322037393536403";"20"
"Greedy";"Minimal";"Minimal";"0.03333333333333333";"0.06666666666666667";"0.17883805654354296";"0.026884514898342586";"20"
"Scratch";"";"";"0.125";"0.13333333333333333";"0.9529233670835815";"0.6649451604687625";"20"
