"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"121";"62836";"31";"2";"0";"0";"0";"22";"0";"220";"2";"2";"22"
"0";"0";"0.4";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"28"
"0";"0";"0.7";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"34"
"0";"0";"1.0";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"40"
"0";"0";"1.3";"1";"121";"62836";"36";"2";"0";"0";"0";"22";"0";"220";"2";"2";"46"
"0";"0";"1.6";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"52"
"0";"0";"1.9";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"58"
"0";"0";"2.2";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"64"
"0";"0";"2.5";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"70"
"0";"0";"2.8";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"76"
"0";"0";"3.1";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"82"
"0";"0";"3.4";"1";"121";"62836";"35";"2";"0";"0";"0";"22";"0";"220";"2";"2";"88"
"0";"0";"3.7";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"94"
"0";"0";"4.0";"1";"121";"62836";"35";"2";"0";"0";"0";"22";"0";"220";"2";"2";"100"
"0";"0";"4.3";"1";"121";"62836";"36";"2";"0";"0";"0";"22";"0";"220";"2";"2";"106"
"0";"0";"4.6";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"112"
"0";"0";"4.9";"1";"121";"62836";"36";"2";"0";"0";"0";"22";"0";"220";"2";"2";"118"
"0";"0";"5.2";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"124"
"0";"0";"5.5";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"130"
"0";"0";"5.8";"1";"121";"62836";"35";"2";"0";"0";"0";"22";"0";"220";"2";"2";"136"
"0";"0";"6.1";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"142"
"0";"0";"6.4";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"148"
"0";"0";"6.7";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"154"
"0";"0";"7.0";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"160"
"0";"0";"7.3";"1";"121";"62836";"31";"2";"0";"0";"0";"22";"0";"220";"2";"2";"166"
"0";"0";"7.6";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"172"
"0";"0";"7.9";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"178"
"0";"0";"8.2";"1";"121";"62836";"31";"2";"0";"0";"0";"22";"0";"220";"2";"2";"184"
"0";"0";"8.5";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"190"
"0";"0";"8.8";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"196"
"0";"0";"9.1";"1";"121";"62836";"31";"2";"0";"0";"0";"22";"0";"220";"2";"2";"202"
"0";"0";"9.4";"1";"121";"62836";"32";"2";"0";"0";"0";"22";"0";"220";"2";"2";"208"
"0";"0";"9.7";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"214"
"0";"1";"dynamic";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"84"
"0";"1";"0.1";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"22"
"0";"1";"0.4";"1";"121";"62836";"34";"2";"0";"0";"0";"22";"0";"220";"2";"2";"28"
"0";"1";"0.7";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"34"
"0";"1";"1.0";"1";"121";"62836";"33";"2";"0";"0";"0";"22";"0";"220";"2";"2";"40"
