"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"38";"557778";"10";"553748";"12";"556";"0";"27946";"0";"279460";"27";"27";"540"
"Random";"Minimal";"Minimal";"35";"25069";"4";"18982";"64";"1228";"0";"722";"0";"7220";"12";"12";"240"
"Random";"Minimal";"Maximum";"36";"23647";"5";"19969";"32";"719";"0";"1127";"0";"11270";"7";"7";"140"
"Random";"Minimal";"Median";"35";"26842";"5";"19819";"78";"1413";"0";"868";"0";"8680";"8";"8";"160"
"Random";"Maximum";"Minimal";"36";"26437";"9";"19854";"97";"1514";"0";"1169";"0";"11690";"6";"6";"120"
"Random";"Maximum";"Maximum";"36";"39624";"5";"34522";"43";"1147";"0";"1899";"0";"18990";"7";"7";"140"
"Random";"Maximum";"Median";"35";"32547";"6";"27494";"40";"1122";"0";"1727";"0";"17270";"11";"11";"220"
"Random";"Median";"Minimal";"36";"21874";"2";"19397";"25";"510";"0";"827";"0";"8270";"9";"9";"180"
"Random";"Median";"Maximum";"36";"31737";"8";"26631";"42";"1102";"0";"1617";"0";"16170";"5";"5";"100"
"Random";"Median";"Median";"36";"29072";"6";"24719";"41";"989";"0";"1180";"0";"11800";"10";"10";"200"
"Greedy";"Minimal";"Minimal";"35";"10799";"10";"394";"48";"1090";"0";"164";"0";"1640";"8";"9";"170"
"Greedy";"Minimal";"Maximum";"36";"9792";"4";"349";"49";"992";"0";"211";"0";"2110";"6";"6";"120"
"Greedy";"Minimal";"Median";"35";"12891";"10";"433";"60";"1538";"0";"201";"0";"2010";"9";"9";"180"
"Greedy";"Maximum";"Minimal";"36";"9217";"4";"329";"15";"821";"0";"216";"0";"2160";"14";"14";"280"
"Greedy";"Maximum";"Maximum";"35";"11576";"5";"843";"86";"1271";"0";"496";"0";"4960";"11";"11";"220"
"Greedy";"Maximum";"Median";"35";"14558";"9";"706";"91";"2052";"0";"389";"0";"3890";"8";"8";"160"
"Greedy";"Median";"Minimal";"35";"12672";"8";"450";"107";"1663";"0";"195";"0";"1950";"10";"10";"200"
"Greedy";"Median";"Maximum";"35";"11283";"6";"733";"94";"1194";"0";"413";"0";"4130";"7";"7";"140"
"Greedy";"Median";"Median";"36";"8194";"4";"518";"22";"585";"0";"282";"0";"2820";"5";"5";"100"
"Bipartite";"Minimal";"Minimal";"36";"41317";"6";"36046";"25";"925";"0";"11067";"0";"110670";"10";"10";"200"
"Bipartite";"Minimal";"Maximum";"35";"45166";"8";"38862";"65";"1353";"0";"12019";"0";"120190";"4";"4";"80"
"Bipartite";"Minimal";"Median";"36";"41052";"4";"37270";"41";"758";"0";"11245";"0";"112450";"7";"7";"140"
"Bipartite";"Maximum";"Minimal";"45";"3828";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"36";"57084";"4";"52988";"12";"788";"0";"13247";"0";"132470";"5";"5";"100"
"Bipartite";"Maximum";"Median";"36";"48896";"7";"44234";"48";"1137";"0";"12715";"0";"127150";"5";"5";"100"
"Bipartite";"Median";"Minimal";"35";"43900";"8";"37427";"76";"1252";"0";"11224";"0";"112240";"4";"4";"80"
"Bipartite";"Median";"Maximum";"36";"46702";"4";"44168";"15";"526";"0";"12613";"0";"126130";"2";"4";"60"
"Bipartite";"Median";"Median";"36";"46026";"4";"42338";"53";"926";"0";"11502";"0";"115020";"4";"4";"80"
