"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Scratch";"";"";"0.6652258113781727";"0.8123249299719889";"0.6262911395090426";"0.5041551092326303";"6"
"Bipartite";"Maximum";"Maximum";"0.7874613003095976";"0.4808823529411765";"0.08812898581206349";"0.5943598703596916";"4"
"Bipartite";"Maximum";"Median";"0.7401710644182866";"0.5535714285714286";"0.07980562940142188";"0.5847282444872808";"4"
"Bipartite";"Maximum";"Minimal";"0.7488263401621182";"0.49142857142857144";"0.4252743329513355";"0.5676709685126713";"5"
"Bipartite";"Median";"Maximum";"0.7902855526394367";"0.48235294117647054";"0.14200351880180703";"0.6664600433576233";"5"
"Bipartite";"Median";"Median";"0.4745699215998284";"0.6399999999999999";"0.13776826162819777";"0.2477714636012999";"5"
"Bipartite";"Median";"Minimal";"0.7385891198584698";"0.5897058823529412";"0.15483591876530706";"0.5492897542423707";"4"
"Bipartite";"Minimal";"Maximum";"0.5897351728869502";"0.6525210084033614";"0.34953330493376744";"0.7142826989427215";"6"
"Bipartite";"Minimal";"Median";"0.7072752177809275";"0.5446778711484593";"0.40967941773240396";"0.6970094507730105";"6"
"Bipartite";"Minimal";"Minimal";"0.42684657431392486";"0.7662464985994397";"0.5391500877143428";"0.5327675157626357";"6"
"Random";"Maximum";"Maximum";"0.7460460507647723";"0.4200280112044818";"0.20991537877895874";"0.042709577236778686";"6"
"Random";"Maximum";"Median";"0.6994907139421129";"0.4296918767507003";"0.1813781447034177";"0.03805728970662705";"6"
"Random";"Maximum";"Minimal";"0.7218773095568244";"0.4441176470588235";"0.16202151792055372";"0.025066805728141198";"6"
"Random";"Median";"Maximum";"0.6989165976559223";"0.534593837535014";"0.18125114143950358";"0.03842318069716517";"6"
"Random";"Median";"Median";"0.6568525926303793";"0.5322128851540616";"0.20680281295479422";"0.025266059733291227";"6"
"Random";"Median";"Minimal";"0.6074522622270161";"0.5362745098039216";"0.2518757788418184";"0.018805120258869382";"6"
"Random";"Minimal";"Maximum";"0.6748831272685245";"0.5393557422969187";"0.16537309993474616";"0.027088023666845526";"6"
"Random";"Minimal";"Median";"0.5753386629432895";"0.5858543417366947";"0.3038664534642714";"0.020139210028616603";"6"
"Random";"Minimal";"Minimal";"0.6084975747830249";"0.49831932773109244";"0.25826097946084586";"0.016194300772488058";"6"
"Greedy";"Maximum";"Maximum";"0.4127983883244357";"0.818767507002801";"0.17240429664484658";"0.010495730366236071";"6"
"Greedy";"Maximum";"Median";"0.526357271664358";"0.6610644257703081";"0.15933600191506733";"0.009227718393637329";"6"
"Greedy";"Maximum";"Minimal";"0.4005733347562945";"0.861764705882353";"0.17563882000482656";"0.0053642929371098755";"6"
"Greedy";"Median";"Maximum";"0.39266677835211866";"0.8785714285714286";"0.17477003198345412";"0.009438824675351969";"6"
"Greedy";"Median";"Median";"0.4299850994621767";"0.7619047619047619";"0.171231679766469";"0.006209462242582754";"6"
"Greedy";"Median";"Minimal";"0.40252107741611126";"0.9071428571428571";"0.17477944749102578";"0.004280683141914113";"6"
"Greedy";"Minimal";"Maximum";"0.3579934601668648";"0.7833333333333333";"0.18254916738950655";"0.006673595387007393";"6"
"Greedy";"Minimal";"Median";"0.4208909127840142";"0.8666666666666667";"0.17333501802403364";"0.004072112702378072";"6"
"Greedy";"Minimal";"Minimal";"0.38287837066531266";"0.9452380952380953";"0.1760673959998503";"0.003376887449261715";"6"
