"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"877";"349";"5";"349";"0";"0";"0";"1020";"0";"10200";"92";"0";"920"
"Random";"Minimal";"Minimal";"448";"242536";"62";"223550";"0";"0";"0";"949";"0";"9490";"2";"0";"20"
"Random";"Minimal";"Maximum";"400";"283040";"68";"269605";"0";"0";"0";"2127";"0";"21270";"3";"0";"30"
"Random";"Minimal";"Median";"400";"283327";"70";"263648";"0";"0";"0";"1276";"0";"12760";"2";"0";"20"
"Random";"Maximum";"Minimal";"405";"279054";"80";"265761";"0";"0";"0";"2083";"0";"20830";"3";"0";"30"
"Random";"Maximum";"Maximum";"805";"31080";"16";"31080";"0";"0";"0";"870";"0";"8700";"3";"0";"30"
"Random";"Maximum";"Median";"643";"109646";"37";"109646";"0";"0";"0";"1194";"0";"11940";"3";"0";"30"
"Random";"Median";"Minimal";"401";"282344";"73";"260727";"0";"0";"0";"1262";"0";"12620";"2";"0";"20"
"Random";"Median";"Maximum";"642";"110214";"38";"110214";"0";"0";"0";"1188";"0";"11880";"3";"0";"30"
"Random";"Median";"Median";"641";"110790";"40";"108382";"0";"0";"0";"772";"0";"7720";"1";"0";"10"
"Greedy";"Minimal";"Minimal";"321";"155403";"108";"0";"0";"0";"0";"1";"0";"10";"1";"1";"20"
"Greedy";"Minimal";"Maximum";"321";"155403";"105";"0";"0";"0";"0";"5";"0";"50";"1";"1";"20"
"Greedy";"Minimal";"Median";"321";"155403";"111";"0";"0";"0";"0";"3";"0";"30";"1";"1";"20"
"Greedy";"Maximum";"Minimal";"321";"155403";"115";"0";"0";"0";"0";"5";"0";"50";"1";"1";"20"
"Greedy";"Maximum";"Maximum";"643";"109646";"48";"109646";"0";"0";"0";"1194";"0";"11940";"3";"0";"30"
"Greedy";"Maximum";"Median";"319";"156526";"118";"9";"0";"0";"0";"40";"0";"400";"1";"1";"20"
"Greedy";"Median";"Minimal";"321";"155403";"123";"0";"0";"0";"0";"3";"0";"30";"1";"1";"20"
"Greedy";"Median";"Maximum";"320";"155963";"133";"3";"0";"0";"0";"27";"0";"270";"1";"1";"20"
"Greedy";"Median";"Median";"318";"157104";"132";"26";"0";"0";"0";"33";"0";"330";"1";"1";"20"
"Bipartite";"Minimal";"Minimal";"2";"0";"2788890115";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Minimal";"Maximum";"2";"0";"2788890099";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Minimal";"Median";"2";"0";"2788890084";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Maximum";"Minimal";"2";"0";"2788890070";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Maximum";"Maximum";"2";"0";"2788890056";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Maximum";"Median";"321";"155403";"132";"0";"0";"0";"0";"3";"0";"30";"1";"1";"20"
"Bipartite";"Median";"Minimal";"2";"0";"2788889907";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Median";"Maximum";"2";"0";"2788889894";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
"Bipartite";"Median";"Median";"2";"0";"2788889881";"0";"0";"0";"0";"224278";"0";"2242780";"107938";"0";"1079380"
