"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"31";"8225";"4";"466";"679";"2180";"0";"245";"26";"2476";"7";"25";"95"
"0";"0";"0.4";"1";"32";"5787";"2";"371";"79";"780";"0";"214";"1";"2144";"9";"14";"146"
"0";"0";"0.7";"1";"31";"8913";"4";"468";"320";"1914";"0";"256";"1";"2567";"8";"8";"136"
"0";"0";"1.0";"1";"31";"7523";"3";"511";"31";"1169";"0";"256";"8";"2640";"13";"13";"260"
"0";"0";"1.3";"1";"32";"7212";"3";"366";"46";"832";"0";"233";"1";"2343";"5";"5";"115"
"0";"0";"1.6";"1";"33";"5446";"2";"280";"25";"464";"0";"199";"0";"1990";"3";"3";"78"
"0";"0";"1.9";"1";"33";"5446";"2";"280";"25";"464";"0";"199";"0";"1990";"5";"5";"145"
"0";"0";"2.2";"1";"34";"4491";"1";"224";"3";"259";"0";"136";"2";"1404";"5";"5";"160"
"0";"0";"2.5";"1";"34";"4491";"1";"224";"3";"259";"0";"136";"2";"1410";"4";"4";"140"
"0";"0";"2.8";"1";"34";"4491";"1";"224";"3";"259";"0";"136";"2";"1416";"5";"5";"190"
"0";"0";"3.1";"1";"34";"4494";"1";"224";"1";"253";"0";"141";"0";"1410";"7";"7";"287"
"0";"0";"3.4";"1";"34";"4494";"1";"224";"1";"253";"0";"141";"0";"1410";"8";"8";"352"
"0";"0";"3.7";"1";"34";"4494";"1";"224";"1";"253";"0";"141";"0";"1410";"2";"2";"94"
"0";"0";"4.0";"1";"33";"5214";"1";"291";"15";"421";"0";"152";"1";"1560";"8";"8";"400"
"0";"0";"4.3";"1";"33";"5630";"2";"297";"9";"508";"0";"173";"0";"1730";"25";"25";"1325"
"0";"0";"4.6";"1";"33";"5630";"2";"297";"9";"508";"0";"173";"0";"1730";"30";"30";"1680"
"0";"0";"4.9";"1";"33";"5630";"2";"297";"9";"508";"0";"173";"0";"1730";"29";"29";"1711"
"0";"0";"5.2";"1";"33";"5549";"2";"297";"12";"476";"0";"166";"2";"1764";"25";"25";"1550"
"0";"0";"5.5";"1";"33";"5549";"2";"297";"12";"476";"0";"166";"2";"1770";"24";"24";"1560"
"0";"0";"5.8";"1";"33";"5549";"2";"297";"12";"476";"0";"166";"2";"1776";"22";"22";"1496"
"0";"0";"6.1";"1";"33";"6028";"2";"295";"15";"614";"0";"170";"5";"2005";"17";"17";"1207"
"0";"0";"6.4";"1";"33";"6028";"2";"295";"15";"614";"0";"170";"5";"2020";"17";"17";"1258"
"0";"0";"6.7";"1";"33";"6028";"2";"295";"15";"614";"0";"170";"5";"2035";"13";"13";"1001"
"0";"0";"7.0";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2150";"19";"19";"1520"
"0";"0";"7.3";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2171";"12";"12";"996"
"0";"0";"7.6";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2192";"12";"12";"1032"
"0";"0";"7.9";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2213";"14";"14";"1246"
"0";"0";"8.2";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2234";"14";"14";"1288"
"0";"0";"8.5";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2255";"10";"10";"950"
"0";"0";"8.8";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2276";"15";"15";"1470"
"0";"0";"9.1";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2297";"12";"12";"1212"
"0";"0";"9.4";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2318";"13";"13";"1352"
"0";"0";"9.7";"1";"33";"6396";"3";"295";"31";"691";"0";"166";"7";"2339";"13";"13";"1391"
"0";"1";"dynamic";"1";"33";"5416";"1";"296";"34";"503";"0";"163";"0";"1630";"11";"11";"374"
"0";"1";"0.1";"1";"33";"5260";"2";"309";"182";"717";"0";"180";"0";"1800";"2";"9";"29"
"0";"1";"0.4";"1";"32";"6429";"2";"400";"165";"1082";"0";"222";"0";"2220";"2";"7";"48"
"0";"1";"0.7";"1";"32";"5599";"1";"398";"59";"627";"0";"209";"0";"2090";"4";"4";"68"
"0";"1";"1.0";"1";"33";"5073";"1";"297";"11";"439";"0";"170";"0";"1700";"5";"6";"110"
"0";"1";"1.3";"1";"33";"5600";"2";"300";"23";"518";"0";"172";"0";"1720";"5";"5";"115"
"0";"1";"1.6";"1";"33";"5600";"2";"300";"23";"518";"0";"172";"0";"1720";"5";"5";"130"
"0";"1";"1.9";"1";"33";"5600";"2";"300";"23";"518";"0";"172";"0";"1720";"8";"8";"232"
"0";"1";"2.2";"1";"33";"5575";"1";"289";"34";"575";"0";"173";"0";"1730";"6";"6";"192"
"0";"1";"2.5";"1";"33";"5575";"1";"289";"34";"575";"0";"173";"0";"1730";"20";"20";"700"
"0";"1";"2.8";"1";"33";"5575";"1";"289";"34";"575";"0";"173";"0";"1730";"11";"11";"418"
"0";"1";"3.1";"1";"33";"6230";"3";"292";"18";"645";"0";"179";"0";"1790";"7";"7";"287"
"0";"1";"3.4";"1";"33";"6230";"3";"292";"18";"645";"0";"179";"0";"1790";"11";"11";"484"
"0";"1";"3.7";"1";"33";"6230";"3";"292";"18";"645";"0";"179";"0";"1790";"7";"7";"329"
"0";"1";"4.0";"1";"33";"5472";"1";"289";"25";"548";"0";"166";"0";"1660";"10";"10";"500"
"0";"1";"4.3";"1";"33";"5363";"1";"290";"16";"500";"0";"176";"0";"1760";"12";"12";"636"
"0";"1";"4.6";"1";"33";"5363";"1";"290";"16";"500";"0";"176";"0";"1760";"4";"4";"224"
"0";"1";"4.9";"1";"33";"5363";"1";"290";"16";"500";"0";"176";"0";"1760";"4";"4";"236"
"0";"1";"5.2";"1";"33";"5796";"2";"290";"20";"579";"0";"175";"0";"1750";"21";"21";"1302"
"0";"1";"5.5";"1";"33";"5796";"2";"290";"20";"579";"0";"175";"0";"1750";"18";"18";"1170"
"0";"1";"5.8";"1";"33";"5796";"3";"290";"20";"579";"0";"175";"0";"1750";"19";"19";"1292"
"0";"1";"6.1";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"27";"27";"1917"
"0";"1";"6.4";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"24";"24";"1776"
"0";"1";"6.7";"1";"33";"5605";"1";"290";"22";"583";"0";"189";"0";"1890";"25";"25";"1925"
"0";"1";"7.0";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"25";"25";"2000"
"0";"1";"7.3";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"23";"23";"1909"
"0";"1";"7.6";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"24";"24";"2064"
"0";"1";"7.9";"1";"33";"5605";"1";"290";"22";"583";"0";"189";"0";"1890";"29";"29";"2581"
"0";"1";"8.2";"1";"33";"5605";"1";"290";"22";"583";"0";"189";"0";"1890";"25";"25";"2300"
"0";"1";"8.5";"1";"33";"5605";"1";"290";"22";"583";"0";"189";"0";"1890";"24";"24";"2280"
"0";"1";"8.8";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"26";"26";"2548"
"0";"1";"9.1";"1";"33";"5605";"1";"290";"22";"583";"0";"189";"0";"1890";"26";"26";"2626"
"0";"1";"9.4";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"26";"26";"2704"
"0";"1";"9.7";"1";"33";"5605";"2";"290";"22";"583";"0";"189";"0";"1890";"23";"23";"2461"
"1";"0";"0.1";"1";"32";"6825";"3";"373";"447";"1492";"2";"209";"0";"2090";"1";"10";"20"
"1";"0";"0.4";"1";"32";"5409";"1";"369";"83";"642";"6";"216";"1";"2164";"2";"2";"28"
"1";"0";"0.7";"1";"32";"5397";"1";"365";"61";"609";"2";"208";"0";"2080";"5";"5";"85"
"1";"0";"1.0";"1";"32";"6008";"2";"403";"20";"713";"3";"232";"0";"2320";"12";"12";"240"
"1";"0";"1.3";"1";"32";"7501";"3";"377";"47";"911";"51";"214";"6";"2218";"4";"4";"92"
"1";"0";"1.6";"1";"33";"5588";"2";"292";"21";"504";"37";"170";"2";"1732";"11";"11";"286"
"1";"0";"1.9";"1";"33";"5588";"1";"292";"21";"504";"37";"170";"2";"1738";"12";"12";"348"
"1";"0";"2.2";"1";"33";"4934";"1";"287";"34";"371";"23";"181";"2";"1854";"9";"9";"288"
"1";"0";"2.5";"1";"33";"4934";"1";"287";"34";"371";"23";"181";"2";"1860";"13";"13";"455"
"1";"0";"2.8";"1";"33";"4934";"1";"287";"34";"371";"23";"181";"2";"1866";"11";"11";"418"
"1";"0";"3.1";"1";"33";"5925";"3";"292";"43";"581";"51";"182";"0";"1820";"15";"15";"615"
"1";"0";"3.4";"1";"33";"5925";"2";"292";"43";"581";"51";"182";"0";"1820";"17";"11";"544"
"1";"0";"3.7";"1";"33";"5925";"2";"292";"43";"581";"51";"182";"0";"1820";"17";"17";"799"
"1";"0";"4.0";"1";"33";"5795";"2";"292";"34";"539";"51";"178";"0";"1780";"25";"25";"1250"
"1";"0";"4.3";"1";"34";"4588";"1";"218";"16";"292";"30";"149";"0";"1490";"10";"10";"530"
"1";"0";"4.6";"1";"34";"4588";"1";"218";"16";"292";"30";"149";"0";"1490";"9";"9";"504"
"1";"0";"4.9";"1";"34";"4588";"1";"218";"16";"292";"30";"149";"0";"1490";"6";"6";"354"
"1";"0";"5.2";"1";"33";"5224";"1";"288";"36";"449";"36";"181";"2";"1914";"12";"12";"744"
