"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"12";"400";"0";"25";"0";"137";"0";"18";"1";"181";"0";"0";"0"
"0";"0";"0.4";"1";"12";"400";"0";"25";"0";"137";"0";"18";"1";"184";"0";"0";"0"
"0";"0";"0.7";"1";"12";"400";"0";"25";"0";"137";"0";"18";"1";"187";"0";"0";"0"
"0";"0";"1.0";"1";"12";"328";"0";"24";"0";"105";"0";"18";"2";"200";"0";"0";"0"
"0";"0";"1.3";"1";"12";"319";"1";"29";"0";"95";"0";"23";"1";"243";"0";"0";"0"
"0";"0";"1.6";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"246";"0";"0";"0"
"0";"0";"1.9";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"249";"0";"0";"0"
"0";"0";"2.2";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"252";"0";"0";"0"
"0";"0";"2.5";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"255";"0";"0";"0"
"0";"0";"2.8";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"258";"0";"0";"0"
"0";"0";"3.1";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"261";"0";"0";"0"
"0";"0";"3.4";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"264";"0";"0";"0"
"0";"0";"3.7";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"267";"0";"0";"0"
"0";"0";"4.0";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"270";"0";"0";"0"
"0";"0";"4.3";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"273";"0";"0";"0"
"0";"0";"4.6";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"276";"0";"0";"0"
"0";"0";"4.9";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"279";"0";"0";"0"
"0";"0";"5.2";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"282";"0";"0";"0"
"0";"0";"5.5";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"285";"0";"0";"0"
"0";"0";"5.8";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"288";"0";"0";"0"
"0";"0";"6.1";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"291";"0";"0";"0"
"0";"0";"6.4";"1";"12";"319";"0";"29";"0";"95";"0";"23";"1";"294";"0";"0";"0"
