"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"466";"12091";"10";"12091";"0";"0";"0";"3036";"0";"30360";"97";"0";"970"
"Random";"Minimal";"Minimal";"145";"119716";"13";"113819";"0";"0";"0";"735";"0";"7350";"1";"1";"20"
"Random";"Minimal";"Maximum";"185";"97851";"13";"93839";"0";"0";"0";"1672";"0";"16720";"7";"0";"70"
"Random";"Minimal";"Median";"154";"114480";"14";"109659";"0";"0";"0";"856";"0";"8560";"1";"1";"20"
"Random";"Maximum";"Minimal";"156";"113130";"14";"108449";"0";"0";"0";"2095";"0";"20950";"1";"1";"20"
"Random";"Maximum";"Maximum";"211";"211326";"11";"211326";"0";"0";"0";"12796";"0";"127960";"4";"0";"40"
"Random";"Maximum";"Median";"191";"101743";"12";"101367";"0";"0";"0";"2791";"0";"27910";"10";"0";"100"
"Random";"Median";"Minimal";"187";"96958";"13";"92443";"0";"0";"0";"685";"0";"6850";"3";"0";"30"
"Random";"Median";"Maximum";"149";"130990";"16";"130364";"0";"0";"0";"3673";"0";"36730";"1";"1";"20"
"Random";"Median";"Median";"195";"100347";"14";"99671";"0";"0";"0";"948";"0";"9480";"6";"0";"60"
"Greedy";"Minimal";"Minimal";"109";"67896";"20";"0";"0";"0";"0";"1";"0";"10";"1";"1";"20"
"Greedy";"Minimal";"Maximum";"109";"67896";"21";"0";"0";"0";"0";"12";"0";"120";"1";"1";"20"
"Greedy";"Minimal";"Median";"109";"67896";"22";"0";"0";"0";"0";"4";"0";"40";"1";"1";"20"
"Greedy";"Maximum";"Minimal";"109";"67896";"21";"0";"0";"0";"0";"12";"0";"120";"1";"1";"20"
"Greedy";"Maximum";"Maximum";"109";"67896";"21";"0";"0";"0";"0";"144";"0";"1440";"2";"2";"40"
"Greedy";"Maximum";"Median";"109";"67896";"20";"0";"0";"0";"0";"48";"0";"480";"1";"1";"20"
"Greedy";"Median";"Minimal";"109";"67896";"20";"0";"0";"0";"0";"4";"0";"40";"1";"1";"20"
"Greedy";"Median";"Maximum";"109";"67896";"21";"0";"0";"0";"0";"48";"0";"480";"1";"1";"20"
"Greedy";"Median";"Median";"108";"68270";"23";"5";"0";"0";"0";"32";"0";"320";"1";"1";"20"
"Bipartite";"Minimal";"Minimal";"137";"224261";"19";"217552";"0";"0";"0";"60960";"0";"609600";"1";"0";"10"
"Bipartite";"Minimal";"Maximum";"161";"203911";"17";"198932";"0";"0";"0";"63116";"0";"631160";"1";"1";"20"
"Bipartite";"Minimal";"Median";"135";"226040";"18";"219320";"0";"0";"0";"61201";"0";"612010";"4";"0";"40"
"Bipartite";"Maximum";"Minimal";"184";"184787";"15";"180191";"0";"0";"0";"62798";"0";"627980";"1";"0";"10"
"Bipartite";"Maximum";"Maximum";"266";"218233";"11";"218233";"0";"0";"0";"71568";"0";"715680";"37";"0";"370"
"Bipartite";"Maximum";"Median";"283";"112870";"11";"112870";"0";"0";"0";"62194";"0";"621940";"8";"0";"80"
"Bipartite";"Median";"Minimal";"180";"187886";"16";"182100";"0";"0";"0";"60919";"0";"609190";"3";"0";"30"
"Bipartite";"Median";"Maximum";"236";"148342";"13";"148342";"0";"0";"0";"62891";"0";"628910";"8";"0";"80"
"Bipartite";"Median";"Median";"190";"187078";"16";"186695";"0";"0";"0";"61156";"0";"611560";"3";"0";"30"
