"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"174";"56380";"10";"55438";"0";"196";"0";"7881";"0";"78810";"5";"5";"100"
"Random";"Minimal";"Minimal";"141";"22257";"10";"13364";"0";"2786";"0";"440";"0";"4400";"1";"1";"20"
"Random";"Minimal";"Maximum";"142";"22939";"9";"13964";"0";"2862";"0";"515";"0";"5150";"1";"1";"20"
"Random";"Minimal";"Median";"141";"23308";"10";"14322";"0";"2841";"0";"473";"0";"4730";"1";"1";"20"
"Random";"Maximum";"Minimal";"142";"19200";"6";"14107";"0";"1620";"0";"519";"0";"5190";"2";"2";"40"
"Random";"Maximum";"Maximum";"142";"24770";"9";"17563";"0";"2177";"0";"680";"0";"6800";"1";"1";"20"
"Random";"Maximum";"Median";"142";"23935";"10";"16112";"0";"2423";"0";"597";"0";"5970";"2";"2";"40"
"Random";"Median";"Minimal";"142";"19334";"8";"13687";"0";"1752";"0";"469";"0";"4690";"1";"1";"20"
"Random";"Median";"Maximum";"144";"19723";"10";"15346";"0";"1344";"0";"597";"0";"5970";"1";"1";"20"
"Random";"Median";"Median";"144";"19547";"10";"14484";"0";"1584";"0";"519";"0";"5190";"1";"1";"20"
"Greedy";"Minimal";"Minimal";"138";"3383";"10";"30";"0";"471";"0";"14";"0";"140";"2";"2";"40"
"Greedy";"Minimal";"Maximum";"136";"4134";"9";"80";"0";"681";"0";"40";"0";"400";"2";"2";"40"
"Greedy";"Minimal";"Median";"136";"4671";"8";"75";"0";"881";"0";"29";"0";"290";"1";"1";"20"
"Greedy";"Maximum";"Minimal";"136";"5230";"9";"70";"2";"1066";"0";"42";"0";"420";"2";"2";"40"
"Greedy";"Maximum";"Maximum";"137";"3780";"9";"146";"2";"562";"0";"71";"0";"710";"1";"1";"20"
"Greedy";"Maximum";"Median";"137";"3260";"6";"118";"0";"398";"0";"71";"0";"710";"1";"1";"20"
"Greedy";"Median";"Minimal";"136";"5267";"9";"67";"1";"1061";"0";"33";"0";"330";"1";"1";"20"
"Greedy";"Median";"Maximum";"137";"3676";"7";"126";"2";"509";"0";"70";"0";"700";"1";"1";"20"
"Greedy";"Median";"Median";"136";"3905";"6";"153";"0";"591";"0";"56";"0";"560";"1";"1";"20"
"Bipartite";"Minimal";"Minimal";"142";"38677";"9";"30349";"0";"2796";"0";"29413";"0";"294130";"2";"2";"40"
"Bipartite";"Minimal";"Maximum";"141";"40603";"10";"31529";"0";"2918";"0";"29507";"0";"295070";"2";"2";"40"
"Bipartite";"Minimal";"Median";"147";"31711";"7";"27529";"0";"1342";"0";"29417";"0";"294170";"3";"3";"60"
"Bipartite";"Maximum";"Minimal";"143";"37282";"9";"30246";"0";"2218";"0";"29484";"0";"294840";"2";"2";"40"
"Bipartite";"Maximum";"Maximum";"139";"45041";"10";"36972";"2";"2596";"0";"29683";"0";"296830";"2";"2";"40"
"Bipartite";"Maximum";"Median";"146";"34457";"9";"30231";"0";"1281";"0";"29577";"0";"295770";"1";"1";"20"
"Bipartite";"Median";"Minimal";"144";"34844";"10";"29427";"0";"1757";"0";"29431";"0";"294310";"2";"2";"40"
"Bipartite";"Median";"Maximum";"143";"39925";"10";"32286";"0";"2454";"0";"29584";"0";"295840";"2";"2";"40"
"Bipartite";"Median";"Median";"144";"37061";"9";"31071";"0";"1796";"0";"29504";"0";"295040";"1";"1";"20"
