"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Random";"Minimal";"Minimal";"0.369820820816715";"0.5694442675482231";"0.3276925628429309";"0.09153376550865114";"14"
"Random";"Minimal";"Maximum";"0.4330058679669779";"0.43010837370105104";"0.3171950141991014";"0.15296465150946523";"14"
"Random";"Minimal";"Median";"0.3873508049315048";"0.530577502480085";"0.3023884809159391";"0.10268516882109424";"14"
"Random";"Maximum";"Minimal";"0.3622347633000877";"0.5175601105153246";"0.3556809180526091";"0.14881321079698343";"14"
"Random";"Maximum";"Maximum";"0.4483476747287728";"0.48932211952806925";"0.3482845818283807";"0.14790310017776373";"14"
"Random";"Maximum";"Median";"0.42158426474187694";"0.47787617924917697";"0.31778956037355593";"0.1382943648802314";"14"
"Random";"Median";"Minimal";"0.40167094584567803";"0.44578067132823584";"0.30219941231867514";"0.10417816054037075";"14"
"Random";"Median";"Maximum";"0.3856927027142159";"0.47995124268416195";"0.2975956539833656";"0.13616023275356023";"14"
"Random";"Median";"Median";"0.39752801016614914";"0.465269752585869";"0.2858522573168136";"0.12733990378894203";"14"
"Bipartite";"Minimal";"Minimal";"0.3279444441530116";"0.6647883517448735";"0.4606428317832024";"0.6485071736571221";"13"
"Bipartite";"Minimal";"Maximum";"0.3891824673082287";"0.5098365402713229";"0.4838487460146653";"0.766272285577645";"13"
"Bipartite";"Minimal";"Median";"0.3869299714121888";"0.5032021118977641";"0.45368462656387787";"0.7284615899732093";"13"
"Bipartite";"Maximum";"Minimal";"0.3889416145063826";"0.5383790122920559";"0.5113806170024768";"0.7660003898939688";"13"
"Bipartite";"Maximum";"Maximum";"0.4625778713598475";"0.460865221734787";"0.5471292118313841";"0.8246855014278259";"13"
"Bipartite";"Maximum";"Median";"0.4434179028924255";"0.560206581765915";"0.45002229542296457";"0.7282329281565517";"14"
"Bipartite";"Median";"Minimal";"0.4040448648498401";"0.5772102293841423";"0.45564198932670236";"0.7281266481267097";"13"
"Bipartite";"Median";"Maximum";"0.4225911403114667";"0.5537568711481755";"0.42975169913867156";"0.782637213660366";"13"
"Bipartite";"Median";"Median";"0.47418380469238186";"0.5500485022224152";"0.46403810915899246";"0.742255854855559";"13"
"Greedy";"Minimal";"Minimal";"0.34826144937754766";"0.5211755862458707";"0.14066286842773307";"0.03847937822538361";"14"
"Greedy";"Minimal";"Maximum";"0.29478144853759514";"0.6602395788077384";"0.21413268062467752";"0.01569592775885083";"14"
"Greedy";"Minimal";"Median";"0.3015481954267263";"0.5540030907307795";"0.14438236150440723";"0.0446278967941386";"14"
"Greedy";"Maximum";"Minimal";"0.30498553017024826";"0.6344516240724152";"0.1560171910741473";"0.047945434799613204";"14"
"Greedy";"Maximum";"Maximum";"0.392607793976442";"0.49855126711942666";"0.13526589550535964";"0.11715911299298866";"14"
"Greedy";"Maximum";"Median";"0.32929312533261357";"0.49210995680430136";"0.15627110042755019";"0.04092115349713093";"14"
"Greedy";"Median";"Minimal";"0.3031195947994642";"0.6478358516279406";"0.14816217025904568";"0.013461901716940838";"14"
"Greedy";"Median";"Maximum";"0.3097382168800302";"0.6249267295851145";"0.16092897802945788";"0.038988031531717246";"14"
"Greedy";"Median";"Median";"0.34165304268336133";"0.5588939882172965";"0.13839649194380857";"0.03314805716748311";"14"
"Scratch";"";"";"0.8190476190476189";"0.5819271263043737";"0.6006291220798926";"0.6016214292289309";"14"
