"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"3";"167728";"132";"78251";"827";"20630";"0";"53157";"0";"531570";"0";"0";"0"
"Random";"Minimal";"Minimal";"3";"66009";"39";"40037";"187";"3819";"0";"23170";"0";"231700";"0";"0";"0"
"Random";"Minimal";"Maximum";"3";"115972";"90";"43092";"1240";"17291";"0";"28253";"0";"282530";"0";"0";"0"
"Random";"Minimal";"Median";"3";"108536";"69";"39909";"380";"15169";"0";"23293";"0";"232930";"0";"0";"0"
"Random";"Maximum";"Minimal";"3";"107913";"69";"43098";"335";"13388";"0";"28303";"0";"283030";"0";"0";"0"
"Random";"Maximum";"Maximum";"4";"29486";"7";"28529";"0";"17";"0";"28953";"0";"289530";"17";"185";"2020"
"Random";"Maximum";"Median";"3";"135595";"131";"43082";"2742";"24497";"0";"28609";"0";"286090";"0";"0";"0"
"Random";"Median";"Minimal";"3";"80560";"60";"39875";"662";"7713";"0";"23124";"0";"231240";"0";"0";"0"
"Random";"Median";"Maximum";"3";"110057";"93";"42969";"703";"14597";"0";"28589";"0";"285890";"0";"0";"0"
"Random";"Median";"Median";"3";"117955";"101";"40997";"1648";"18185";"0";"24798";"0";"247980";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"3";"34749";"34";"2198";"698";"7754";"0";"3226";"0";"32260";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"3";"12570";"12";"1348";"32";"1996";"0";"1711";"0";"17110";"0";"0";"0"
"Greedy";"Minimal";"Median";"3";"30420";"28";"2222";"257";"5167";"0";"3244";"0";"32440";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"3";"48565";"58";"1353";"693";"11634";"0";"1706";"0";"17060";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"3";"79869";"57";"37083";"3";"7758";"0";"58705";"0";"587050";"0";"0";"0"
"Greedy";"Maximum";"Median";"3";"26968";"17";"7972";"134";"3215";"0";"7202";"0";"72020";"0";"0";"0"
"Greedy";"Median";"Minimal";"3";"30420";"28";"2222";"257";"5167";"0";"3244";"0";"32440";"0";"0";"0"
"Greedy";"Median";"Maximum";"3";"25034";"18";"7982";"48";"2816";"0";"7198";"0";"71980";"0";"0";"0"
"Greedy";"Median";"Median";"3";"76649";"94";"7804";"2341";"18078";"0";"7694";"0";"76940";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"3";"67062";"51";"24563";"27";"8432";"0";"11691";"0";"116910";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"3";"74382";"52";"29226";"315";"8758";"0";"16814";"0";"168140";"0";"0";"0"
"Bipartite";"Minimal";"Median";"3";"75750";"60";"24649";"131";"10604";"0";"11721";"0";"117210";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"3";"85623";"74";"29244";"461";"12088";"0";"16800";"0";"168000";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"3";"141521";"121";"65537";"2486";"19094";"0";"63209";"0";"632090";"0";"0";"0"
"Bipartite";"Maximum";"Median";"3";"67032";"51";"29395";"335";"7270";"0";"17071";"0";"170710";"0";"0";"0"
"Bipartite";"Median";"Minimal";"3";"67223";"52";"24610";"6";"8314";"0";"11643";"0";"116430";"0";"0";"0"
"Bipartite";"Median";"Maximum";"3";"72990";"61";"29365";"1165";"9909";"0";"17039";"0";"170390";"0";"0";"0"
"Bipartite";"Median";"Median";"3";"63265";"40";"27334";"247";"6851";"0";"15365";"0";"153650";"0";"0";"0"
