"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"199";"0";"2788890710";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Minimal";"Minimal";"199";"0";"2788890696";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Minimal";"Maximum";"199";"0";"2788890681";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Minimal";"Median";"199";"0";"2788890666";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Maximum";"Minimal";"199";"0";"2788890649";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Maximum";"Maximum";"199";"0";"2788890633";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Maximum";"Median";"199";"0";"2788890616";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Median";"Minimal";"199";"0";"2788890600";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Median";"Maximum";"199";"0";"2788890584";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Random";"Median";"Median";"199";"0";"2788890568";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Greedy";"Minimal";"Minimal";"128";"2628";"34";"0";"0";"0";"0";"144";"0";"1440";"72";"0";"720"
"Greedy";"Minimal";"Maximum";"199";"0";"2788890516";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Greedy";"Minimal";"Median";"2";"0";"2788890503";"0";"0";"0";"0";"491782";"0";"4917820";"471134";"0";"4711340"
"Greedy";"Maximum";"Minimal";"126";"2988";"38";"216";"0";"0";"0";"432";"0";"4320";"88";"0";"880"
"Greedy";"Maximum";"Maximum";"128";"2628";"37";"0";"0";"0";"0";"200";"0";"2000";"56";"0";"560"
"Greedy";"Maximum";"Median";"2";"0";"2788890397";"0";"0";"0";"0";"491782";"0";"4917820";"481224";"0";"4812240"
"Greedy";"Median";"Minimal";"199";"0";"2788890383";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Greedy";"Median";"Maximum";"2";"0";"2788890369";"0";"0";"0";"0";"491782";"0";"4917820";"471134";"0";"4711340"
"Greedy";"Median";"Median";"199";"0";"2788890344";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Bipartite";"Minimal";"Minimal";"199";"0";"2788890325";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Bipartite";"Minimal";"Maximum";"2";"0";"2788890308";"0";"0";"0";"0";"491782";"0";"4917820";"471134";"0";"4711340"
"Bipartite";"Minimal";"Median";"199";"0";"2788890282";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Bipartite";"Maximum";"Minimal";"2";"0";"2788890265";"0";"0";"0";"0";"491782";"0";"4917820";"481224";"0";"4812240"
"Bipartite";"Maximum";"Maximum";"199";"0";"2788890248";"0";"0";"0";"0";"4905";"0";"49050";"4191";"0";"41910"
"Bipartite";"Maximum";"Median";"2";"0";"2788890232";"0";"0";"0";"0";"491782";"0";"4917820";"471134";"0";"4711340"
"Bipartite";"Median";"Minimal";"126";"2988";"40";"216";"0";"0";"0";"432";"0";"4320";"88";"0";"880"
"Bipartite";"Median";"Maximum";"2";"0";"2788890163";"0";"0";"0";"0";"491782";"0";"4917820";"471134";"0";"4711340"
"Bipartite";"Median";"Median";"2";"0";"2788890139";"0";"0";"0";"0";"491782";"0";"4917820";"481224";"0";"4812240"
