"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"44";"6951";"4";"5215";"0";"260";"0";"829";"0";"8290";"13";"13";"143"
"0";"0";"0.4";"1";"45";"6248";"4";"4673";"0";"229";"0";"769";"0";"7690";"8";"8";"112"
"0";"0";"0.7";"1";"44";"6951";"4";"5215";"0";"260";"0";"829";"0";"8290";"13";"13";"221"
"0";"0";"1.0";"1";"45";"6125";"4";"4579";"0";"233";"0";"772";"0";"7720";"7";"7";"140"
"0";"0";"1.3";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7653";"6";"6";"138"
"0";"0";"1.6";"1";"44";"6895";"4";"5153";"0";"276";"0";"828";"1";"8296";"30";"0";"300"
"0";"0";"1.9";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7659";"6";"6";"174"
"0";"0";"2.2";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7662";"3";"3";"96"
"0";"0";"2.5";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7665";"6";"6";"210"
"0";"0";"2.8";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7668";"6";"6";"228"
"0";"0";"3.1";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7671";"6";"6";"246"
"0";"0";"3.4";"1";"44";"6895";"4";"5153";"0";"276";"0";"828";"1";"8314";"30";"0";"300"
"0";"0";"3.7";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7677";"12";"12";"564"
"0";"0";"4.0";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7680";"3";"3";"150"
"0";"0";"4.3";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7683";"6";"6";"318"
"0";"0";"4.6";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7686";"12";"12";"672"
"0";"0";"4.9";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7689";"12";"12";"708"
"0";"0";"5.2";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7692";"3";"3";"186"
"0";"0";"5.5";"1";"44";"6895";"4";"5153";"0";"276";"0";"828";"1";"8335";"30";"0";"300"
"0";"0";"5.8";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7698";"12";"12";"816"
"0";"0";"6.1";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7701";"12";"12";"852"
"0";"0";"6.4";"1";"44";"6895";"4";"5153";"0";"276";"0";"828";"1";"8344";"30";"0";"300"
"0";"0";"6.7";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7707";"12";"12";"924"
"0";"0";"7.0";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7710";"12";"12";"960"
"0";"0";"7.3";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7713";"12";"12";"996"
"0";"0";"7.6";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7716";"12";"12";"1032"
"0";"0";"7.9";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7719";"12";"12";"1068"
"0";"0";"8.2";"1";"44";"6895";"4";"5153";"0";"276";"0";"828";"1";"8362";"30";"0";"300"
"0";"0";"8.5";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7725";"12";"12";"1140"
"0";"0";"8.8";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7728";"6";"6";"588"
"0";"0";"9.1";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7731";"6";"6";"606"
"0";"0";"9.4";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7734";"3";"3";"312"
"0";"0";"9.7";"1";"45";"6173";"4";"4618";"0";"240";"0";"764";"1";"7737";"6";"6";"642"
"0";"1";"dynamic";"1";"42";"8968";"3";"6398";"0";"387";"0";"979";"0";"9790";"1";"1";"21"
"0";"1";"0.1";"1";"41";"9857";"4";"7086";"0";"425";"0";"1047";"0";"10470";"35";"35";"385"
"0";"1";"0.4";"1";"41";"9857";"4";"7086";"0";"425";"0";"1047";"0";"10470";"35";"35";"490"
"0";"1";"0.7";"1";"42";"8604";"3";"6389";"0";"336";"0";"973";"0";"9730";"2";"2";"34"
"0";"1";"1.0";"1";"42";"8501";"3";"6299";"0";"338";"0";"969";"0";"9690";"1";"1";"20"
"0";"1";"1.3";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"5";"5";"115"
"0";"1";"1.6";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"6";"6";"156"
"0";"1";"1.9";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"5";"5";"145"
"0";"1";"2.2";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"4";"4";"128"
"0";"1";"2.5";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"37";"37";"1295"
"0";"1";"2.8";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"11";"11";"418"
"0";"1";"3.1";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"40";"40";"1640"
"0";"1";"3.4";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"37";"37";"1628"
"0";"1";"3.7";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"11";"11";"517"
"0";"1";"4.0";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"2";"2";"100"
"0";"1";"4.3";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"7";"7";"371"
"0";"1";"4.6";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"37";"37";"2072"
"0";"1";"4.9";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"11";"11";"649"
"0";"1";"5.2";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"5";"5";"310"
"0";"1";"5.5";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"3";"3";"195"
"0";"1";"5.8";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"6";"6";"408"
"0";"1";"6.1";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"7";"7";"497"
"0";"1";"6.4";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"6";"6";"444"
"0";"1";"6.7";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"8";"8";"616"
"0";"1";"7.0";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"8";"8";"640"
"0";"1";"7.3";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"6";"6";"498"
"0";"1";"7.6";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"8";"8";"688"
"0";"1";"7.9";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"6";"6";"534"
"0";"1";"8.2";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"3";"3";"276"
"0";"1";"8.5";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"37";"37";"3515"
"0";"1";"8.8";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"13";"8";"834"
"0";"1";"9.1";"1";"41";"9767";"4";"7220";"0";"368";"0";"1067";"0";"10670";"43";"0";"430"
"0";"1";"9.4";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"3";"3";"312"
"0";"1";"9.7";"1";"42";"8458";"3";"6504";"0";"293";"0";"991";"0";"9910";"5";"5";"535"
"1";"0";"0.1";"1";"44";"6951";"4";"5215";"0";"260";"0";"829";"0";"8290";"13";"13";"143"
