"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Greedy";"Median";"Median";"0.03269988015750728";"0.4225589225589226";"0.06705200771934301";"0.024670945587986205";"3"
"Greedy";"Median";"Minimal";"0.022598870056497175";"0.5565656565656565";"0.0640046841621438";"0.02006850934905774";"3"
"Greedy";"Median";"Maximum";"0.24738914569423043";"0.5370370370370371";"0.2925522845313601";"0.24030030135794125";"3"
"Greedy";"Minimal";"Median";"0.03389830508474576";"0.3838383838383838";"0.02998212224978408";"0.01751096475798073";"2"
"Greedy";"Minimal";"Minimal";"0.2669491525423729";"0.6294191919191919";"0.2768502940199577";"0.09763131487491215";"4"
"Greedy";"Minimal";"Maximum";"0.027050162643382985";"0.35218855218855216";"0.0618703898375274";"0.03387059876730996";"3"
"Greedy";"Maximum";"Median";"0.005649717514124294";"0.48181818181818176";"0.07868000686128897";"0.060389188743825546";"3"
"Greedy";"Maximum";"Minimal";"0.23638014527845036";"0.6493686868686869";"0.30537943171095694";"0.2912062388036614";"4"
"Greedy";"Maximum";"Maximum";"0.2618130457113508";"0.5708964646464646";"0.2784072844398121";"0.16461903734319489";"4"
"Bipartite";"Median";"Median";"0.0";"0.6222222222222222";"0.20524490543854132";"0.3789182828533929";"2"
"Bipartite";"Median";"Minimal";"0.31962481962481964";"0.8148148148148149";"0.7138915467471684";"0.9006411640617374";"3"
"Bipartite";"Median";"Maximum";"0.030303030303030304";"0.7277777777777779";"0.6096717810293362";"0.8676357620550395";"2"
"Bipartite";"Minimal";"Median";"0.030303030303030304";"0.6166666666666667";"0.5591446579377298";"0.8502115780836232";"2"
"Bipartite";"Minimal";"Minimal";"0.030303030303030304";"0.7777777777777778";"0.5540904979482667";"0.847643871516842";"2"
"Bipartite";"Minimal";"Maximum";"0.030303030303030304";"0.6722222222222223";"0.5833785334559418";"0.8591513149994627";"2"
"Bipartite";"Maximum";"Median";"0.030303030303030304";"0.7277777777777779";"0.6096149505723159";"0.867715967910811";"2"
"Bipartite";"Maximum";"Minimal";"0.025851737716144494";"0.7040404040404041";"0.41270935691136157";"0.6180019037755867";"3"
"Bipartite";"Maximum";"Maximum";"0.030303030303030304";"0.7222222222222222";"0.6324490092182623";"0.8748386402753873";"2"
"Random";"Median";"Median";"0.23728813559322035";"0.7407407407407408";"0.44501642446311634";"0.27034605703320397";"3"
"Random";"Median";"Minimal";"0.2994350282485876";"0.7777777777777777";"0.2722122126899739";"0.22120320060435847";"3"
"Random";"Median";"Maximum";"0.21468926553672316";"0.7777777777777777";"0.5505062788025067";"0.3252526500403707";"3"
"Random";"Minimal";"Median";"0.258688580722479";"0.5740740740740741";"0.3830582873718245";"0.2482206884057276";"3"
"Random";"Minimal";"Minimal";"0.2994350282485876";"0.7407407407407408";"0.26511098603042926";"0.21755835461295467";"3"
"Random";"Minimal";"Maximum";"0.5887690463961651";"0.7777777777777777";"0.28671619262916886";"0.31179919001695594";"3"
"Random";"Maximum";"Median";"0.2699880157507276";"0.5740740740740741";"0.3953694597701807";"0.2827717175317101";"3"
"Random";"Maximum";"Minimal";"0.24858757062146894";"0.7074074074074074";"0.41618776180480893";"0.273495135425192";"3"
"Random";"Maximum";"Maximum";"0.24293785310734461";"0.7407407407407408";"0.4804857196833354";"0.3158496938525877";"3"
"Scratch";"";"";"1.0";"0.9696969696969697";"0.4045003986809572";"0.7336393308853529";"3"
