"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"11";"2520";"2";"96";"0";"7";"0";"961";"0";"9610";"20";"140";"340"
"0";"0";"0.4";"1";"10";"3111";"3";"228";"7";"87";"0";"1683";"0";"16830";"56";"116";"1024"
"0";"0";"0.7";"1";"10";"3013";"3";"216";"8";"68";"0";"1589";"0";"15890";"44";"76";"972"
"0";"0";"1.0";"1";"10";"2880";"2";"220";"2";"36";"0";"1580";"0";"15800";"20";"60";"800"
"0";"0";"1.3";"1";"10";"2902";"2";"221";"3";"28";"0";"1624";"0";"16240";"12";"12";"276"
"0";"0";"1.6";"1";"10";"3081";"3";"218";"9";"58";"0";"1659";"0";"16590";"46";"50";"1260"
"0";"0";"1.9";"1";"10";"3081";"3";"218";"9";"58";"0";"1659";"0";"16590";"52";"52";"1508"
"0";"0";"2.2";"1";"10";"2842";"2";"217";"1";"20";"0";"1634";"0";"16340";"16";"16";"512"
"0";"0";"2.5";"1";"10";"2842";"2";"217";"1";"20";"0";"1634";"0";"16340";"48";"48";"1680"
"0";"0";"2.8";"1";"10";"2842";"2";"217";"1";"20";"0";"1634";"0";"16340";"40";"40";"1520"
"0";"0";"3.1";"1";"10";"2930";"3";"218";"5";"32";"0";"1676";"0";"16760";"99";"31";"1951"
"0";"0";"3.4";"1";"10";"2930";"3";"218";"5";"32";"0";"1676";"0";"16760";"80";"80";"3520"
"0";"0";"3.7";"1";"10";"2930";"2";"218";"5";"32";"0";"1676";"0";"16760";"87";"87";"4089"
"0";"0";"4.0";"1";"10";"2933";"2";"219";"2";"27";"0";"1776";"0";"17760";"92";"92";"4600"
"0";"0";"4.3";"1";"10";"2877";"2";"218";"0";"20";"0";"1736";"0";"17360";"36";"4";"532"
"0";"0";"4.6";"1";"10";"2877";"2";"218";"0";"20";"0";"1736";"0";"17360";"30";"30";"1680"
"0";"0";"4.9";"1";"10";"2877";"2";"218";"0";"20";"0";"1736";"0";"17360";"33";"33";"1947"
"0";"0";"5.2";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"14";"14";"868"
"0";"0";"5.5";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"8";"8";"520"
"0";"0";"5.8";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"22";"22";"1496"
"0";"0";"6.1";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"58";"58";"4118"
"0";"0";"6.4";"1";"10";"2908";"3";"218";"3";"30";"0";"1725";"0";"17250";"54";"54";"3996"
"0";"0";"6.7";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"29";"29";"2233"
"0";"0";"7.0";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"28";"28";"2240"
"0";"0";"7.3";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"72";"72";"5976"
"0";"0";"7.6";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"90";"90";"7740"
"0";"0";"7.9";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"82";"82";"7298"
"0";"0";"8.2";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"83";"83";"7636"
"0";"0";"8.5";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"82";"82";"7790"
"0";"0";"8.8";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"83";"83";"8134"
"0";"0";"9.1";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"90";"90";"9090"
"0";"0";"9.4";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"90";"90";"9360"
"0";"0";"9.7";"1";"10";"2908";"2";"218";"3";"30";"0";"1725";"0";"17250";"82";"82";"8774"
"0";"1";"dynamic";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"52";"52";"5408"
"0";"1";"0.1";"1";"11";"2520";"2";"96";"0";"7";"0";"961";"0";"9610";"20";"164";"364"
"0";"1";"0.4";"1";"10";"3056";"3";"225";"2";"70";"0";"1670";"0";"16700";"48";"112";"928"
"0";"1";"0.7";"1";"10";"2980";"2";"214";"6";"60";"0";"1551";"0";"15510";"8";"8";"136"
"0";"1";"1.0";"1";"10";"3084";"3";"220";"2";"70";"0";"1565";"0";"15650";"18";"34";"520"
"0";"1";"1.3";"1";"10";"2935";"2";"215";"2";"35";"0";"1620";"0";"16200";"18";"30";"570"
"0";"1";"1.6";"1";"10";"2928";"2";"219";"6";"37";"0";"1634";"0";"16340";"16";"24";"544"
"0";"1";"1.9";"1";"10";"2928";"2";"219";"6";"37";"0";"1634";"0";"16340";"4";"8";"192"
"0";"1";"2.2";"1";"9";"4130";"4";"462";"7";"85";"0";"2798";"0";"27980";"238";"4";"2468"
"0";"1";"2.5";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"40";"40";"1400"
"0";"1";"2.8";"1";"9";"3842";"4";"454";"6";"65";"0";"2910";"0";"29100";"312";"8";"3344"
"0";"1";"3.1";"1";"10";"2842";"3";"218";"0";"20";"0";"1614";"0";"16140";"46";"46";"1886"
"0";"1";"3.4";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"24";"24";"1056"
"0";"1";"3.7";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"62";"62";"2914"
"0";"1";"4.0";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"52";"2";"600"
"0";"1";"4.3";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"12";"12";"636"
"0";"1";"4.6";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"8";"8";"448"
"0";"1";"4.9";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"4";"8";"432"
"0";"1";"5.2";"1";"9";"4029";"4";"450";"3";"60";"0";"3032";"0";"30320";"1220";"0";"12200"
"0";"1";"5.5";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"32";"32";"2080"
"0";"1";"5.8";"1";"9";"3970";"4";"453";"3";"60";"0";"2986";"0";"29860";"475";"0";"4750"
"0";"1";"6.1";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"76";"76";"5396"
"0";"1";"6.4";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"85";"85";"6290"
"0";"1";"6.7";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"74";"74";"5698"
"0";"1";"7.0";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"48";"48";"3840"
"0";"1";"7.3";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"48";"48";"3984"
"0";"1";"7.6";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"48";"48";"4128"
"0";"1";"7.9";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"93";"93";"8277"
"0";"1";"8.2";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"52";"52";"4784"
"0";"1";"8.5";"1";"10";"2842";"2";"218";"0";"20";"0";"1614";"0";"16140";"52";"52";"4940"
