"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"71";"19423";"10";"19423";"0";"0";"0";"7287";"0";"72870";"189";"0";"1890"
"Random";"Minimal";"Minimal";"10";"76615";"8";"73087";"100";"734";"0";"9071";"0";"90710";"54";"69";"1230"
"Random";"Minimal";"Maximum";"10";"89915";"8";"86342";"192";"772";"0";"18315";"0";"183150";"94";"105";"1990"
"Random";"Minimal";"Median";"10";"77134";"9";"73297";"185";"810";"0";"9473";"0";"94730";"128";"128";"2560"
"Random";"Maximum";"Minimal";"10";"90359";"9";"86894";"105";"715";"0";"17523";"0";"175230";"70";"89";"1590"
"Random";"Maximum";"Maximum";"11";"109910";"6";"107733";"66";"406";"0";"23313";"0";"233130";"7";"37";"440"
"Random";"Maximum";"Median";"10";"104360";"9";"100194";"131";"796";"0";"18025";"0";"180250";"86";"106";"1920"
"Random";"Median";"Minimal";"11";"73280";"4";"71855";"77";"273";"0";"8800";"0";"88000";"3";"18";"210"
"Random";"Median";"Maximum";"11";"95660";"5";"94106";"71";"254";"0";"19532";"0";"195320";"8";"30";"380"
"Random";"Median";"Median";"11";"109910";"6";"107733";"66";"406";"0";"23313";"0";"233130";"8";"42";"500"
"Greedy";"Minimal";"Minimal";"9";"4688";"5";"379";"38";"292";"0";"1206";"0";"12060";"210";"246";"4560"
"Greedy";"Minimal";"Maximum";"9";"4502";"5";"485";"39";"206";"0";"3094";"0";"30940";"252";"150";"4020"
"Greedy";"Minimal";"Median";"9";"4555";"5";"432";"21";"244";"0";"1916";"0";"19160";"223";"267";"4900"
"Greedy";"Maximum";"Minimal";"9";"4415";"6";"485";"30";"195";"0";"3005";"0";"30050";"254";"280";"5340"
"Greedy";"Maximum";"Maximum";"10";"6017";"4";"2600";"70";"211";"0";"13185";"0";"131850";"7";"28";"350"
"Greedy";"Maximum";"Median";"9";"6349";"8";"1668";"33";"316";"0";"8942";"0";"89420";"194";"194";"3880"
"Greedy";"Median";"Minimal";"9";"4206";"5";"415";"13";"158";"0";"1567";"0";"15670";"220";"236";"4560"
"Greedy";"Median";"Maximum";"9";"7185";"9";"1667";"88";"519";"0";"8807";"0";"88070";"202";"202";"4040"
"Greedy";"Median";"Median";"9";"5853";"6";"1467";"31";"257";"0";"6449";"0";"64490";"184";"184";"3680"
"Bipartite";"Minimal";"Minimal";"11";"118447";"9";"116785";"143";"430";"0";"31991";"0";"319910";"9";"9";"180"
"Bipartite";"Minimal";"Maximum";"11";"136367";"8";"135832";"21";"107";"0";"47643";"0";"476430";"12";"16";"280"
"Bipartite";"Minimal";"Median";"11";"119892";"8";"119123";"66";"173";"0";"32445";"0";"324450";"1";"2";"30"
"Bipartite";"Maximum";"Minimal";"11";"136202";"8";"135723";"32";"107";"0";"47408";"0";"474080";"3";"11";"140"
"Bipartite";"Maximum";"Maximum";"11";"171400";"8";"170548";"28";"153";"0";"60362";"0";"603620";"8";"16";"240"
"Bipartite";"Maximum";"Median";"11";"148253";"10";"146988";"54";"235";"0";"50373";"0";"503730";"21";"23";"440"
"Bipartite";"Median";"Minimal";"10";"123411";"10";"120855";"89";"569";"0";"33241";"0";"332410";"117";"45";"1620"
"Bipartite";"Median";"Maximum";"11";"146382";"7";"145957";"13";"69";"0";"51273";"0";"512730";"2";"6";"80"
"Bipartite";"Median";"Median";"11";"128298";"8";"127470";"26";"162";"0";"35005";"0";"350050";"7";"21";"280"
