"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"4";"33159";"2";"32850";"6";"27";"0";"12127";"0";"121270";"0";"0";"0"
"Random";"Minimal";"Minimal";"4";"8076";"0";"7812";"3";"38";"0";"2901";"0";"29010";"0";"0";"0"
"Random";"Minimal";"Maximum";"4";"9924";"1";"9610";"1";"23";"0";"4753";"0";"47530";"0";"0";"0"
"Random";"Minimal";"Median";"4";"8430";"0";"8017";"19";"65";"0";"2986";"0";"29860";"0";"0";"0"
"Random";"Maximum";"Minimal";"4";"9913";"0";"9617";"5";"28";"0";"4778";"0";"47780";"0";"0";"0"
"Random";"Maximum";"Maximum";"4";"11077";"1";"10706";"7";"42";"0";"5486";"0";"54860";"0";"0";"0"
"Random";"Maximum";"Median";"4";"10280";"0";"9945";"13";"46";"0";"5197";"0";"51970";"0";"0";"0"
"Random";"Median";"Minimal";"4";"8308";"0";"7986";"8";"38";"0";"3051";"0";"30510";"0";"0";"0"
"Random";"Median";"Maximum";"4";"10280";"1";"9945";"13";"46";"0";"5197";"0";"51970";"0";"0";"0"
"Random";"Median";"Median";"4";"9058";"0";"8723";"10";"35";"0";"3848";"0";"38480";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"4";"1135";"1";"362";"15";"81";"0";"388";"0";"3880";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"4";"879";"0";"485";"13";"44";"0";"696";"0";"6960";"0";"0";"0"
"Greedy";"Minimal";"Median";"4";"1074";"0";"388";"28";"83";"0";"449";"0";"4490";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"4";"968";"0";"496";"15";"52";"0";"723";"0";"7230";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"4";"4597";"1";"4229";"14";"39";"0";"7094";"0";"70940";"0";"0";"0"
"Greedy";"Maximum";"Median";"4";"1856";"0";"1610";"3";"25";"0";"2760";"0";"27600";"0";"0";"0"
"Greedy";"Median";"Minimal";"4";"1021";"0";"381";"13";"70";"0";"443";"0";"4430";"0";"0";"0"
"Greedy";"Median";"Maximum";"4";"1900";"0";"1608";"6";"26";"0";"2739";"0";"27390";"0";"0";"0"
"Greedy";"Median";"Median";"4";"1980";"0";"1568";"10";"40";"0";"1839";"0";"18390";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"4";"10222";"1";"9951";"5";"28";"0";"4334";"0";"43340";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"4";"12872";"1";"12535";"9";"41";"0";"7105";"0";"71050";"0";"0";"0"
"Bipartite";"Minimal";"Median";"4";"10315";"0";"10065";"1";"18";"0";"4365";"0";"43650";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"4";"12877";"0";"12524";"20";"48";"0";"7109";"0";"71090";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"4";"18294";"1";"17993";"9";"33";"0";"11222";"0";"112220";"0";"0";"0"
"Bipartite";"Maximum";"Median";"4";"13535";"1";"13191";"5";"43";"0";"7384";"0";"73840";"0";"0";"0"
"Bipartite";"Median";"Minimal";"4";"10400";"0";"10062";"15";"46";"0";"4444";"0";"44440";"0";"0";"0"
"Bipartite";"Median";"Maximum";"4";"13767";"1";"13187";"43";"108";"0";"7384";"0";"73840";"0";"0";"0"
"Bipartite";"Median";"Median";"4";"11318";"1";"11009";"6";"37";"0";"5590";"0";"55900";"0";"0";"0"
