"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"4";"2805";"2";"785";"391";"931";"0";"1122";"48";"11268";"0";"0";"0"
"0";"0";"0.4";"1";"4";"1938";"1";"813";"93";"256";"0";"1178";"5";"11800";"0";"0";"0"
"0";"0";"0.7";"1";"4";"1808";"1";"799";"63";"166";"0";"1140";"5";"11435";"0";"0";"0"
"0";"0";"1.0";"1";"4";"2084";"1";"790";"22";"285";"0";"1159";"9";"11680";"0";"0";"0"
"0";"0";"1.3";"1";"4";"1921";"0";"796";"47";"153";"0";"1180";"9";"11917";"0";"0";"0"
"0";"0";"1.6";"1";"4";"1893";"1";"798";"55";"135";"0";"1180";"9";"11944";"0";"0";"0"
"0";"0";"1.9";"1";"4";"1909";"1";"797";"56";"137";"0";"1180";"9";"11971";"0";"0";"0"
"0";"0";"2.2";"1";"4";"2163";"1";"804";"80";"149";"0";"1190";"4";"11988";"0";"0";"0"
"0";"0";"2.5";"1";"4";"1670";"1";"809";"12";"61";"0";"1190";"4";"12000";"0";"0";"0"
"0";"0";"2.8";"1";"4";"1784";"1";"806";"17";"68";"0";"1190";"4";"12012";"0";"0";"0"
"0";"0";"3.1";"1";"4";"1867";"0";"813";"18";"62";"0";"1205";"4";"12174";"0";"0";"0"
"0";"0";"3.4";"1";"4";"1867";"1";"813";"18";"62";"0";"1205";"4";"12186";"0";"0";"0"
"0";"0";"3.7";"1";"4";"1867";"1";"813";"18";"62";"0";"1205";"4";"12198";"0";"0";"0"
"0";"0";"4.0";"1";"4";"1792";"1";"817";"14";"61";"0";"1205";"4";"12210";"0";"0";"0"
"0";"0";"4.3";"1";"4";"1989";"1";"807";"16";"64";"0";"1205";"4";"12222";"0";"0";"0"
"0";"0";"4.6";"1";"4";"2016";"1";"803";"20";"68";"0";"1205";"4";"12234";"0";"0";"0"
"0";"0";"4.9";"1";"4";"2016";"1";"803";"20";"68";"0";"1205";"4";"12246";"0";"0";"0"
"0";"0";"5.2";"1";"4";"2030";"1";"810";"15";"65";"0";"1205";"4";"12258";"0";"0";"0"
"0";"0";"5.5";"1";"4";"2030";"1";"810";"15";"65";"0";"1205";"4";"12270";"0";"0";"0"
"0";"0";"5.8";"1";"4";"2030";"1";"810";"15";"65";"0";"1205";"4";"12282";"0";"0";"0"
"0";"0";"6.1";"1";"4";"2393";"2";"814";"36";"114";"0";"1205";"4";"12294";"0";"0";"0"
"0";"0";"6.4";"1";"4";"2393";"1";"814";"36";"114";"0";"1205";"4";"12306";"0";"0";"0"
"0";"0";"6.7";"1";"4";"2393";"1";"814";"36";"114";"0";"1205";"4";"12318";"0";"0";"0"
"0";"0";"7.0";"1";"4";"1985";"1";"800";"22";"71";"0";"1205";"4";"12330";"0";"0";"0"
"0";"0";"7.3";"1";"4";"2470";"1";"814";"39";"99";"0";"1205";"4";"12342";"0";"0";"0"
"0";"0";"7.6";"1";"4";"2470";"2";"814";"39";"99";"0";"1205";"4";"12354";"0";"0";"0"
"0";"0";"7.9";"1";"4";"2470";"1";"814";"39";"99";"0";"1205";"4";"12366";"0";"0";"0"
"0";"0";"8.2";"1";"4";"2067";"1";"797";"15";"73";"0";"1205";"4";"12378";"0";"0";"0"
"0";"0";"8.5";"1";"4";"2067";"1";"797";"15";"73";"0";"1205";"4";"12390";"0";"0";"0"
"0";"0";"8.8";"1";"4";"2067";"1";"797";"15";"73";"0";"1205";"4";"12402";"0";"0";"0"
"0";"0";"9.1";"1";"4";"2243";"1";"813";"16";"84";"0";"1205";"4";"12414";"0";"0";"0"
"0";"0";"9.4";"1";"4";"2243";"1";"813";"16";"84";"0";"1205";"4";"12426";"0";"0";"0"
"0";"0";"9.7";"1";"4";"2243";"1";"813";"16";"84";"0";"1205";"4";"12438";"0";"0";"0"
"0";"1";"dynamic";"1";"4";"1738";"1";"801";"12";"67";"0";"1154";"0";"11540";"0";"0";"0"
"0";"1";"0.1";"1";"4";"4506";"4";"797";"1012";"1939";"0";"1154";"0";"11540";"0";"0";"0"
"0";"1";"0.4";"1";"4";"1726";"1";"798";"49";"172";"0";"1158";"0";"11580";"0";"0";"0"
"0";"1";"0.7";"1";"4";"1765";"0";"804";"53";"157";"0";"1162";"0";"11620";"0";"0";"0"
"0";"1";"1.0";"1";"4";"1912";"1";"790";"37";"254";"0";"1152";"0";"11520";"0";"0";"0"
"0";"1";"1.3";"1";"4";"1771";"1";"797";"48";"115";"0";"1188";"0";"11880";"0";"0";"0"
"0";"1";"1.6";"1";"4";"1669";"0";"816";"18";"65";"0";"1169";"0";"11690";"0";"0";"0"
"0";"1";"1.9";"1";"4";"1669";"1";"816";"18";"65";"0";"1169";"0";"11690";"0";"0";"0"
"0";"1";"2.2";"1";"4";"1916";"0";"800";"19";"75";"0";"1154";"0";"11540";"0";"0";"0"
"0";"1";"2.5";"1";"4";"2445";"1";"798";"105";"200";"0";"1154";"0";"11540";"0";"0";"0"
"0";"1";"2.8";"1";"4";"1738";"1";"801";"12";"67";"0";"1154";"0";"11540";"0";"0";"0"
"0";"1";"3.1";"1";"4";"1996";"1";"809";"10";"57";"0";"1164";"0";"11640";"0";"0";"0"
"0";"1";"3.4";"1";"4";"1996";"0";"809";"10";"57";"0";"1164";"0";"11640";"0";"0";"0"
"0";"1";"3.7";"1";"4";"1980";"1";"806";"18";"61";"0";"1164";"0";"11640";"0";"0";"0"
"0";"1";"4.0";"1";"4";"2026";"1";"790";"19";"62";"0";"1164";"0";"11640";"0";"0";"0"
"0";"1";"4.3";"1";"4";"2020";"0";"791";"9";"48";"0";"1167";"0";"11670";"0";"0";"0"
"0";"1";"4.6";"1";"4";"2020";"1";"791";"9";"48";"0";"1167";"0";"11670";"0";"0";"0"
"0";"1";"4.9";"1";"4";"2020";"1";"791";"9";"48";"0";"1167";"0";"11670";"0";"0";"0"
"0";"1";"5.2";"1";"4";"1994";"1";"797";"10";"46";"0";"1167";"0";"11670";"0";"0";"0"
