"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Scratch";"";"";"0.2";"1.0";"0.8226639439906652";"0.8241443292137438";"5"
"Greedy";"Median";"Median";"0.0031746031746031746";"0.12";"0.05278910059797924";"0.12766917306334347";"5"
"Greedy";"Median";"Maximum";"0.0031746031746031746";"0.22000000000000003";"0.05418525954165272";"0.1769186839368113";"5"
"Greedy";"Median";"Minimal";"0.0031746031746031746";"0.13999999999999999";"0.03365823871926003";"0.03162073631638227";"5"
"Greedy";"Maximum";"Median";"0.0031746031746031746";"0.3";"0.050979350028914114";"0.1787597261430342";"5"
"Greedy";"Maximum";"Maximum";"0.006349206349206349";"0.22000000000000003";"0.11271296346343496";"0.4618474326724661";"5"
"Greedy";"Maximum";"Minimal";"0.0031746031746031746";"0.12";"0.02955609490926474";"0.05095839496685499";"5"
"Greedy";"Minimal";"Median";"0.0031746031746031746";"0.13999999999999999";"0.03399379909383923";"0.033938455883438384";"5"
"Greedy";"Minimal";"Maximum";"0.0031746031746031746";"0.44000000000000006";"0.03091165811489962";"0.0510318226427672";"5"
"Greedy";"Minimal";"Minimal";"0.0031746031746031746";"0.2";"0.03210693949295802";"0.02592876309420931";"5"
"Bipartite";"Median";"Median";"0.009523809523809523";"0.34";"0.4042516560147188";"0.4637172040809916";"5"
"Bipartite";"Median";"Maximum";"0.009523809523809523";"0.38";"0.4715253010364838";"0.6596725845443604";"5"
"Bipartite";"Median";"Minimal";"0.006349206349206349";"0.48";"0.3840470139464392";"0.40047811790476795";"5"
"Bipartite";"Maximum";"Median";"0.009523809523809523";"0.44000000000000006";"0.47264149851719994";"0.656784621008979";"5"
"Bipartite";"Maximum";"Maximum";"0.009523809523809523";"0.34";"0.6101632227019387";"0.9212979022739447";"5"
"Bipartite";"Maximum";"Minimal";"0.009523809523809523";"0.3";"0.44389212929517574";"0.6133280609000001";"5"
"Bipartite";"Minimal";"Median";"0.009523809523809523";"0.44000000000000006";"0.3761657903140251";"0.39687930040936725";"5"
"Bipartite";"Minimal";"Maximum";"0.009523809523809523";"0.4";"0.4568872516264141";"0.6162940657082175";"5"
"Bipartite";"Minimal";"Minimal";"0.009523809523809523";"0.36";"0.37100107353586587";"0.39002471645687364";"5"
"Random";"Median";"Median";"0.009523809523809523";"0.26";"0.3258411692953247";"0.2925788535885928";"5"
"Random";"Median";"Maximum";"0.009523809523809523";"0.24";"0.3388868837081785";"0.3746184046393897";"5"
"Random";"Median";"Minimal";"0.011904761904761904";"0.15000000000000002";"0.27357777049142495";"0.19366259186661097";"4"
"Random";"Maximum";"Median";"0.006349206349206349";"0.32";"0.3463642605025704";"0.3676205515746466";"5"
"Random";"Maximum";"Maximum";"0.009523809523809523";"0.26";"0.3785711588853705";"0.4124144108158049";"5"
"Random";"Maximum";"Minimal";"0.006349206349206349";"0.32";"0.31898305940036964";"0.33109804726264935";"5"
"Random";"Minimal";"Median";"0.006349206349206349";"0.22000000000000003";"0.270380795799554";"0.20694274213792102";"5"
"Random";"Minimal";"Maximum";"0.006349206349206349";"0.3";"0.3186908916617225";"0.33362522519201837";"5"
"Random";"Minimal";"Minimal";"0.006349206349206349";"0.2";"0.26699236030019613";"0.19936298158897278";"5"
