"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"7";"43373";"2";"42843";"26";"93";"0";"9592";"0";"95920";"0";"0";"0"
"Random";"Minimal";"Minimal";"7";"6963";"0";"6588";"21";"76";"0";"1379";"0";"13790";"0";"0";"0"
"Random";"Minimal";"Maximum";"7";"8458";"0";"8092";"29";"81";"0";"2353";"0";"23530";"0";"0";"0"
"Random";"Minimal";"Median";"7";"6976";"0";"6672";"10";"67";"0";"1421";"0";"14210";"0";"0";"0"
"Random";"Maximum";"Minimal";"7";"8567";"1";"8263";"23";"65";"0";"2336";"0";"23360";"0";"0";"0"
"Random";"Maximum";"Maximum";"7";"10671";"0";"10091";"52";"153";"0";"3100";"0";"31000";"0";"0";"0"
"Random";"Maximum";"Median";"7";"9236";"1";"8857";"26";"92";"0";"2714";"0";"27140";"0";"0";"0"
"Random";"Median";"Minimal";"7";"7580";"0";"6869";"57";"176";"0";"1385";"0";"13850";"0";"0";"0"
"Random";"Median";"Maximum";"7";"9912";"0";"8970";"94";"243";"0";"2820";"0";"28200";"0";"0";"0"
"Random";"Median";"Median";"7";"7789";"1";"7490";"15";"69";"0";"1693";"0";"16930";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"7";"957";"0";"108";"48";"168";"0";"118";"0";"1180";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"7";"1553";"1";"147";"100";"322";"0";"231";"0";"2310";"0";"0";"0"
"Greedy";"Minimal";"Median";"7";"799";"0";"124";"22";"115";"0";"157";"0";"1570";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"7";"775";"0";"146";"25";"96";"0";"232";"0";"2320";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"7";"1883";"0";"1448";"21";"52";"0";"2346";"0";"23460";"0";"0";"0"
"Greedy";"Maximum";"Median";"7";"1084";"1";"547";"23";"79";"0";"856";"0";"8560";"0";"0";"0"
"Greedy";"Median";"Minimal";"7";"779";"0";"133";"23";"104";"0";"160";"0";"1600";"0";"0";"0"
"Greedy";"Median";"Maximum";"7";"1160";"0";"536";"32";"115";"0";"856";"0";"8560";"0";"0";"0"
"Greedy";"Median";"Median";"7";"1378";"0";"560";"39";"142";"0";"796";"0";"7960";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"7";"11861";"0";"11004";"85";"218";"0";"3762";"0";"37620";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"7";"13884";"1";"13423";"31";"116";"0";"5804";"0";"58040";"0";"0";"0"
"Bipartite";"Minimal";"Median";"7";"11850";"0";"11401";"38";"105";"0";"3854";"0";"38540";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"7";"13721";"1";"13340";"27";"96";"0";"5649";"0";"56490";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"7";"18691";"0";"17951";"62";"177";"0";"7558";"0";"75580";"0";"0";"0"
"Bipartite";"Maximum";"Median";"7";"14645";"1";"14286";"18";"91";"0";"6158";"0";"61580";"0";"0";"0"
"Bipartite";"Median";"Minimal";"7";"11803";"0";"11201";"36";"138";"0";"3765";"0";"37650";"0";"0";"0"
"Bipartite";"Median";"Maximum";"7";"14496";"1";"14350";"6";"39";"0";"6184";"0";"61840";"0";"0";"0"
"Bipartite";"Median";"Median";"7";"12522";"0";"12081";"39";"111";"0";"4141";"0";"41410";"0";"0";"0"
