"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Greedy";"Minimal";"Minimal";"0.34738016116613557";"0.831439393939394";"0.2823942064960181";"0.02305340401640669";"8"
"Greedy";"Minimal";"Median";"0.342795883699725";"0.8469696969696969";"0.2867002104212002";"0.13066342152676885";"8"
"Greedy";"Minimal";"Maximum";"0.34365802847744364";"0.8992424242424243";"0.28811792098953865";"0.061552292601408994";"8"
"Greedy";"Median";"Minimal";"0.2478360690206169";"0.8798701298701299";"0.19669662787083403";"0.0475542857143336";"7"
"Greedy";"Median";"Median";"0.34687796572017254";"0.8163352272727273";"0.2950589463262849";"0.21560617243219835";"8"
"Greedy";"Median";"Maximum";"0.24398944012086707";"0.9346320346320346";"0.2114992424518174";"0.27874722911021227";"7"
"Greedy";"Maximum";"Minimal";"0.35013643379305825";"0.8158143939393939";"0.28228000714223317";"0.0592612689310919";"8"
"Greedy";"Maximum";"Median";"0.24723213859519894";"0.8393939393939392";"0.20662156441009588";"0.27717183812826873";"7"
"Greedy";"Maximum";"Maximum";"0.2992419975986033";"0.6823051948051948";"0.2600707688030915";"0.3210592295251651";"7"
"Bipartite";"Minimal";"Minimal";"0.08875379939209727";"0.7";"0.767001867940075";"0.9225012842358082";"2"
"Bipartite";"Minimal";"Maximum";"0.0851063829787234";"0.6499999999999999";"0.8038732158920443";"0.9643179134328881";"2"
"Bipartite";"Minimal";"Median";"0.5370239585195781";"0.753125";"0.8657078284917415";"0.9618981270453767";"4"
"Bipartite";"Median";"Minimal";"0.08875379939209727";"0.65";"0.7650637126782267";"0.9253439986993994";"2"
"Bipartite";"Median";"Median";"0.08875379939209727";"0.75";"0.7976209671281611";"0.9324005694059114";"2"
"Bipartite";"Median";"Maximum";"0.08875379939209727";"0.8";"0.8675602040017723";"0.9825274930486135";"2"
"Bipartite";"Maximum";"Minimal";"0.34523518382652646";"0.8333333333333334";"0.6202237746918614";"0.978169089457528";"3"
"Bipartite";"Maximum";"Median";"0.08875379939209727";"0.75";"0.8655205952749667";"0.9824289887898385";"2"
"Bipartite";"Maximum";"Maximum";"0.07446808510638298";"0.75";"1.0";"1.0";"2"
"Random";"Minimal";"Minimal";"0.1295477259119128";"0.8181818181818182";"0.5606012942434071";"0.2842718514573194";"6"
"Random";"Minimal";"Median";"0.12290871945449285";"0.8848484848484849";"0.5884521943210674";"0.29860373674005164";"6"
"Random";"Minimal";"Maximum";"0.12670152996226858";"0.834848484848485";"0.6656743419955725";"0.4316412364107564";"6"
"Random";"Median";"Minimal";"0.12225983261410985";"0.8378787878787879";"0.5828509742957322";"0.29286772915666875";"6"
"Random";"Median";"Median";"0.12123972185922789";"0.834848484848485";"0.6363825445672437";"0.32752552621181447";"6"
"Random";"Median";"Maximum";"0.2487338516131934";"0.8418831168831169";"0.7769382211775608";"0.5342575755314177";"7"
"Random";"Maximum";"Minimal";"0.24923281418684237";"0.8203463203463203";"0.7055789768086111";"0.37667710454657616";"7"
"Random";"Maximum";"Median";"0.12160711806979844";"0.8681818181818182";"0.7558987239673293";"0.48545553912746403";"6"
"Random";"Maximum";"Maximum";"0.1263950165523069";"0.9363636363636364";"0.8452679047681446";"0.5504787834910135";"6"
"Scratch";"";"";"1.0";"0.903030303030303";"0.26908195583100464";"0.44299380100274344";"6"
