"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"149";"0";"2788890180";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Random";"Minimal";"Minimal";"149";"0";"2788890167";"0";"0";"0";"0";"1965";"0";"19650";"468";"0";"4680"
"Random";"Minimal";"Maximum";"149";"0";"2788890155";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Random";"Minimal";"Median";"149";"0";"2788890143";"0";"0";"0";"0";"1965";"0";"19650";"698";"0";"6980"
"Random";"Maximum";"Minimal";"149";"0";"2788890131";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Random";"Maximum";"Maximum";"2";"0";"2788890119";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Random";"Maximum";"Median";"149";"0";"2788890104";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Random";"Median";"Minimal";"149";"0";"2788890091";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Random";"Median";"Maximum";"68";"3403";"14";"0";"0";"0";"0";"249";"0";"2490";"174";"0";"1740"
"Random";"Median";"Median";"149";"0";"2788890062";"0";"0";"0";"0";"1965";"0";"19650";"568";"0";"5680"
"Greedy";"Minimal";"Minimal";"67";"3487";"16";"2";"0";"0";"0";"9";"0";"90";"2";"2";"40"
"Greedy";"Minimal";"Maximum";"67";"3490";"16";"4";"0";"0";"0";"30";"0";"300";"3";"3";"60"
"Greedy";"Minimal";"Median";"68";"3403";"16";"0";"0";"0";"0";"249";"0";"2490";"174";"0";"1740"
"Greedy";"Maximum";"Minimal";"67";"3490";"14";"4";"0";"0";"0";"30";"0";"300";"3";"3";"60"
"Greedy";"Maximum";"Maximum";"68";"3403";"13";"0";"0";"0";"0";"321";"0";"3210";"269";"0";"2690"
"Greedy";"Maximum";"Median";"2";"0";"2788889967";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Greedy";"Median";"Minimal";"66";"3581";"12";"11";"0";"0";"0";"34";"0";"340";"13";"0";"130"
"Greedy";"Median";"Maximum";"149";"0";"2788889942";"0";"0";"0";"0";"1965";"0";"19650";"468";"0";"4680"
"Greedy";"Median";"Median";"68";"3403";"13";"0";"0";"0";"0";"173";"0";"1730";"114";"0";"1140"
"Bipartite";"Minimal";"Minimal";"2";"0";"2788889915";"0";"0";"0";"0";"145535";"0";"1455350";"100714";"0";"1007140"
"Bipartite";"Minimal";"Maximum";"2";"0";"2788889901";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Bipartite";"Minimal";"Median";"68";"3403";"13";"0";"0";"0";"0";"321";"0";"3210";"269";"0";"2690"
"Bipartite";"Maximum";"Minimal";"2";"0";"2788889873";"0";"0";"0";"0";"145535";"0";"1455350";"100714";"0";"1007140"
"Bipartite";"Maximum";"Maximum";"2";"0";"2788889859";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Bipartite";"Maximum";"Median";"2";"0";"2788889845";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Bipartite";"Median";"Minimal";"2";"0";"2788889832";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Bipartite";"Median";"Maximum";"2";"0";"2788889820";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
"Bipartite";"Median";"Median";"2";"0";"2788889807";"0";"0";"0";"0";"145535";"0";"1455350";"109907";"0";"1099070"
