"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"51";"2559";"2";"455";"27";"285";"0";"354";"0";"3540";"1";"7";"17"
"0";"0";"0.4";"1";"49";"3932";"4";"711";"21";"596";"0";"449";"0";"4490";"6";"8";"92"
"0";"0";"0.7";"1";"49";"3994";"4";"712";"13";"695";"0";"460";"0";"4600";"8";"4";"108"
"0";"0";"1.0";"1";"50";"3553";"4";"578";"13";"555";"0";"400";"0";"4000";"8";"8";"160"
"0";"0";"1.3";"1";"50";"3436";"3";"570";"4";"451";"0";"376";"0";"3760";"1";"1";"23"
"0";"0";"1.6";"1";"50";"3436";"3";"570";"4";"451";"0";"376";"0";"3760";"1";"1";"26"
"0";"0";"1.9";"1";"50";"3436";"3";"570";"4";"451";"0";"376";"0";"3760";"1";"1";"29"
"0";"0";"2.2";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"6";"6";"192"
"0";"0";"2.5";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"2";"130"
"0";"0";"2.8";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"5";"210"
"0";"0";"3.1";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"0";"70"
"0";"0";"3.4";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"4";"1";"74"
"0";"0";"3.7";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"4";"4";"188"
"0";"0";"4.0";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"2";"160"
"0";"0";"4.3";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"2";"166"
"0";"0";"4.6";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"3";"218"
"0";"0";"4.9";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"6";"6";"354"
"0";"0";"5.2";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"0";"80"
"0";"0";"5.5";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"1";"125"
"0";"0";"5.8";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"0";"70"
"0";"0";"6.1";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"5";"5";"355"
"0";"0";"6.4";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"1";"144"
"0";"0";"6.7";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"7";"539"
"0";"0";"7.0";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"5";"0";"50"
"0";"0";"7.3";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"6";"1";"133"
"0";"0";"7.6";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"0";"80"
"0";"0";"7.9";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"5";"5";"445"
"0";"0";"8.2";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"2";"244"
"0";"0";"8.5";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"6";"6";"570"
"0";"0";"8.8";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"4";"432"
"0";"0";"9.1";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"3";"353"
"0";"0";"9.4";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"7";"0";"70"
"0";"0";"9.7";"1";"50";"3368";"3";"569";"7";"485";"0";"387";"0";"3870";"8";"1";"177"
"0";"1";"dynamic";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"46"
"0";"1";"0.1";"1";"51";"3089";"4";"450";"34";"473";"0";"355";"0";"3550";"3";"3";"33"
"0";"1";"0.4";"1";"50";"3639";"4";"563";"15";"569";"0";"395";"0";"3950";"4";"4";"56"
"0";"1";"0.7";"1";"50";"3546";"3";"563";"6";"530";"0";"404";"0";"4040";"1";"2";"24"
"0";"1";"1.0";"1";"50";"3395";"3";"561";"11";"512";"0";"405";"0";"4050";"2";"2";"40"
"0";"1";"1.3";"1";"50";"3871";"3";"557";"1";"649";"0";"396";"0";"3960";"1";"1";"23"
"0";"1";"1.6";"1";"50";"3871";"3";"557";"1";"649";"0";"396";"0";"3960";"1";"1";"26"
"0";"1";"1.9";"1";"50";"3871";"3";"557";"1";"649";"0";"396";"0";"3960";"1";"1";"29"
"0";"1";"2.2";"1";"49";"4736";"4";"689";"0";"828";"0";"438";"0";"4380";"7";"1";"92"
"0";"1";"2.5";"1";"49";"4736";"4";"689";"0";"828";"0";"438";"0";"4380";"36";"0";"360"
"0";"1";"2.8";"1";"49";"4736";"4";"689";"0";"828";"0";"438";"0";"4380";"7";"1";"98"
"0";"1";"3.1";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"2";"2";"82"
"0";"1";"3.4";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"44"
"0";"1";"3.7";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"47"
"0";"1";"4.0";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"50"
"0";"1";"4.3";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"2";"2";"106"
"0";"1";"4.6";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"4";"3";"178"
"0";"1";"4.9";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"59"
"0";"1";"5.2";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"62"
"0";"1";"5.5";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"65"
"0";"1";"5.8";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"4";"4";"272"
"0";"1";"6.1";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"71"
"0";"1";"6.4";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"74"
"0";"1";"6.7";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"77"
"0";"1";"7.0";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"80"
"0";"1";"7.3";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"83"
"0";"1";"7.6";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"86"
"0";"1";"7.9";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"89"
"0";"1";"8.2";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"92"
"0";"1";"8.5";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"2";"2";"190"
"0";"1";"8.8";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"98"
"0";"1";"9.1";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"2";"2";"202"
"0";"1";"9.4";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"1";"1";"104"
"0";"1";"9.7";"1";"50";"3753";"3";"557";"0";"607";"0";"397";"0";"3970";"3";"0";"30"
"1";"0";"0.1";"1";"51";"2559";"2";"455";"27";"285";"0";"354";"0";"3540";"1";"5";"15"
"1";"0";"0.4";"1";"49";"3932";"4";"711";"21";"596";"0";"449";"0";"4490";"6";"7";"88"
"1";"0";"0.7";"1";"49";"3785";"4";"712";"13";"588";"1";"457";"0";"4570";"3";"3";"51"
"1";"0";"1.0";"1";"50";"3553";"4";"578";"13";"555";"0";"400";"0";"4000";"9";"9";"180"
"1";"0";"1.3";"1";"50";"3579";"4";"570";"6";"480";"7";"382";"0";"3820";"2";"0";"20"
"1";"0";"1.6";"1";"50";"3579";"4";"570";"6";"480";"7";"382";"0";"3820";"3";"3";"78"
"1";"0";"1.9";"1";"50";"3579";"4";"570";"6";"480";"7";"382";"0";"3820";"4";"1";"59"
"1";"0";"2.2";"1";"50";"3321";"3";"570";"8";"466";"13";"395";"0";"3950";"2";"2";"64"
"1";"0";"2.5";"1";"50";"3321";"3";"570";"8";"466";"13";"395";"0";"3950";"2";"2";"70"
"1";"0";"2.8";"1";"50";"3321";"3";"570";"8";"466";"13";"395";"0";"3950";"2";"2";"76"
"1";"0";"3.1";"1";"49";"4253";"4";"703";"9";"607";"51";"440";"0";"4400";"9";"5";"245"
"1";"0";"3.4";"1";"49";"4253";"4";"703";"9";"607";"51";"440";"0";"4400";"12";"0";"120"
"1";"0";"3.7";"1";"49";"4253";"4";"703";"9";"607";"51";"440";"0";"4400";"12";"0";"120"
"1";"0";"4.0";"1";"49";"4378";"4";"704";"8";"638";"55";"432";"0";"4320";"21";"0";"210"
"1";"0";"4.3";"1";"50";"3554";"3";"565";"2";"470";"43";"389";"0";"3890";"1";"1";"53"
"1";"0";"4.6";"1";"50";"3554";"4";"565";"2";"470";"43";"389";"0";"3890";"2";"2";"112"
"1";"0";"4.9";"1";"50";"3554";"4";"565";"2";"470";"43";"389";"0";"3890";"3";"0";"30"
"1";"0";"5.2";"1";"50";"3402";"3";"562";"2";"448";"40";"381";"0";"3810";"1";"1";"62"
"1";"0";"5.5";"1";"50";"3402";"3";"562";"2";"448";"40";"381";"0";"3810";"2";"2";"130"
"1";"0";"5.8";"1";"50";"3402";"3";"562";"2";"448";"40";"381";"0";"3810";"4";"4";"272"
"1";"0";"6.1";"1";"50";"3567";"4";"569";"0";"482";"37";"401";"0";"4010";"2";"1";"81"
"1";"0";"6.4";"1";"49";"4442";"4";"701";"0";"653";"64";"450";"0";"4500";"1";"1";"74"
"1";"0";"6.7";"1";"49";"4442";"4";"701";"0";"653";"64";"450";"0";"4500";"7";"0";"70"
"1";"0";"7.0";"1";"49";"4442";"4";"701";"0";"653";"64";"450";"0";"4500";"10";"8";"660"
"1";"0";"7.3";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"1";"1";"83"
"1";"0";"7.6";"1";"50";"3505";"4";"569";"2";"484";"40";"402";"0";"4020";"2";"2";"172"
"1";"0";"7.9";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"2";"2";"178"
"1";"0";"8.2";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"2";"2";"184"
"1";"0";"8.5";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"1";"1";"95"
"1";"0";"8.8";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"2";"0";"20"
"1";"0";"9.1";"1";"50";"3505";"4";"569";"2";"484";"40";"402";"0";"4020";"2";"2";"202"
"1";"0";"9.4";"1";"50";"3505";"3";"569";"2";"484";"40";"402";"0";"4020";"2";"2";"208"
"1";"0";"9.7";"1";"50";"3505";"4";"569";"2";"484";"40";"402";"0";"4020";"1";"1";"107"
"1";"1";"dynamic";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"108"
"1";"1";"0.1";"1";"51";"3089";"4";"450";"34";"473";"0";"355";"0";"3550";"3";"4";"34"
"1";"1";"0.4";"1";"50";"3639";"4";"563";"15";"569";"0";"395";"0";"3950";"6";"3";"72"
"1";"1";"0.7";"1";"50";"3546";"3";"563";"6";"530";"0";"404";"0";"4040";"1";"2";"24"
"1";"1";"1.0";"1";"50";"3395";"3";"561";"11";"512";"0";"405";"0";"4050";"2";"4";"60"
"1";"1";"1.3";"1";"50";"3758";"3";"557";"0";"595";"4";"394";"0";"3940";"8";"8";"184"
"1";"1";"1.6";"1";"50";"3758";"3";"557";"0";"595";"4";"394";"0";"3940";"4";"4";"104"
"1";"1";"1.9";"1";"50";"3758";"3";"557";"0";"595";"4";"394";"0";"3940";"5";"2";"88"
"1";"1";"2.2";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"0";"40"
"1";"1";"2.5";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"1";"65"
"1";"1";"2.8";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"152"
"1";"1";"3.1";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"164"
"1";"1";"3.4";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"88"
"1";"1";"3.7";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"188"
"1";"1";"4.0";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"200"
"1";"1";"4.3";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"106"
"1";"1";"4.6";"1";"49";"4957";"4";"685";"4";"857";"9";"452";"0";"4520";"12";"1";"166"
"1";"1";"4.9";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"118"
"1";"1";"5.2";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"248"
"1";"1";"5.5";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"130"
"1";"1";"5.8";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"0";"40"
"1";"1";"6.1";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"3";"2";"152"
"1";"1";"6.4";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"148"
"1";"1";"6.7";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"0";"40"
"1";"1";"7.0";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"320"
"1";"1";"7.3";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"5";"5";"415"
"1";"1";"7.6";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"0";"40"
"1";"1";"7.9";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"178"
"1";"1";"8.2";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"2";"2";"184"
"1";"1";"8.5";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"3";"3";"285"
"1";"1";"8.8";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"3";"3";"294"
"1";"1";"9.1";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"4";"4";"404"
"1";"1";"9.4";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"3";"2";"218"
"1";"1";"9.7";"1";"50";"3782";"3";"557";"2";"595";"4";"395";"0";"3950";"5";"1";"147"
"0";"0";"0.1";"2";"51";"3045";"2";"460";"3";"276";"0";"341";"0";"3410";"1";"10";"20"
"0";"0";"0.4";"2";"50";"3879";"4";"574";"14";"443";"0";"393";"0";"3930";"2";"1";"24"
"0";"0";"0.7";"2";"50";"3950";"4";"574";"16";"492";"0";"405";"0";"4050";"5";"5";"85"
"0";"0";"1.0";"2";"49";"4466";"4";"710";"0";"490";"0";"452";"0";"4520";"10";"4";"140"
"0";"0";"1.3";"2";"50";"3886";"4";"580";"6";"396";"0";"413";"0";"4130";"1";"1";"23"
"0";"0";"1.6";"2";"50";"3886";"4";"580";"6";"396";"0";"413";"0";"4130";"1";"1";"26"
"0";"0";"1.9";"2";"50";"3886";"4";"580";"6";"396";"0";"413";"0";"4130";"1";"1";"29"
"0";"0";"2.2";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"64"
"0";"0";"2.5";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"5";"0";"50"
"0";"0";"2.8";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"76"
"0";"0";"3.1";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"82"
"0";"0";"3.4";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"6";"0";"60"
"0";"0";"3.7";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"1";"1";"47"
"0";"0";"4.0";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"3";"2";"110"
"0";"0";"4.3";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"1";"63"
"0";"0";"4.6";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"7";"0";"70"
"0";"0";"4.9";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"4";"0";"40"
"0";"0";"5.2";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"0";"20"
"0";"0";"5.5";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"3";"0";"30"
"0";"0";"5.8";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"136"
"0";"0";"6.1";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"3";"3";"213"
"0";"0";"6.4";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"7";"0";"70"
"0";"0";"6.7";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"154"
"0";"0";"7.0";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"2";"160"
"0";"0";"7.3";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"2";"0";"20"
"0";"0";"7.6";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"1";"1";"86"
"0";"0";"7.9";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"1";"1";"89"
"0";"0";"8.2";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"5";"0";"50"
"0";"0";"8.5";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"7";"7";"665"
"0";"0";"8.8";"2";"50";"3533";"3";"580";"2";"316";"0";"402";"0";"4020";"3";"3";"294"
