"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"683";"897";"9";"897";"0";"0";"0";"1296";"0";"12960";"180";"0";"1800"
"Random";"Minimal";"Minimal";"400";"126368";"39";"109609";"0";"0";"0";"685";"0";"6850";"1";"0";"10"
"Random";"Minimal";"Maximum";"223";"263715";"61";"245930";"0";"0";"0";"3694";"0";"36940";"11";"0";"110"
"Random";"Minimal";"Median";"394";"129828";"45";"115413";"0";"0";"0";"791";"0";"7910";"1";"0";"10"
"Random";"Maximum";"Minimal";"346";"161186";"52";"148759";"0";"0";"0";"1591";"0";"15910";"5";"0";"50"
"Random";"Maximum";"Maximum";"598";"34989";"15";"34989";"0";"0";"0";"1290";"0";"12900";"11";"0";"110"
"Random";"Maximum";"Median";"592";"32293";"17";"32284";"0";"0";"0";"697";"0";"6970";"2";"0";"20"
"Random";"Median";"Minimal";"231";"253760";"67";"229692";"0";"0";"0";"1567";"0";"15670";"1";"1";"20"
"Random";"Median";"Maximum";"345";"192022";"55";"191727";"0";"0";"0";"2836";"0";"28360";"5";"0";"50"
"Random";"Median";"Median";"596";"30762";"15";"29747";"0";"0";"0";"546";"0";"5460";"1";"0";"10"
"Greedy";"Minimal";"Minimal";"212";"112102";"73";"1";"0";"0";"0";"2";"0";"20";"1";"1";"20"
"Greedy";"Minimal";"Maximum";"2";"0";"2788889416";"0";"0";"0";"0";"153842";"0";"1538420";"28254";"0";"282540"
"Greedy";"Minimal";"Median";"212";"112102";"73";"2";"0";"0";"0";"6";"0";"60";"1";"1";"20"
"Greedy";"Maximum";"Minimal";"208";"114026";"74";"30";"0";"0";"0";"43";"0";"430";"1";"1";"20"
"Greedy";"Maximum";"Maximum";"2";"0";"2788889254";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Greedy";"Maximum";"Median";"346";"161186";"43";"148759";"0";"0";"0";"1591";"0";"15910";"5";"0";"50"
"Greedy";"Median";"Minimal";"208";"114025";"70";"30";"0";"0";"0";"16";"0";"160";"1";"1";"20"
"Greedy";"Median";"Maximum";"208";"114048";"70";"60";"0";"0";"0";"179";"0";"1790";"8";"0";"80"
"Greedy";"Median";"Median";"208";"114048";"68";"60";"0";"0";"0";"84";"0";"840";"8";"0";"80"
"Bipartite";"Minimal";"Minimal";"2";"0";"2788888986";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Bipartite";"Minimal";"Maximum";"2";"0";"2788888974";"0";"0";"0";"0";"153842";"0";"1538420";"28254";"0";"282540"
"Bipartite";"Minimal";"Median";"2";"0";"2788888962";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Bipartite";"Maximum";"Minimal";"208";"114026";"68";"30";"0";"0";"0";"45";"0";"450";"1";"1";"20"
"Bipartite";"Maximum";"Maximum";"2";"0";"2788888880";"0";"0";"0";"0";"153842";"0";"1538420";"28254";"0";"282540"
"Bipartite";"Maximum";"Median";"2";"0";"2788888869";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Bipartite";"Median";"Minimal";"2";"0";"2788888856";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Bipartite";"Median";"Maximum";"2";"0";"2788888844";"0";"0";"0";"0";"153842";"0";"1538420";"15230";"0";"152300"
"Bipartite";"Median";"Median";"2";"0";"2788888832";"0";"0";"0";"0";"153842";"0";"1538420";"28254";"0";"282540"
