"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"24";"180796";"9";"177987";"24";"413";"0";"19091";"0";"190910";"51";"51";"1020"
"Random";"Minimal";"Minimal";"22";"16908";"6";"12316";"44";"934";"0";"1046";"0";"10460";"10";"12";"220"
"Random";"Minimal";"Maximum";"22";"19623";"7";"14272";"39";"1069";"0";"1478";"0";"14780";"14";"16";"300"
"Random";"Minimal";"Median";"22";"18322";"5";"13307";"76";"1055";"0";"1170";"0";"11700";"13";"26";"390"
"Random";"Maximum";"Minimal";"22";"20366";"8";"14518";"117";"1335";"0";"1496";"0";"14960";"11";"11";"220"
"Random";"Maximum";"Maximum";"22";"26796";"8";"20367";"142";"1456";"0";"2149";"0";"21490";"12";"15";"270"
"Random";"Maximum";"Median";"22";"22654";"6";"17064";"86";"1124";"0";"1807";"0";"18070";"15";"18";"330"
"Random";"Median";"Minimal";"22";"17584";"5";"12816";"88";"1053";"0";"1136";"0";"11360";"14";"14";"280"
"Random";"Median";"Maximum";"22";"24756";"10";"17143";"123";"1740";"0";"1709";"0";"17090";"17";"17";"340"
"Random";"Median";"Median";"22";"19564";"3";"15728";"60";"808";"0";"1423";"0";"14230";"15";"17";"320"
"Greedy";"Minimal";"Minimal";"22";"5758";"6";"519";"53";"818";"0";"265";"0";"2650";"11";"14";"250"
"Greedy";"Minimal";"Maximum";"23";"3217";"3";"466";"12";"301";"0";"332";"0";"3320";"6";"7";"130"
"Greedy";"Minimal";"Median";"22";"5776";"5";"555";"48";"810";"0";"333";"0";"3330";"19";"19";"380"
"Greedy";"Maximum";"Minimal";"22";"7371";"7";"671";"81";"1213";"0";"426";"0";"4260";"3";"5";"80"
"Greedy";"Maximum";"Maximum";"22";"5843";"4";"1319";"51";"705";"0";"747";"0";"7470";"17";"17";"340"
"Greedy";"Maximum";"Median";"START";"0";"70"
"Greedy";"Median";"Minimal";"22";"7346";"8";"556";"89";"1196";"0";"333";"0";"3330";"21";"21";"420"
"Greedy";"Median";"Maximum";"22";"7173";"10";"1116";"63";"1012";"0";"648";"0";"6480";"19";"19";"380"
"Greedy";"Median";"Median";"START";"0";"70"
"Bipartite";"Minimal";"Minimal";"26";"162609";"9";"161362";"2";"191";"0";"17618";"0";"176180";"25";"25";"500"
"Bipartite";"Minimal";"Maximum";"START";"0";"70"
"Bipartite";"Minimal";"Median";"START";"0";"70"
"Bipartite";"Maximum";"Minimal";"22";"32897";"7";"26838";"98";"1373";"0";"9779";"0";"97790";"11";"11";"220"
"Bipartite";"Maximum";"Maximum";"22";"40842";"9";"33694";"87";"1519";"0";"10850";"0";"108500";"14";"14";"280"
"Bipartite";"Maximum";"Median";"25";"18393";"0";"17838";"4";"127";"0";"1842";"0";"18420";"0";"0";"0"
"Bipartite";"Median";"Minimal";"22";"32051";"9";"25164";"59";"1407";"0";"9084";"0";"90840";"13";"13";"260"
"Bipartite";"Median";"Maximum";"25";"15527";"0";"14873";"3";"113";"0";"1525";"0";"15250";"0";"0";"0"
"Bipartite";"Median";"Median";"22";"34396";"9";"27187";"70";"1483";"0";"9355";"0";"93550";"22";"22";"440"
