"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"25";"537";"0";"26";"25";"133";"0";"24";"2";"242";"0";"0";"0"
"0";"0";"0.4";"1";"25";"400";"0";"26";"6";"59";"0";"24";"2";"248";"0";"0";"0"
"0";"0";"0.7";"1";"25";"455";"1";"26";"5";"82";"0";"24";"2";"254";"0";"0";"0"
"0";"0";"1.0";"1";"25";"462";"0";"27";"7";"79";"0";"26";"0";"260";"0";"0";"0"
"0";"0";"1.3";"1";"25";"390";"0";"26";"0";"36";"0";"24";"1";"253";"0";"0";"0"
"0";"0";"1.6";"1";"25";"390";"1";"26";"0";"36";"0";"24";"1";"256";"0";"0";"0"
"0";"0";"1.9";"1";"25";"390";"0";"26";"0";"36";"0";"24";"1";"259";"0";"0";"0"
"0";"0";"2.2";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"262";"0";"0";"0"
"0";"0";"2.5";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"265";"0";"0";"0"
"0";"0";"2.8";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"268";"0";"0";"0"
"0";"0";"3.1";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"271";"0";"0";"0"
"0";"0";"3.4";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"274";"0";"0";"0"
"0";"0";"3.7";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"277";"0";"0";"0"
"0";"0";"4.0";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"280";"0";"0";"0"
"0";"0";"4.3";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"283";"0";"0";"0"
"0";"0";"4.6";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"286";"0";"0";"0"
"0";"0";"4.9";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"289";"0";"0";"0"
"0";"0";"5.2";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"292";"0";"0";"0"
"0";"0";"5.5";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"295";"0";"0";"0"
"0";"0";"5.8";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"298";"0";"0";"0"
"0";"0";"6.1";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"301";"0";"0";"0"
"0";"0";"6.4";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"304";"0";"0";"0"
"0";"0";"6.7";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"307";"0";"0";"0"
"0";"0";"7.0";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"310";"0";"0";"0"
"0";"0";"7.3";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"313";"0";"0";"0"
"0";"0";"7.6";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"316";"0";"0";"0"
"0";"0";"7.9";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"319";"0";"0";"0"
"0";"0";"8.2";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"322";"0";"0";"0"
"0";"0";"8.5";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"325";"0";"0";"0"
"0";"0";"8.8";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"328";"0";"0";"0"
"0";"0";"9.1";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"331";"0";"0";"0"
"0";"0";"9.4";"1";"25";"555";"0";"26";"3";"90";"0";"24";"1";"334";"0";"0";"0"
"0";"0";"9.7";"1";"25";"555";"1";"26";"3";"90";"0";"24";"1";"337";"0";"0";"0"
"0";"1";"dynamic";"1";"25";"465";"0";"26";"6";"61";"0";"24";"0";"240";"0";"0";"0"
"0";"1";"0.1";"1";"25";"734";"0";"26";"53";"234";"0";"24";"0";"240";"0";"0";"0"
"0";"1";"0.4";"1";"25";"741";"0";"26";"41";"200";"0";"24";"0";"240";"0";"0";"0"
"0";"1";"0.7";"1";"25";"632";"1";"26";"15";"146";"0";"24";"0";"240";"0";"0";"0"
"0";"1";"1.0";"1";"25";"457";"0";"26";"5";"73";"0";"26";"0";"260";"0";"0";"0"
"0";"1";"1.3";"1";"25";"560";"0";"25";"3";"102";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"1.6";"1";"25";"560";"1";"25";"3";"102";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"1.9";"1";"25";"560";"0";"25";"3";"102";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"2.2";"1";"25";"770";"1";"25";"7";"134";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"2.5";"1";"25";"770";"0";"25";"7";"134";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"2.8";"1";"25";"770";"1";"25";"7";"134";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"3.1";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"3.4";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"3.7";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"4.0";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"4.3";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"4.6";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"4.9";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"5.2";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"5.5";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"5.8";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"6.1";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"6.4";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"6.7";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"7.0";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"7.3";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"7.6";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"7.9";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"8.2";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"8.5";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"8.8";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"9.1";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"9.4";"1";"25";"717";"0";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"0";"1";"9.7";"1";"25";"717";"1";"25";"4";"116";"0";"23";"0";"230";"0";"0";"0"
"1";"0";"0.1";"1";"25";"537";"0";"26";"25";"133";"0";"24";"2";"242";"0";"0";"0"
"1";"0";"0.4";"1";"25";"400";"1";"26";"6";"59";"0";"24";"2";"248";"0";"0";"0"
"1";"0";"0.7";"1";"25";"493";"0";"26";"4";"91";"1";"24";"2";"254";"0";"0";"0"
"1";"0";"1.0";"1";"25";"462";"0";"27";"7";"79";"0";"26";"0";"260";"0";"0";"0"
"1";"0";"1.3";"1";"25";"390";"0";"26";"0";"36";"0";"24";"1";"253";"0";"0";"0"
"1";"0";"1.6";"1";"25";"390";"0";"26";"0";"36";"0";"24";"1";"256";"0";"0";"0"
"1";"0";"1.9";"1";"25";"390";"0";"26";"0";"36";"0";"24";"1";"259";"0";"0";"0"
"1";"0";"2.2";"1";"25";"428";"0";"26";"4";"49";"3";"24";"1";"262";"0";"0";"0"
"1";"0";"2.5";"1";"25";"428";"1";"26";"4";"49";"3";"24";"1";"265";"0";"0";"0"
"1";"0";"2.8";"1";"25";"428";"0";"26";"4";"49";"3";"24";"1";"268";"0";"0";"0"
"1";"0";"3.1";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"271";"0";"0";"0"
"1";"0";"3.4";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"274";"0";"0";"0"
"1";"0";"3.7";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"277";"0";"0";"0"
"1";"0";"4.0";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"280";"0";"0";"0"
"1";"0";"4.3";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"283";"0";"0";"0"
"1";"0";"4.6";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"286";"0";"0";"0"
"1";"0";"4.9";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"289";"0";"0";"0"
"1";"0";"5.2";"1";"25";"496";"0";"26";"3";"62";"2";"24";"1";"292";"0";"0";"0"
