"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"30";"2529";"2";"232";"226";"640";"0";"222";"0";"2220";"2";"13";"33"
"0";"0";"0.4";"1";"28";"4647";"3";"419";"197";"1216";"0";"293";"5";"2950";"10";"21";"184"
"0";"0";"0.7";"1";"28";"5192";"4";"409";"184";"1405";"0";"290";"1";"2907";"12";"14";"218"
"0";"0";"1.0";"1";"28";"5493";"4";"438";"83";"1301";"0";"294";"11";"3050";"8";"9";"170"
"0";"0";"1.3";"1";"28";"5289";"4";"440";"89";"944";"0";"293";"3";"2969";"10";"8";"204"
"0";"0";"1.6";"1";"28";"4864";"3";"443";"91";"879";"0";"288";"8";"3008";"12";"1";"136"
"0";"0";"1.9";"1";"28";"4864";"3";"443";"91";"879";"0";"288";"8";"3032";"10";"7";"233"
"0";"0";"2.2";"1";"29";"3396";"2";"322";"34";"438";"0";"263";"0";"2630";"12";"0";"120"
"0";"0";"2.5";"1";"28";"5426";"4";"448";"42";"726";"0";"304";"10";"3290";"24";"16";"640"
"0";"0";"2.8";"1";"29";"3396";"2";"322";"34";"438";"0";"263";"0";"2630";"16";"16";"608"
"0";"0";"3.1";"1";"29";"3277";"2";"325";"45";"461";"0";"264";"4";"2764";"14";"14";"574"
"0";"0";"3.4";"1";"29";"3277";"2";"325";"45";"461";"0";"264";"4";"2776";"16";"11";"534"
"0";"0";"3.7";"1";"29";"3277";"2";"325";"45";"461";"0";"264";"4";"2788";"14";"14";"658"
"0";"0";"4.0";"1";"29";"3113";"2";"325";"32";"404";"0";"256";"6";"2800";"17";"9";"530"
"0";"0";"4.3";"1";"29";"3294";"2";"325";"32";"451";"0";"266";"2";"2746";"15";"1";"193"
"0";"0";"4.6";"1";"29";"3294";"2";"325";"32";"451";"0";"266";"2";"2752";"17";"1";"216"
"0";"0";"4.9";"1";"29";"3294";"2";"325";"32";"451";"0";"266";"2";"2758";"12";"2";"218"
"0";"0";"5.2";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2878";"17";"6";"482"
"0";"0";"5.5";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2890";"22";"0";"220"
"0";"0";"5.8";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2902";"20";"2";"316"
"0";"0";"6.1";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2914";"22";"0";"220"
"0";"0";"6.4";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2926";"21";"12";"978"
"0";"0";"6.7";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"2938";"16";"16";"1232"
"0";"0";"7.0";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2950";"20";"20";"1600"
"0";"0";"7.3";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"2962";"18";"4";"472"
"0";"0";"7.6";"1";"29";"3061";"2";"325";"30";"391";"0";"267";"4";"2974";"22";"0";"220"
"0";"0";"7.9";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"2986";"22";"5";"615"
"0";"0";"8.2";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"2998";"19";"3";"436"
"0";"0";"8.5";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"3010";"19";"0";"190"
"0";"0";"8.8";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"3022";"14";"14";"1372"
"0";"0";"9.1";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"3034";"15";"15";"1515"
"0";"0";"9.4";"1";"29";"3061";"1";"325";"30";"391";"0";"267";"4";"3046";"16";"9";"1006"
