"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"5";"50479";"4";"39070";"301";"1936";"0";"9744";"0";"97440";"0";"0";"0"
"Random";"Minimal";"Minimal";"5";"16953";"2";"6921";"291";"2136";"0";"1374";"0";"13740";"0";"0";"0"
"Random";"Minimal";"Maximum";"5";"15127";"1";"7756";"214";"1577";"0";"2092";"0";"20920";"0";"0";"0"
"Random";"Minimal";"Median";"5";"18523";"2";"7133";"439";"2697";"0";"1644";"0";"16440";"0";"0";"0"
"Random";"Maximum";"Minimal";"5";"20835";"4";"7828";"381";"2993";"0";"2136";"0";"21360";"0";"0";"0"
"Random";"Maximum";"Maximum";"5";"20485";"2";"9636";"178";"2029";"0";"3076";"0";"30760";"0";"0";"0"
"Random";"Maximum";"Median";"5";"28309";"6";"8912";"700";"4916";"0";"2643";"0";"26430";"0";"0";"0"
"Random";"Median";"Minimal";"5";"16943";"3";"7302";"385";"2052";"0";"1626";"0";"16260";"0";"0";"0"
"Random";"Median";"Maximum";"5";"26762";"3";"8748";"970";"4613";"0";"2688";"0";"26880";"0";"0";"0"
"Random";"Median";"Median";"5";"17555";"2";"7741";"270";"2003";"0";"2195";"0";"21950";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"5";"12462";"3";"1414";"292";"2338";"0";"692";"0";"6920";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"5";"10159";"1";"1808";"164";"1483";"0";"1240";"0";"12400";"0";"0";"0"
"Greedy";"Minimal";"Median";"5";"14924";"3";"1726";"388";"2780";"0";"944";"0";"9440";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"5";"14328";"3";"1816";"526";"3015";"0";"1468";"0";"14680";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"5";"10388";"1";"3555";"273";"1415";"0";"2476";"0";"24760";"0";"0";"0"
"Greedy";"Maximum";"Median";"5";"13282";"3";"2910";"355";"2298";"0";"1788";"0";"17880";"0";"0";"0"
"Greedy";"Median";"Minimal";"5";"10796";"1";"1543";"239";"1729";"0";"800";"0";"8000";"0";"0";"0"
"Greedy";"Median";"Maximum";"5";"8360";"2";"2803";"136";"1030";"0";"1978";"0";"19780";"0";"0";"0"
"Greedy";"Median";"Median";"5";"10145";"1";"2613";"182";"1400";"0";"1647";"0";"16470";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"5";"22548";"4";"10546";"335";"2716";"0";"3783";"0";"37830";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"5";"23636";"3";"11677";"396";"2590";"0";"4708";"0";"47080";"0";"0";"0"
"Bipartite";"Minimal";"Median";"5";"19359";"2";"10647";"245";"1939";"0";"3824";"0";"38240";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"5";"17698";"2";"11717";"213";"1289";"0";"4729";"0";"47290";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"5";"27213";"2";"15379";"239";"2214";"0";"5878";"0";"58780";"0";"0";"0"
"Bipartite";"Maximum";"Median";"5";"24807";"4";"12801";"587";"3108";"0";"5308";"0";"53080";"0";"0";"0"
"Bipartite";"Median";"Minimal";"5";"16757";"2";"10647";"181";"1232";"0";"3884";"0";"38840";"0";"0";"0"
"Bipartite";"Median";"Maximum";"5";"27387";"5";"12933";"725";"3699";"0";"5396";"0";"53960";"0";"0";"0"
"Bipartite";"Median";"Median";"5";"20113";"2";"11530";"375";"1856";"0";"4401";"0";"44010";"0";"0";"0"
