"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"7";"5108";"2";"784";"638";"1975";"0";"848";"155";"8635";"9";"132";"222"
"0";"0";"0.4";"1";"5";"15208";"4";"1632";"1861";"5005";"0";"1183";"158";"12462";"0";"0";"0"
"0";"0";"0.7";"1";"5";"10789";"3";"1675";"1435";"2687";"0";"1317";"122";"14024";"0";"0";"0"
"0";"0";"1.0";"1";"6";"7475";"2";"1301";"214";"1716";"0";"1220";"353";"15730";"24";"200";"2240"
"0";"0";"1.3";"1";"5";"9363";"2";"1652";"797";"1735";"0";"1114";"175";"13415";"0";"0";"0"
"0";"0";"1.6";"1";"5";"20479";"4";"1710";"1803";"4738";"0";"1088";"377";"16912";"0";"0";"0"
"0";"0";"1.9";"1";"5";"19281";"4";"1723";"2033";"4404";"0";"1142";"345";"17975";"0";"0";"0"
"0";"0";"2.2";"1";"5";"9992";"2";"1715";"498";"1395";"0";"1179";"165";"15420";"0";"0";"0"
"0";"0";"2.5";"1";"5";"10166";"2";"1675";"397";"1339";"0";"1043";"150";"14180";"0";"0";"0"
"0";"0";"2.8";"1";"5";"11233";"3";"1721";"783";"1687";"0";"1191";"179";"16922";"0";"0";"0"
"0";"0";"3.1";"1";"5";"14281";"3";"1606";"889";"2420";"0";"1116";"254";"19034";"0";"0";"0"
"0";"0";"3.4";"1";"5";"14613";"3";"1609";"1088";"2497";"0";"1116";"254";"19796";"0";"0";"0"
"0";"0";"3.7";"1";"6";"9496";"2";"1175";"346";"1506";"0";"1059";"314";"22208";"14";"99";"3803"
"0";"0";"4.0";"1";"6";"8986";"1";"1232";"183";"1226";"0";"1138";"306";"23620";"9";"108";"4410"
"0";"0";"4.3";"1";"5";"21365";"4";"1728";"1782";"4106";"0";"1086";"347";"25781";"0";"0";"0"
"0";"0";"4.6";"1";"6";"10914";"2";"1237";"194";"1491";"0";"1072";"325";"25670";"19";"148";"6998"
"0";"0";"4.9";"1";"6";"10914";"2";"1237";"194";"1491";"0";"1072";"325";"26645";"29";"212";"10678"
"0";"0";"5.2";"1";"5";"18121";"2";"1607";"942";"3315";"0";"1141";"486";"36682";"0";"0";"0"
"0";"0";"5.5";"1";"6";"13099";"3";"1151";"540";"2425";"0";"1240";"583";"44465";"12";"100";"5620"
"0";"0";"5.8";"1";"5";"18142";"3";"1606";"945";"3320";"0";"1136";"484";"39432";"0";"0";"0"
"0";"0";"6.1";"1";"5";"25282";"4";"1670";"2473";"5797";"0";"1041";"621";"48291";"0";"0";"0"
"0";"0";"6.4";"1";"5";"25282";"4";"1670";"2473";"5797";"0";"1041";"621";"50154";"0";"0";"0"
"0";"0";"6.7";"1";"6";"14082";"4";"1215";"933";"2779";"0";"1041";"621";"52017";"13";"104";"7098"
"0";"0";"7.0";"1";"5";"19280";"4";"1562";"1972";"3805";"0";"1094";"312";"32780";"0";"0";"0"
"0";"0";"7.3";"1";"6";"10270";"3";"1225";"60";"1048";"0";"1372";"503";"50439";"15";"131";"9713"
"0";"0";"7.6";"1";"6";"10270";"2";"1225";"60";"1048";"0";"1372";"503";"51948";"7";"53";"4098"
