"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"5";"61116";"8";"41880";"575";"3653";"0";"10146";"0";"101460";"0";"0";"0"
"Random";"Minimal";"Minimal";"5";"16544";"2";"6723";"401";"2199";"0";"1412";"0";"14120";"0";"0";"0"
"Random";"Minimal";"Maximum";"5";"21918";"3";"7882";"360";"2971";"0";"2094";"0";"20940";"0";"0";"0"
"Random";"Minimal";"Median";"5";"27724";"4";"7177";"880";"5064";"0";"1546";"0";"15460";"0";"0";"0"
"Random";"Maximum";"Minimal";"5";"21730";"3";"8019";"517";"3213";"0";"2105";"0";"21050";"0";"0";"0"
"Random";"Maximum";"Maximum";"5";"26077";"3";"10103";"243";"2945";"0";"3107";"0";"31070";"0";"0";"0"
"Random";"Maximum";"Median";"5";"19378";"2";"8928";"352";"2358";"0";"2646";"0";"26460";"0";"0";"0"
"Random";"Median";"Minimal";"5";"29556";"7";"7477";"1120";"5842";"0";"1539";"0";"15390";"0";"0";"0"
"Random";"Median";"Maximum";"5";"29922";"6";"9040";"859";"5178";"0";"2495";"0";"24950";"0";"0";"0"
"Random";"Median";"Median";"5";"17402";"2";"8138";"341";"2072";"0";"2282";"0";"22820";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"5";"17648";"4";"1375";"495";"3598";"0";"761";"0";"7610";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"5";"7249";"2";"1567";"114";"1121";"0";"1251";"0";"12510";"0";"0";"0"
"Greedy";"Minimal";"Median";"5";"12390";"2";"1466";"329";"2252";"0";"869";"0";"8690";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"5";"12763";"2";"1527";"406";"2448";"0";"1047";"0";"10470";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"5";"15488";"5";"3079";"324";"2547";"0";"2050";"0";"20500";"0";"0";"0"
"Greedy";"Maximum";"Median";"5";"22802";"4";"2660";"790";"4656";"0";"1846";"0";"18460";"0";"0";"0"
"Greedy";"Median";"Minimal";"5";"15168";"4";"1485";"442";"3157";"0";"751";"0";"7510";"0";"0";"0"
"Greedy";"Median";"Maximum";"5";"13746";"3";"2507";"406";"2445";"0";"1864";"0";"18640";"0";"0";"0"
"Greedy";"Median";"Median";"5";"13437";"2";"2470";"360";"2353";"0";"1676";"0";"16760";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"5";"21040";"3";"10657";"438";"2566";"0";"3739";"0";"37390";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"5";"22551";"3";"12333";"312";"2103";"0";"4814";"0";"48140";"0";"0";"0"
"Bipartite";"Minimal";"Median";"5";"38380";"10";"10923";"1479";"7701";"0";"3780";"0";"37800";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"5";"23210";"3";"12258";"306";"2432";"0";"4847";"0";"48470";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"5";"30706";"4";"16263";"565";"3263";"0";"5882";"0";"58820";"0";"0";"0"
"Bipartite";"Maximum";"Median";"5";"25778";"2";"13688";"279";"2575";"0";"5391";"0";"53910";"0";"0";"0"
"Bipartite";"Median";"Minimal";"5";"22194";"3";"11055";"559";"2860";"0";"3903";"0";"39030";"0";"0";"0"
"Bipartite";"Median";"Maximum";"5";"31847";"6";"13582";"881";"4681";"0";"5278";"0";"52780";"0";"0";"0"
"Bipartite";"Median";"Median";"5";"24251";"3";"11864";"628";"3151";"0";"4549";"0";"45490";"0";"0";"0"
