"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"5";"131968";"6";"124723";"410";"1512";"0";"21851";"0";"218510";"0";"0";"0"
"Random";"Minimal";"Minimal";"5";"19469";"3";"13434";"617";"1691";"0";"2158";"0";"21580";"0";"0";"0"
"Random";"Minimal";"Maximum";"5";"33923";"9";"15357";"1353";"4868";"0";"4033";"0";"40330";"0";"0";"0"
"Random";"Minimal";"Median";"5";"18248";"2";"14271";"154";"890";"0";"2415";"0";"24150";"0";"0";"0"
"Random";"Maximum";"Minimal";"6";"15780";"1";"13996";"167";"485";"0";"4232";"0";"42320";"18";"348";"3660"
"Random";"Maximum";"Maximum";"5";"33604";"5";"20822";"961";"3209";"0";"6827";"0";"68270";"0";"0";"0"
"Random";"Maximum";"Median";"5";"20368";"1";"17241";"180";"690";"0";"5876";"0";"58760";"0";"0";"0"
"Random";"Median";"Minimal";"5";"17822";"2";"13570";"313";"1023";"0";"2365";"0";"23650";"0";"0";"0"
"Random";"Median";"Maximum";"5";"27993";"5";"17965";"883";"2569";"0";"5649";"0";"56490";"0";"0";"0"
"Random";"Median";"Median";"5";"22915";"4";"16030";"301";"1676";"0";"4211";"0";"42110";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"5";"11322";"4";"2091";"514";"2207";"0";"1167";"0";"11670";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"5";"11652";"4";"2345";"574";"2186";"0";"2487";"0";"24870";"0";"0";"0"
"Greedy";"Minimal";"Median";"5";"10308";"5";"2011";"476";"1948";"0";"1585";"0";"15850";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"5";"5463";"0";"2382";"94";"480";"0";"2818";"0";"28180";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"5";"12081";"2";"5884";"171";"1084";"0";"5573";"0";"55730";"0";"0";"0"
"Greedy";"Maximum";"Median";"5";"10475";"3";"3870";"481";"1565";"0";"3990";"0";"39900";"0";"0";"0"
"Greedy";"Median";"Minimal";"5";"5537";"1";"2056";"139";"642";"0";"1291";"0";"12910";"0";"0";"0"
"Greedy";"Median";"Maximum";"5";"14094";"6";"3971";"853";"2635";"0";"4376";"0";"43760";"0";"0";"0"
"Greedy";"Median";"Median";"5";"27993";"5";"17965";"883";"2569";"0";"5649";"0";"56490";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"5";"24654";"3";"18270";"610";"1748";"0";"6058";"0";"60580";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"5";"26354";"3";"20394";"631";"1589";"0";"9115";"0";"91150";"0";"0";"0"
"Bipartite";"Minimal";"Median";"5";"22863";"2";"18316";"282";"1115";"0";"6400";"0";"64000";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"5";"22792";"2";"20423";"167";"559";"0";"9428";"0";"94280";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"5";"32804";"1";"29700";"85";"568";"0";"14316";"0";"143160";"0";"0";"0"
"Bipartite";"Maximum";"Median";"5";"26600";"1";"23202";"115";"716";"0";"11165";"0";"111650";"0";"0";"0"
"Bipartite";"Median";"Minimal";"5";"29303";"4";"18747";"784";"2778";"0";"6469";"0";"64690";"0";"0";"0"
"Bipartite";"Median";"Maximum";"5";"24990";"2";"22661";"107";"526";"0";"10880";"0";"108800";"0";"0";"0"
"Bipartite";"Median";"Median";"5";"24476";"2";"21010";"174";"744";"0";"7772";"0";"77720";"0";"0";"0"
