"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"7";"4794";"2";"1868";"602";"1257";"0";"2263";"37";"22667";"5";"126";"176"
"0";"0";"0.4";"1";"6";"5211";"1";"2345";"277";"833";"0";"2032";"223";"21212";"25";"389";"1806"
"0";"0";"0.7";"1";"5";"7975";"2";"2812";"696";"1492";"0";"2183";"165";"22985";"0";"0";"0"
"0";"0";"1.0";"1";"5";"8662";"3";"2983";"582";"1992";"0";"2450";"128";"25780";"0";"0";"0"
"0";"0";"1.3";"1";"5";"8038";"2";"2685";"686";"1354";"0";"2168";"85";"22785";"0";"0";"0"
"0";"0";"1.6";"1";"5";"9135";"2";"2646";"541";"1415";"0";"2082";"99";"22404";"0";"0";"0"
"0";"0";"1.9";"1";"5";"7795";"3";"2777";"459";"1051";"0";"2140";"94";"23186";"0";"0";"0"
"0";"0";"2.2";"1";"5";"7862";"2";"2904";"421";"905";"0";"2557";"130";"28430";"0";"0";"0"
"0";"0";"2.5";"1";"5";"8952";"2";"2814";"440";"1361";"0";"2407";"127";"27245";"0";"0";"0"
"0";"0";"2.8";"1";"5";"10882";"4";"2902";"813";"1729";"0";"2437";"135";"28150";"0";"0";"0"
"0";"0";"3.1";"1";"5";"11650";"4";"2982";"1049";"1868";"0";"2178";"109";"25159";"0";"0";"0"
"0";"0";"3.4";"1";"5";"10369";"3";"2996";"794";"1465";"0";"2233";"127";"26648";"0";"0";"0"
"0";"0";"3.7";"1";"5";"8434";"2";"2982";"570";"1086";"0";"2248";"102";"26254";"0";"0";"0"
"0";"0";"4.0";"1";"5";"9571";"3";"2863";"480";"1396";"0";"2025";"108";"24570";"0";"0";"0"
"0";"0";"4.3";"1";"5";"11329";"4";"2912";"681";"1516";"0";"2303";"162";"29996";"0";"0";"0"
"0";"0";"4.6";"1";"5";"11907";"4";"2878";"750";"1654";"0";"2152";"105";"26350";"0";"0";"0"
"0";"0";"4.9";"1";"6";"8035";"2";"2350";"331";"1021";"0";"2126";"262";"34098";"11";"71";"3589"
"0";"0";"5.2";"1";"5";"11511";"3";"2804";"805";"1700";"0";"2055";"136";"27622";"0";"0";"0"
"0";"0";"5.5";"1";"5";"10384";"3";"2807";"453";"1338";"0";"2195";"225";"34325";"0";"0";"0"
"0";"0";"5.8";"1";"5";"9251";"2";"2797";"430";"1087";"0";"2008";"119";"26982";"0";"0";"0"
"0";"0";"6.1";"1";"5";"9033";"2";"2815";"258";"951";"0";"2100";"150";"30150";"0";"0";"0"
"0";"0";"6.4";"1";"5";"9033";"2";"2814";"258";"951";"0";"2100";"150";"30600";"0";"0";"0"
"0";"0";"6.7";"1";"5";"12931";"4";"2824";"708";"1793";"0";"2096";"225";"36035";"0";"0";"0"
