"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Greedy";"Median";"Median";"0.3375";"0.2795238095238095";"0.1071607586470044";"0.09126277029458368";"10"
"Greedy";"Median";"Maximum";"0.33436639118457295";"0.39300144300144296";"0.09573925451976448";"0.09532981102696572";"11"
"Greedy";"Median";"Minimal";"0.36466942148760334";"0.3303751803751804";"0.08619988898191054";"0.035348544922053776";"11"
"Greedy";"Maximum";"Median";"0.325";"0.27150793650793653";"0.10865770002447654";"0.09511669380117824";"10"
"Greedy";"Maximum";"Maximum";"0.33436639118457295";"0.29718614718614716";"0.10224399509080126";"0.11711339489276136";"11"
"Greedy";"Maximum";"Minimal";"0.36466942148760334";"0.2572871572871573";"0.08189324081970242";"0.05660107519077583";"11"
"Greedy";"Minimal";"Median";"0.36466942148760334";"0.3769841269841269";"0.08858549363329037";"0.03851792110904614";"11"
"Greedy";"Minimal";"Maximum";"0.37293388429752067";"0.3672438672438672";"0.07619753502050154";"0.053998606395846076";"11"
"Greedy";"Minimal";"Minimal";"0.36466942148760334";"0.39898989898989895";"0.09828019236245998";"0.03120876347943212";"11"
"Random";"Median";"Median";"0.35330578512396693";"0.31911976911976914";"0.21643360055919808";"0.13750213236387795";"11"
"Random";"Median";"Maximum";"0.33436639118457295";"0.548989898989899";"0.27566753218658274";"0.17113990928257045";"11"
"Random";"Median";"Minimal";"0.4555785123966942";"0.2554112554112554";"0.207585773234052";"0.09992145919876404";"11"
"Random";"Maximum";"Median";"0.33436639118457295";"0.3716450216450217";"0.25796397224819023";"0.1725709298251752";"11"
"Random";"Maximum";"Maximum";"0.24345730027548207";"0.4461760461760462";"0.296240077223005";"0.20320099433681607";"11"
"Random";"Maximum";"Minimal";"0.4555785123966942";"0.4023809523809524";"0.26236362088315207";"0.21773824421512825";"11"
"Random";"Minimal";"Median";"0.36466942148760334";"0.3303751803751804";"0.2113829950395411";"0.10116447584603785";"11"
"Random";"Minimal";"Maximum";"0.3136363636363636";"0.37261904761904757";"0.1993986602863213";"0.19315699017478563";"10"
"Random";"Minimal";"Minimal";"0.36466942148760334";"0.39920634920634923";"0.19265757009645598";"0.09399542255096277";"11"
"Bipartite";"Median";"Median";"0.36466942148760334";"0.4296536796536797";"0.3224820511106861";"0.5885782693203675";"11"
"Bipartite";"Median";"Maximum";"0.35915977961432505";"0.3104617604617605";"0.36404431016960825";"0.62407449154981";"11"
"Bipartite";"Median";"Minimal";"0.4011363636363637";"0.4348412698412699";"0.30232962483045345";"0.5241162982279404";"10"
"Bipartite";"Maximum";"Median";"0.3894628099173554";"0.28001443001443";"0.34365781714015253";"0.6273723668908913";"11"
"Bipartite";"Maximum";"Maximum";"0.35330578512396693";"0.3595238095238095";"0.3757880031446987";"0.6321819260015406";"11"
"Bipartite";"Maximum";"Minimal";"0.4011363636363637";"0.28079365079365076";"0.30949088756262755";"0.5931746532359219";"10"
"Bipartite";"Minimal";"Median";"0.3375";"0.3515079365079365";"0.3128776436911572";"0.477440468386875";"10"
"Bipartite";"Minimal";"Maximum";"0.30416666666666664";"0.30817460317460316";"0.3135308281117944";"0.5462130695063449";"10"
"Bipartite";"Minimal";"Minimal";"0.3977272727272727";"0.3709235209235209";"0.37252939001564145";"0.5883444986620859";"11"
"Scratch";"";"";"0.38181818181818183";"0.8192063492063493";"1.0";"1.0";"10"
