"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Minimal";"Minimal";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Minimal";"Maximum";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Minimal";"Median";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Maximum";"Minimal";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Maximum";"Maximum";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Maximum";"Median";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Median";"Minimal";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Median";"Maximum";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Random";"Median";"Median";"4";"28";"0";"28";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Minimal";"Median";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Maximum";"Median";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Median";"Minimal";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Median";"Maximum";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
"Bipartite";"Median";"Median";"4";"39";"0";"39";"0";"0";"0";"47";"0";"470";"0";"0";"0"
