"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Scratch";"";"";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Greedy";"Minimal";"Minimal";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Minimal";"Maximum";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Minimal";"Median";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Maximum";"Minimal";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Maximum";"Maximum";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Maximum";"Median";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Median";"Minimal";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Median";"Maximum";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Greedy";"Median";"Median";"0.0";"0.0";"0.028048513986013986";"0.0";"4"
"Bipartite";"Minimal";"Minimal";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Minimal";"Maximum";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Minimal";"Median";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Maximum";"Minimal";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Maximum";"Maximum";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Maximum";"Median";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Median";"Minimal";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Median";"Maximum";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Bipartite";"Median";"Median";"0.0";"0.0";"1.0";"0.9878048780487805";"4"
"Random";"Minimal";"Minimal";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Minimal";"Maximum";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Minimal";"Median";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Maximum";"Minimal";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Maximum";"Maximum";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Maximum";"Median";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Median";"Minimal";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Median";"Maximum";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
"Random";"Median";"Median";"0.0";"0.0";"0.7369208916083916";"0.8979229989868287";"4"
