"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"5";"17";"0";"17";"0";"0";"0";"19";"0";"190";"0";"0";"0"
"Random";"Minimal";"Minimal";"5";"14";"0";"13";"0";"0";"0";"14";"0";"140";"0";"0";"0"
"Random";"Minimal";"Maximum";"5";"14";"0";"14";"0";"0";"0";"16";"0";"160";"0";"0";"0"
"Random";"Minimal";"Median";"5";"13";"0";"13";"0";"0";"0";"13";"0";"130";"0";"0";"0"
"Random";"Maximum";"Minimal";"5";"14";"0";"14";"0";"0";"0";"16";"0";"160";"0";"0";"0"
"Random";"Maximum";"Maximum";"5";"13";"0";"13";"0";"0";"0";"16";"0";"160";"0";"0";"0"
"Random";"Maximum";"Median";"5";"12";"0";"12";"0";"0";"0";"12";"0";"120";"0";"0";"0"
"Random";"Median";"Minimal";"5";"13";"0";"13";"0";"0";"0";"13";"0";"130";"0";"0";"0"
"Random";"Median";"Maximum";"5";"12";"0";"12";"0";"0";"0";"12";"0";"120";"0";"0";"0"
"Random";"Median";"Median";"5";"16";"0";"15";"0";"0";"0";"19";"0";"190";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"5";"17";"0";"17";"0";"0";"0";"23";"0";"230";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"5";"17";"0";"16";"0";"0";"0";"21";"0";"210";"0";"0";"0"
"Bipartite";"Minimal";"Median";"5";"17";"0";"17";"0";"0";"0";"22";"0";"220";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"5";"17";"0";"16";"0";"0";"0";"21";"0";"210";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"5";"21";"0";"21";"0";"0";"0";"44";"0";"440";"0";"0";"0"
"Bipartite";"Maximum";"Median";"5";"18";"0";"18";"0";"0";"0";"27";"0";"270";"0";"0";"0"
"Bipartite";"Median";"Minimal";"5";"17";"0";"17";"0";"0";"0";"22";"0";"220";"0";"0";"0"
"Bipartite";"Median";"Maximum";"5";"18";"0";"18";"0";"0";"0";"27";"0";"270";"0";"0";"0"
"Bipartite";"Median";"Median";"5";"19";"0";"19";"0";"0";"0";"25";"0";"250";"0";"0";"0"
