"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"398";"408"
"0";"0";"0.4";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"338";"1362"
"0";"0";"0.7";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"120";"850"
"0";"0";"1.0";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"241";"2420"
"0";"0";"1.3";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"456";"5938"
"0";"0";"1.6";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"504";"8074"
"0";"0";"1.9";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"676";"12854"
"0";"0";"2.2";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"609";"13408"
"0";"0";"2.5";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"721";"18035"
"0";"0";"2.8";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"2";"272";"7636"
"0";"0";"3.1";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"451";"13991"
"0";"0";"3.4";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"352";"11978"
"0";"0";"3.7";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"2";"500";"18520"
"0";"0";"4.0";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"882";"35290"
"0";"0";"4.3";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"631";"27143"
"0";"0";"4.6";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"571";"26276"
"0";"0";"4.9";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"644";"31566"
"0";"0";"5.2";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"280";"14570"
"0";"0";"5.5";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"499";"27455"
"0";"0";"5.8";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"298";"17294"
"0";"0";"6.1";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"223";"13613"
"0";"0";"6.4";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"350";"22410"
"0";"0";"6.7";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"281";"18837"
"0";"0";"7.0";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"574";"40190"
"0";"0";"7.3";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"568";"41474"
"0";"0";"7.6";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"265";"20150"
"0";"0";"7.9";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"575";"45435"
"0";"0";"8.2";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"352";"28874"
"0";"0";"8.5";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"411";"34945"
"0";"0";"8.8";"1";"6";"10";"0";"0";"0";"0";"0";"8";"0";"80";"1";"314";"27642"
