"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"46";"149674";"5";"141425";"77";"2245";"0";"6991";"0";"69910";"0";"0";"0"
"Random";"Minimal";"Minimal";"46";"14354";"3";"5835";"121";"2695";"0";"140";"0";"1400";"0";"0";"0"
"Random";"Minimal";"Maximum";"46";"17346";"4";"6342";"134";"3615";"0";"291";"0";"2910";"0";"0";"0"
"Random";"Minimal";"Median";"46";"11947";"3";"6117";"69";"1792";"0";"178";"0";"1780";"0";"0";"0"
"Random";"Maximum";"Minimal";"46";"13329";"1";"6296";"83";"2261";"0";"321";"0";"3210";"0";"0";"0"
"Random";"Maximum";"Maximum";"46";"16008";"2";"13367";"41";"824";"0";"1382";"0";"13820";"0";"0";"0"
"Random";"Maximum";"Median";"46";"10781";"2";"6956";"22";"1217";"0";"475";"0";"4750";"0";"0";"0"
"Random";"Median";"Minimal";"46";"19238";"6";"6081";"145";"4102";"0";"180";"0";"1800";"0";"0";"0"
"Random";"Median";"Maximum";"46";"12627";"4";"7070";"68";"1624";"0";"494";"0";"4940";"0";"0";"0"
"Random";"Median";"Median";"46";"16396";"8";"6677";"96";"2910";"0";"255";"0";"2550";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"46";"4386";"1";"15";"0";"607";"0";"5";"0";"50";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"46";"5521";"1";"30";"15";"982";"0";"35";"0";"350";"0";"0";"0"
"Greedy";"Minimal";"Median";"46";"5521";"1";"30";"15";"982";"0";"15";"0";"150";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"46";"4420";"1";"30";"0";"620";"0";"35";"0";"350";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"46";"8125";"4";"125";"25";"1623";"0";"196";"0";"1960";"0";"0";"0"
"Greedy";"Maximum";"Median";"46";"3905";"1";"68";"6";"427";"0";"98";"0";"980";"0";"0";"0"
"Greedy";"Median";"Minimal";"46";"6697";"2";"30";"24";"1363";"0";"15";"0";"150";"0";"0";"0"
"Greedy";"Median";"Maximum";"46";"7807";"5";"66";"35";"1551";"0";"98";"0";"980";"0";"0";"0"
"Greedy";"Median";"Median";"46";"3678";"1";"68";"3";"353";"0";"39";"0";"390";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"46";"20569";"4";"10477";"92";"3162";"0";"3779";"0";"37790";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"46";"16463";"3";"10931";"67";"1597";"0";"3984";"0";"39840";"0";"0";"0"
"Bipartite";"Minimal";"Median";"46";"18135";"3";"10723";"58";"2288";"0";"3812";"0";"38120";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"46";"24589";"7";"10943";"124";"4224";"0";"3984";"0";"39840";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"46";"22327";"3";"18242";"83";"1213";"0";"4983";"0";"49830";"0";"0";"0"
"Bipartite";"Maximum";"Median";"46";"14675";"2";"11828";"33";"895";"0";"4147";"0";"41470";"0";"0";"0"
"Bipartite";"Median";"Minimal";"46";"15412";"3";"10664";"55";"1402";"0";"3809";"0";"38090";"0";"0";"0"
"Bipartite";"Median";"Maximum";"46";"13717";"2";"11503";"26";"682";"0";"4150";"0";"41500";"0";"0";"0"
"Bipartite";"Median";"Median";"46";"19255";"3";"11335";"71";"2503";"0";"3888";"0";"38880";"0";"0";"0"
