"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"36";"6592";"2";"79";"432";"3282";"0";"29";"0";"290";"0";"0";"0"
"0";"0";"0.4";"1";"36";"4678";"1";"78";"244";"2222";"0";"22";"3";"232";"0";"0";"0"
"0";"0";"0.7";"1";"36";"6771";"3";"84";"277";"3115";"0";"27";"2";"284";"0";"0";"0"
"0";"0";"1.0";"1";"36";"4747";"1";"93";"72";"1962";"0";"31";"2";"330";"0";"0";"0"
"0";"0";"1.3";"1";"37";"3635";"2";"64";"44";"1333";"0";"28";"2";"306";"1";"3";"49"
"0";"0";"1.6";"1";"37";"3635";"1";"64";"44";"1333";"0";"28";"2";"312";"2";"4";"84"
"0";"0";"1.9";"1";"37";"3635";"1";"64";"44";"1333";"0";"28";"2";"318";"2";"2";"58"
"0";"0";"2.2";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"314";"2";"4";"108"
"0";"0";"2.5";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"320";"1";"3";"85"
"0";"0";"2.8";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"326";"2";"4";"132"
"0";"0";"3.1";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"332";"3";"3";"123"
"0";"0";"3.4";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"338";"2";"4";"156"
"0";"0";"3.7";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"344";"2";"4";"168"
"0";"0";"4.0";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"350";"2";"4";"180"
"0";"0";"4.3";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"356";"2";"4";"192"
"0";"0";"4.6";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"362";"3";"6";"306"
"0";"0";"4.9";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"368";"2";"4";"216"
"0";"0";"5.2";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"374";"2";"4";"228"
"0";"0";"5.5";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"380";"3";"3";"195"
"0";"0";"5.8";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"386";"2";"4";"252"
"0";"0";"6.1";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"392";"2";"4";"264"
"0";"0";"6.4";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"398";"2";"4";"276"
"0";"0";"6.7";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"404";"2";"4";"288"
"0";"0";"7.0";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"410";"3";"6";"450"
"0";"0";"7.3";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"416";"2";"4";"312"
"0";"0";"7.6";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"422";"3";"3";"258"
"0";"0";"7.9";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"428";"2";"4";"336"
"0";"0";"8.2";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"434";"2";"4";"348"
"0";"0";"8.5";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"440";"2";"4";"360"
"0";"0";"8.8";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"446";"2";"4";"372"
"0";"0";"9.1";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"452";"3";"3";"303"
"0";"0";"9.4";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"458";"2";"4";"396"
"0";"0";"9.7";"1";"37";"2822";"0";"64";"27";"1117";"0";"27";"2";"464";"2";"4";"408"
"0";"1";"dynamic";"1";"36";"8799";"4";"79";"136";"3435";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"0.1";"1";"38";"6176";"4";"42";"589";"3235";"0";"20";"0";"200";"1";"10";"20"
"0";"1";"0.4";"1";"36";"10454";"3";"78";"473";"5020";"0";"29";"0";"290";"0";"0";"0"
"0";"1";"0.7";"1";"36";"8948";"4";"77";"287";"4040";"0";"28";"0";"280";"0";"0";"0"
"0";"1";"1.0";"1";"36";"8468";"4";"76";"116";"3465";"0";"28";"0";"280";"0";"0";"0"
"0";"1";"1.3";"1";"37";"6263";"3";"58";"55";"2358";"0";"28";"0";"280";"3";"3";"69"
"0";"1";"1.6";"1";"36";"10985";"4";"78";"110";"3839";"0";"28";"0";"280";"0";"0";"0"
