"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"36";"21818";"7";"7419";"111";"3374";"0";"1507";"0";"15070";"0";"0";"0"
"Random";"Minimal";"Minimal";"36";"12202";"6";"939";"239";"3066";"0";"104";"0";"1040";"0";"0";"0"
"Random";"Minimal";"Maximum";"36";"6768";"2";"1003";"83";"1587";"0";"120";"0";"1200";"0";"0";"0"
"Random";"Minimal";"Median";"36";"6016";"3";"1018";"45";"1310";"0";"120";"0";"1200";"0";"0";"0"
"Random";"Maximum";"Minimal";"36";"10250";"5";"997";"103";"2431";"0";"116";"0";"1160";"0";"0";"0"
"Random";"Maximum";"Maximum";"36";"10129";"5";"1273";"89";"2310";"0";"169";"0";"1690";"0";"0";"0"
"Random";"Maximum";"Median";"36";"8972";"5";"1195";"60";"2016";"0";"155";"0";"1550";"0";"0";"0"
"Random";"Median";"Minimal";"36";"7625";"3";"997";"60";"1745";"0";"116";"0";"1160";"0";"0";"0"
"Random";"Median";"Maximum";"36";"12177";"6";"1191";"216";"2913";"0";"157";"0";"1570";"0";"0";"0"
"Random";"Median";"Median";"36";"14940";"7";"1153";"294";"3833";"0";"142";"0";"1420";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"36";"11913";"6";"41";"300";"3455";"0";"11";"0";"110";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"36";"13314";"7";"84";"247";"3825";"0";"29";"0";"290";"0";"0";"0"
"Greedy";"Minimal";"Median";"36";"13810";"6";"79";"331";"3905";"0";"24";"0";"240";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"36";"15871";"6";"78";"466";"4635";"0";"27";"0";"270";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"36";"6521";"4";"168";"54";"1676";"0";"57";"0";"570";"0";"0";"0"
"Greedy";"Maximum";"Median";"36";"12631";"6";"147";"206";"3494";"0";"45";"0";"450";"0";"0";"0"
"Greedy";"Median";"Minimal";"36";"12972";"6";"76";"116";"3532";"0";"27";"0";"270";"0";"0";"0"
"Greedy";"Median";"Maximum";"36";"14901";"8";"161";"314";"4111";"0";"50";"0";"500";"0";"0";"0"
"Greedy";"Median";"Median";"36";"12223";"5";"147";"205";"3364";"0";"39";"0";"390";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"36";"13146";"7";"2196";"214";"3138";"0";"1886";"0";"18860";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"36";"9297";"2";"2339";"87";"1926";"0";"1911";"0";"19110";"0";"0";"0"
"Bipartite";"Minimal";"Median";"36";"11243";"4";"2302";"120";"2381";"0";"1899";"0";"18990";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"36";"12277";"4";"2334";"93";"2713";"0";"1912";"0";"19120";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"36";"12596";"6";"2603";"158";"2797";"0";"1964";"0";"19640";"0";"0";"0"
"Bipartite";"Maximum";"Median";"36";"12664";"5";"2436";"128";"2914";"0";"1935";"0";"19350";"0";"0";"0"
"Bipartite";"Median";"Minimal";"36";"10026";"4";"2300";"84";"2068";"0";"1906";"0";"19060";"0";"0";"0"
"Bipartite";"Median";"Maximum";"36";"13705";"7";"2426";"221";"3088";"0";"1941";"0";"19410";"0";"0";"0"
"Bipartite";"Median";"Median";"36";"11785";"4";"2377";"110";"2423";"0";"1917";"0";"19170";"0";"0";"0"
