"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"1";"6";"16"
"0";"0";"0.4";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"1";"2";"18"
"0";"0";"0.7";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"1";"2";"24"
"0";"0";"1.0";"1";"68";"15239";"4";"72";"6";"426";"0";"72";"0";"720";"1";"1";"20"
"0";"0";"1.3";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"3";"3";"69"
"0";"0";"1.6";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"104"
"0";"0";"1.9";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"3";"3";"87"
"0";"0";"2.2";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"2";"2";"64"
"0";"0";"2.5";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"140"
"0";"0";"2.8";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"152"
"0";"0";"3.1";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"3";"3";"123"
"0";"0";"3.4";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"176"
"0";"0";"3.7";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"188"
"0";"0";"4.0";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"200"
"0";"0";"4.3";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"3";"3";"159"
"0";"0";"4.6";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"224"
"0";"0";"4.9";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"236"
"0";"0";"5.2";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"5";"5";"310"
"0";"0";"5.5";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"260"
"0";"0";"5.8";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"272"
"0";"0";"6.1";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"2";"2";"142"
"0";"0";"6.4";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"296"
"0";"0";"6.7";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"3";"3";"231"
"0";"0";"7.0";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"320"
"0";"0";"7.3";"1";"69";"14760";"3";"56";"0";"280";"0";"64";"0";"640";"4";"4";"332"
