"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Bipartite";"Maximum";"Maximum";"0.3037441724941725";"0.3154428904428904";"0.6663301965112267";"0.89478819550537";"13"
"Bipartite";"Maximum";"Minimal";"0.33353729603729604";"0.33793706293706294";"0.5469613917931171";"0.7601144078563263";"13"
"Bipartite";"Maximum";"Median";"0.32545163170163166";"0.25075757575757573";"0.5816388145228886";"0.8253325512379027";"13"
"Bipartite";"Minimal";"Maximum";"0.3350670163170163";"0.26159673659673655";"0.5274372466151328";"0.7593057025286417";"13"
"Bipartite";"Minimal";"Minimal";"0.3438811188811189";"0.3514568764568765";"0.512434663231523";"0.7078080059325254";"13"
"Bipartite";"Minimal";"Median";"0.34099650349650357";"0.2705710955710956";"0.507186103467426";"0.7073633260275758";"13"
"Bipartite";"Median";"Maximum";"0.3313082750582751";"0.3187062937062937";"0.5638832693618437";"0.8268381112572983";"13"
"Bipartite";"Median";"Minimal";"0.345483682983683";"0.2763986013986014";"0.5022002311361632";"0.7069903036358158";"13"
"Bipartite";"Median";"Median";"0.33308566433566433";"0.2603146853146853";"0.5543795242549777";"0.7366664879233956";"13"
"Scratch";"";"";"0.5";"0.3527624309392265";"0.8019367138424247";"0.6855613539589036";"14"
"Greedy";"Maximum";"Maximum";"0.27505909660514927";"0.3517064887230633";"0.16818210657719512";"0.09418619331163489";"14"
"Greedy";"Maximum";"Minimal";"0.27894167236272505";"0.3083874458874459";"0.17806860283177114";"0.007970593470879934";"14"
"Greedy";"Maximum";"Median";"0.27542435634540896";"0.2934930401090622";"0.1755921589653244";"0.030516456878808766";"14"
"Greedy";"Minimal";"Maximum";"0.28467365967365965";"0.28158508158508155";"0.140197998774979";"0.008454307910051887";"13"
"Greedy";"Minimal";"Minimal";"0.27217760309865574";"0.3276897825930975";"0.16186768046462305";"0.0017570644895107239";"14"
"Greedy";"Minimal";"Median";"0.2851544289044289";"0.24889277389277387";"0.15128486617609072";"0.0035543874639763014";"13"
"Greedy";"Median";"Maximum";"0.2746126680337207";"0.3037899715385903";"0.17704578539664814";"0.03095559149762166";"14"
"Greedy";"Median";"Minimal";"0.2997750056960583";"0.2701095405515295";"0.21202654462202108";"0.004066650063432695";"14"
"Greedy";"Median";"Median";"0.29311434179855234";"0.2591243931022936";"0.1752542711485646";"0.01618711784160924";"13"
"Random";"Maximum";"Maximum";"0.35856236234525707";"0.22972513214225923";"0.41889207997126293";"0.2980956496500566";"14"
"Random";"Maximum";"Minimal";"0.3165347079820764";"0.25217466695367247";"0.4376971481436421";"0.3069348506081708";"14"
"Random";"Maximum";"Median";"0.31072261072261076";"0.2342074592074592";"0.4229232866148646";"0.25781925501068137";"13"
"Random";"Minimal";"Maximum";"0.31743881118881123";"0.23787878787878786";"0.41357386282288877";"0.2571778977952973";"13"
"Random";"Minimal";"Minimal";"0.31848776223776226";"0.2392191142191142";"0.41457578616511587";"0.22003511970846665";"13"
"Random";"Minimal";"Median";"0.31387464874306975";"0.22603561263782262";"0.4143586361525374";"0.2332337643271793";"14"
"Random";"Median";"Maximum";"0.3353791676160097";"0.30551469708928275";"0.4277752442908748";"0.2657790747132696";"14"
"Random";"Median";"Minimal";"0.30557762778157516";"0.2886492191050202";"0.44390249879796595";"0.24566460327210057";"14"
"Random";"Median";"Median";"0.316652097902098";"0.34306526806526805";"0.44339939429376835";"0.24011654023149895";"13"
