"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"67";"0";"2788888858";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Minimal";"Minimal";"67";"0";"2788888847";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Minimal";"Maximum";"67";"0";"2788888836";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Minimal";"Median";"67";"0";"2788888825";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Maximum";"Minimal";"67";"0";"2788888814";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Maximum";"Maximum";"67";"0";"2788888803";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Maximum";"Median";"67";"0";"2788888792";"0";"0";"0";"0";"184";"0";"1840";"12";"10";"220"
"Random";"Median";"Minimal";"67";"0";"2788888781";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Median";"Maximum";"67";"0";"2788888770";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Random";"Median";"Median";"67";"0";"2788888759";"0";"0";"0";"0";"184";"0";"1840";"12";"12";"240"
"Greedy";"Minimal";"Minimal";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"65";"6";"0";"0";"0";"0";"0";"2";"0";"20";"1";"2";"30"
"Greedy";"Median";"Minimal";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"65";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"65";"519";"0";"516";"0";"0";"0";"5718";"0";"57180";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"65";"519";"0";"516";"0";"0";"0";"5780";"0";"57800";"0";"0";"0"
"Bipartite";"Minimal";"Median";"65";"519";"0";"516";"0";"0";"0";"5719";"0";"57190";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"65";"524";"0";"517";"0";"1";"0";"5780";"0";"57800";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"65";"580";"0";"571";"0";"2";"0";"5792";"0";"57920";"0";"0";"0"
"Bipartite";"Maximum";"Median";"65";"530";"0";"522";"0";"2";"0";"5804";"0";"58040";"0";"0";"0"
"Bipartite";"Median";"Minimal";"65";"519";"0";"516";"0";"0";"0";"5719";"0";"57190";"0";"0";"0"
"Bipartite";"Median";"Maximum";"65";"530";"0";"522";"0";"2";"0";"5804";"0";"58040";"0";"0";"0"
"Bipartite";"Median";"Median";"65";"527";"0";"519";"0";"1";"0";"5720";"0";"57200";"0";"0";"0"
