"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"38";"0";"2788888669";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Minimal";"Minimal";"38";"0";"2788888658";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Minimal";"Maximum";"38";"0";"2788888647";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Minimal";"Median";"38";"0";"2788888636";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Maximum";"Minimal";"38";"0";"2788888625";"0";"0";"0";"0";"353";"0";"3530";"32";"38";"700"
"Random";"Maximum";"Maximum";"38";"0";"2788888614";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Maximum";"Median";"38";"0";"2788888603";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Median";"Minimal";"38";"0";"2788888592";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Median";"Maximum";"38";"0";"2788888581";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Random";"Median";"Median";"38";"0";"2788888570";"0";"0";"0";"0";"353";"0";"3530";"27";"54";"810"
"Greedy";"Minimal";"Minimal";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"31";"36";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"31";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"33";"10128";"10";"1012";"170";"3008";"0";"6477";"0";"64770";"2";"2";"40"
"Bipartite";"Minimal";"Maximum";"33";"8484";"8";"1025";"134";"2435";"0";"8062";"0";"80620";"2";"2";"40"
"Bipartite";"Minimal";"Median";"33";"10301";"9";"1017";"181";"3063";"0";"6488";"0";"64880";"2";"2";"40"
"Bipartite";"Maximum";"Minimal";"33";"11913";"10";"1029";"150";"3497";"0";"7921";"0";"79210";"2";"2";"40"
"Bipartite";"Maximum";"Maximum";"31";"5781";"5";"2428";"63";"1103";"0";"7228";"0";"72280";"0";"0";"0"
"Bipartite";"Maximum";"Median";"33";"8555";"8";"1055";"111";"2521";"0";"7555";"0";"75550";"1";"3";"40"
"Bipartite";"Median";"Minimal";"33";"6984";"7";"1019";"107";"1924";"0";"6488";"0";"64880";"2";"4";"60"
"Bipartite";"Median";"Maximum";"33";"9744";"8";"1057";"196";"2944";"0";"7470";"0";"74700";"1";"3";"40"
"Bipartite";"Median";"Median";"33";"8127";"8";"1026";"123";"2319";"0";"6496";"0";"64960";"1";"3";"40"
