"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"49";"9334";"5";"287";"11";"2795";"0";"255";"0";"2550";"0";"0";"0"
"Random";"Minimal";"Minimal";"49";"12364";"4";"155";"39";"4041";"0";"95";"0";"950";"0";"0";"0"
"Random";"Minimal";"Maximum";"49";"14254";"5";"156";"63";"4678";"0";"98";"0";"980";"0";"0";"0"
"Random";"Minimal";"Median";"49";"13281";"5";"155";"40";"4343";"0";"93";"0";"930";"0";"0";"0"
"Random";"Maximum";"Minimal";"49";"14176";"6";"156";"60";"4647";"0";"99";"0";"990";"0";"0";"0"
"Random";"Maximum";"Maximum";"49";"8942";"2";"160";"10";"2890";"0";"100";"0";"1000";"0";"0";"0"
"Random";"Maximum";"Median";"49";"14773";"5";"157";"64";"4848";"0";"97";"0";"970";"0";"0";"0"
"Random";"Median";"Minimal";"49";"12265";"4";"155";"38";"4008";"0";"93";"0";"930";"0";"0";"0"
"Random";"Median";"Maximum";"49";"12205";"4";"157";"51";"3988";"0";"100";"0";"1000";"0";"0";"0"
"Random";"Median";"Median";"49";"13327";"5";"156";"26";"4357";"0";"95";"0";"950";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"49";"269";"0";"267";"0";"0";"0";"1860";"0";"18600";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"49";"272";"0";"270";"0";"1";"0";"1873";"0";"18730";"0";"0";"0"
"Bipartite";"Minimal";"Median";"49";"277";"0";"267";"0";"4";"0";"1860";"0";"18600";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"49";"272";"0";"270";"0";"1";"0";"1874";"0";"18740";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"49";"297";"0";"291";"0";"2";"0";"1910";"0";"19100";"0";"0";"0"
"Bipartite";"Maximum";"Median";"49";"277";"0";"273";"0";"1";"0";"1889";"0";"18890";"0";"0";"0"
"Bipartite";"Median";"Minimal";"49";"274";"0";"267";"0";"2";"0";"1860";"0";"18600";"0";"0";"0"
"Bipartite";"Median";"Maximum";"49";"276";"1";"273";"0";"0";"0";"1888";"0";"18880";"0";"0";"0"
"Bipartite";"Median";"Median";"49";"271";"0";"270";"0";"0";"0";"1862";"0";"18620";"0";"0";"0"
