"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Random";"Maximum";"Maximum";"0.125";"0.6630952380952381";"0.7230101099290805";"0.0659499850824984";"8"
"Random";"Maximum";"Median";"0.375";"0.9277777777777778";"0.8905424298485952";"0.06717227420505797";"8"
"Random";"Maximum";"Minimal";"0.375";"0.7819444444444443";"0.7428140564759302";"0.17907361131728894";"8"
"Random";"Median";"Maximum";"0.25";"0.9166666666666666";"0.9313968192410802";"0.06770650250685932";"8"
"Random";"Median";"Median";"0.25";"0.7321428571428571";"0.749328551933673";"0.17112675459355778";"8"
"Random";"Median";"Minimal";"0.375";"0.6876984126984126";"0.6826676990043122";"0.1764048358420678";"8"
"Random";"Minimal";"Maximum";"0.25";"0.6460317460317461";"0.6252725954578293";"0.29714411692515597";"8"
"Random";"Minimal";"Median";"0.25";"0.7625";"0.7457714863478906";"0.1779840054440572";"8"
"Random";"Minimal";"Minimal";"0.375";"0.822420634920635";"0.8460578975554982";"0.05796964652176812";"8"
"Scratch";"";"";"0.875";"0.9277777777777778";"0.502553247636645";"0.1710873862108833";"8"
"Greedy";"Maximum";"Maximum";"0.0";"0.0";"0.001756988115446415";"0.0";"14"
"Greedy";"Maximum";"Median";"0.0";"0.0";"0.001756988115446415";"2.461356699812937e-05";"14"
"Greedy";"Maximum";"Minimal";"0.0";"0.0";"0.001756988115446415";"0.0";"14"
"Greedy";"Median";"Maximum";"0.0";"0.014285714285714287";"0.001756988115446415";"0.0";"14"
"Greedy";"Median";"Median";"0.07142857142857142";"0.04285714285714286";"0.032396438788693555";"0.004609523809523809";"14"
"Greedy";"Median";"Minimal";"0.0";"0.0071428571428571435";"0.001756988115446415";"0.0";"14"
"Greedy";"Minimal";"Maximum";"0.0";"0.0";"0.001756988115446415";"0.0";"14"
"Greedy";"Minimal";"Median";"0.0";"0.0";"0.001756988115446415";"0.0";"14"
"Greedy";"Minimal";"Minimal";"0.07142857142857142";"0.06349206349206349";"0.07315287660124568";"0.0030908405578590273";"14"
"Bipartite";"Maximum";"Maximum";"0.0";"0.08115079365079365";"0.19237984945824635";"0.9792309835346465";"14"
"Bipartite";"Maximum";"Median";"0.14285714285714285";"0.29056122448979593";"0.36692372847462396";"0.9906068539141037";"14"
"Bipartite";"Maximum";"Minimal";"0.14285714285714285";"0.31071428571428567";"0.4080275118746458";"0.9908990829208646";"14"
"Bipartite";"Median";"Maximum";"0.14285714285714285";"0.28818027210884356";"0.37099585800233614";"0.9877500122615481";"14"
"Bipartite";"Median";"Median";"0.14285714285714285";"0.3";"0.37146900549716494";"0.9365797111124977";"14"
"Bipartite";"Median";"Minimal";"0.11904761904761904";"0.28035714285714286";"0.39152754579865817";"0.9357155839354266";"14"
"Bipartite";"Minimal";"Maximum";"0.14285714285714285";"0.28035714285714286";"0.3683123532136627";"0.991678103931854";"14"
"Bipartite";"Minimal";"Median";"0.14285714285714285";"0.2964285714285714";"0.3817915735482886";"0.9357144149957535";"14"
"Bipartite";"Minimal";"Minimal";"0.11904761904761904";"0.33035714285714285";"0.39584521103370174";"0.9387684236646602";"14"
