"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"50";"8551";"9";"146";"16";"2078";"0";"238";"0";"2380";"7";"7";"140"
"Random";"Minimal";"Minimal";"50";"11087";"7";"101";"58";"3265";"0";"81";"0";"810";"1";"2";"30"
"Random";"Minimal";"Maximum";"49";"336";"0";"270";"0";"21";"0";"1895";"0";"18950";"1";"5";"60"
"Random";"Minimal";"Median";"49";"290";"0";"267";"0";"8";"0";"1874";"0";"18740";"2";"3";"50"
"Random";"Maximum";"Minimal";"50";"10593";"7";"102";"47";"3096";"0";"88";"0";"880";"1";"3";"40"
"Random";"Maximum";"Maximum";"50";"11087";"7";"101";"58";"3265";"0";"81";"0";"810";"1";"2";"30"
"Random";"Maximum";"Median";"50";"12290";"9";"103";"63";"3669";"0";"89";"0";"890";"1";"2";"30"
"Random";"Median";"Minimal";"50";"11548";"8";"102";"59";"3419";"0";"82";"0";"820";"1";"1";"20"
"Random";"Median";"Maximum";"50";"11692";"7";"103";"61";"3469";"0";"87";"0";"870";"1";"2";"30"
"Random";"Median";"Median";"50";"11168";"7";"102";"61";"3294";"0";"82";"0";"820";"1";"2";"30"
"Greedy";"Minimal";"Minimal";"50";"13113";"8";"102";"72";"3945";"0";"82";"0";"820";"1";"2";"30"
"Greedy";"Minimal";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"49";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"49";"271";"0";"264";"0";"2";"0";"1868";"0";"18680";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"49";"276";"0";"267";"0";"3";"0";"1880";"0";"18800";"0";"0";"0"
"Bipartite";"Minimal";"Median";"49";"336";"0";"265";"0";"23";"0";"1869";"0";"18690";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"49";"275";"0";"267";"0";"3";"0";"1882";"0";"18820";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"49";"282";"0";"280";"0";"0";"0";"1893";"0";"18930";"0";"0";"0"
"Bipartite";"Maximum";"Median";"49";"319";"0";"270";"0";"16";"0";"1888";"0";"18880";"0";"0";"0"
"Bipartite";"Median";"Minimal";"49";"266";"0";"264";"0";"0";"0";"1868";"0";"18680";"0";"0";"0"
"Bipartite";"Median";"Maximum";"49";"336";"0";"270";"0";"21";"0";"1883";"0";"18830";"0";"0";"0"
"Bipartite";"Median";"Median";"49";"290";"0";"267";"0";"8";"0";"1872";"0";"18720";"0";"0";"0"
