"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"14";"20537";"3";"6090";"1905";"5892";"0";"1562";"40";"15660";"0";"0";"0"
"0";"0";"0.4";"1";"14";"17077";"3";"5390";"747";"3612";"0";"1594";"8";"15972";"0";"0";"0"
"0";"0";"0.7";"1";"14";"17329";"3";"5496";"408";"3300";"0";"1459";"31";"14807";"0";"0";"0"
"0";"0";"1.0";"1";"14";"13666";"3";"5201";"113";"1855";"0";"1452";"2";"14540";"0";"0";"0"
"0";"0";"1.3";"1";"14";"17942";"4";"6664";"183";"2451";"0";"1696";"9";"17077";"0";"0";"0"
"0";"0";"1.6";"1";"14";"19747";"4";"5892";"353";"3114";"0";"1772";"33";"18248";"0";"0";"0"
"0";"0";"1.9";"1";"14";"19736";"4";"5892";"342";"3103";"0";"1772";"33";"18347";"0";"0";"0"
"0";"0";"2.2";"1";"14";"13956";"3";"5052";"118";"1718";"0";"1411";"28";"14726";"0";"0";"0"
"0";"0";"2.5";"1";"14";"13956";"2";"5052";"118";"1718";"0";"1411";"28";"14810";"0";"0";"0"
"0";"0";"2.8";"1";"14";"13956";"3";"5052";"118";"1718";"0";"1411";"28";"14894";"0";"0";"0"
"0";"0";"3.1";"1";"14";"22295";"4";"5035";"274";"3584";"0";"1439";"47";"15847";"0";"0";"0"
"0";"0";"3.4";"1";"16";"20455";"4";"4354";"298";"3211";"0";"1296";"24";"13776";"3";"3";"132"
"0";"0";"3.7";"1";"14";"21425";"4";"5815";"378";"3439";"0";"1437";"41";"15887";"0";"0";"0"
"0";"0";"4.0";"1";"14";"19973";"4";"5071";"219";"3181";"0";"1182";"15";"12420";"0";"0";"0"
"0";"0";"4.3";"1";"23";"12643";"4";"2580";"83";"1726";"0";"985";"16";"10538";"6";"6";"318"
"0";"0";"4.6";"1";"14";"25351";"4";"6016";"211";"4028";"0";"1445";"59";"17164";"0";"0";"0"
"0";"0";"4.9";"1";"24";"10742";"4";"2134";"71";"1541";"0";"732";"12";"7908";"6";"6";"354"
"0";"0";"5.2";"1";"14";"19569";"4";"5627";"214";"2667";"0";"1300";"29";"14508";"0";"0";"0"
"0";"0";"5.5";"1";"14";"19569";"4";"5627";"214";"2667";"0";"1300";"29";"14595";"0";"0";"0"
"0";"0";"5.8";"1";"14";"19569";"4";"5627";"214";"2667";"0";"1300";"29";"14682";"0";"0";"0"
"0";"0";"6.1";"1";"22";"12343";"5";"2779";"52";"1615";"0";"983";"3";"10013";"9";"9";"639"
"0";"0";"6.4";"1";"14";"23238";"4";"5956";"120";"3244";"0";"1436";"15";"15320";"0";"0";"0"
"0";"0";"6.7";"1";"18";"17599";"4";"4221";"84";"2417";"0";"1228";"12";"13084";"6";"6";"462"
"0";"0";"7.0";"1";"14";"23499";"4";"6053";"123";"3264";"0";"1396";"40";"16760";"0";"0";"0"
"0";"0";"7.3";"1";"16";"18816";"4";"4842";"117";"2558";"0";"1324";"8";"13824";"13";"13";"1079"
"0";"0";"7.6";"1";"14";"21518";"4";"5732";"145";"2955";"0";"1525";"13";"16238";"0";"0";"0"
"0";"0";"7.9";"1";"14";"21518";"4";"5732";"145";"2955";"0";"1525";"13";"16277";"0";"0";"0"
"0";"0";"8.2";"1";"14";"20174";"4";"5762";"130";"2698";"0";"1342";"58";"18176";"0";"0";"0"
"0";"0";"8.5";"1";"14";"20174";"4";"5762";"130";"2698";"0";"1342";"58";"18350";"0";"0";"0"
"0";"0";"8.8";"1";"14";"20174";"4";"5762";"130";"2698";"0";"1342";"58";"18524";"0";"0";"0"
"0";"0";"9.1";"1";"15";"18958";"4";"5358";"110";"2513";"0";"1343";"60";"18890";"2";"2";"202"
"0";"0";"9.4";"1";"14";"20256";"4";"5825";"127";"2709";"0";"1343";"60";"19070";"0";"0";"0"
"0";"0";"9.7";"1";"14";"20256";"4";"5825";"127";"2709";"0";"1343";"60";"19250";"0";"0";"0"
"0";"1";"dynamic";"1";"14";"15218";"2";"5131";"82";"1931";"0";"1319";"0";"13190";"0";"0";"0"
"0";"1";"0.1";"1";"14";"26051";"4";"5213";"7685";"11712";"0";"1587";"0";"15870";"0";"0";"0"
"0";"1";"0.4";"1";"14";"18889";"3";"5587";"1422";"4109";"0";"1620";"0";"16200";"0";"0";"0"
"0";"1";"0.7";"1";"14";"13846";"1";"5168";"782";"2334";"0";"1725";"0";"17250";"0";"0";"0"
"0";"1";"1.0";"1";"14";"13991";"2";"5285";"354";"2057";"0";"1507";"0";"15070";"0";"0";"0"
"0";"1";"1.3";"1";"14";"18520";"3";"4505";"1060";"3898";"0";"1378";"0";"13780";"0";"0";"0"
"0";"1";"1.6";"1";"14";"17576";"2";"5204";"256";"2675";"0";"1378";"0";"13780";"0";"0";"0"
"0";"1";"1.9";"1";"14";"18982";"3";"5257";"386";"3099";"0";"1348";"0";"13480";"0";"0";"0"
"0";"1";"2.2";"1";"14";"21862";"3";"5306";"628";"3782";"0";"1595";"0";"15950";"0";"0";"0"
"0";"1";"2.5";"1";"14";"20972";"3";"4986";"504";"3526";"0";"1573";"0";"15730";"0";"0";"0"
"0";"1";"2.8";"1";"14";"19014";"3";"5431";"398";"3058";"0";"1451";"0";"14510";"0";"0";"0"
"0";"1";"3.1";"1";"14";"14414";"2";"5193";"99";"1743";"0";"1496";"0";"14960";"0";"0";"0"
"0";"1";"3.4";"1";"14";"14414";"2";"5193";"99";"1743";"0";"1496";"0";"14960";"0";"0";"0"
"0";"1";"3.7";"1";"14";"14414";"2";"5193";"99";"1743";"0";"1496";"0";"14960";"0";"0";"0"
"0";"1";"4.0";"1";"14";"14316";"2";"5183";"24";"1523";"0";"1461";"0";"14610";"0";"0";"0"
"0";"1";"4.3";"1";"14";"19563";"3";"5177";"213";"3043";"0";"1490";"0";"14900";"0";"0";"0"
"0";"1";"4.6";"1";"14";"19563";"2";"5177";"213";"3043";"0";"1490";"0";"14900";"0";"0";"0"
"0";"1";"4.9";"1";"14";"19563";"2";"5177";"213";"3043";"0";"1490";"0";"14900";"0";"0";"0"
"0";"1";"5.2";"1";"14";"19928";"3";"5102";"202";"2989";"0";"1342";"0";"13420";"0";"0";"0"
"0";"1";"5.5";"1";"14";"19928";"3";"5102";"202";"2989";"0";"1342";"0";"13420";"0";"0";"0"
"0";"1";"5.8";"1";"14";"19928";"3";"5102";"202";"2989";"0";"1342";"0";"13420";"0";"0";"0"
"0";"1";"6.1";"1";"14";"22649";"3";"4490";"290";"3607";"0";"1543";"0";"15430";"0";"0";"0"
"0";"1";"6.4";"1";"14";"22649";"4";"4490";"290";"3607";"0";"1543";"0";"15430";"0";"0";"0"
"0";"1";"6.7";"1";"14";"22649";"3";"4490";"290";"3607";"0";"1543";"0";"15430";"0";"0";"0"
"0";"1";"7.0";"1";"14";"17344";"2";"4717";"107";"2363";"0";"1435";"0";"14350";"0";"0";"0"
"0";"1";"7.3";"1";"14";"23678";"3";"4335";"304";"3996";"0";"1192";"0";"11920";"0";"0";"0"
"0";"1";"7.6";"1";"14";"23678";"3";"4335";"304";"3996";"0";"1192";"0";"11920";"0";"0";"0"
"0";"1";"7.9";"1";"14";"23678";"3";"4335";"304";"3996";"0";"1192";"0";"11920";"0";"0";"0"
"0";"1";"8.2";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"0";"1";"8.5";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"0";"1";"8.8";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"0";"1";"9.1";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"0";"1";"9.4";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"0";"1";"9.7";"1";"14";"16984";"2";"4645";"150";"2324";"0";"1400";"0";"14000";"0";"0";"0"
"1";"0";"0.1";"1";"15";"18130";"4";"5165";"2966";"5794";"31";"1481";"37";"14847";"13";"0";"130"
"1";"0";"0.4";"1";"14";"17589";"3";"5557";"1130";"4016";"90";"1468";"32";"14808";"0";"0";"0"
"1";"0";"0.7";"1";"14";"16752";"3";"4975";"647";"3156";"267";"1525";"10";"15320";"0";"0";"0"
"1";"0";"1.0";"1";"14";"13237";"2";"5255";"217";"1854";"94";"1399";"13";"14120";"0";"0";"0"
"1";"0";"1.3";"1";"14";"18890";"4";"5938";"304";"2688";"597";"1547";"25";"15795";"0";"0";"0"
"1";"0";"1.6";"1";"14";"15572";"3";"5252";"286";"2063";"481";"1581";"8";"15938";"0";"0";"0"
"1";"0";"1.9";"1";"14";"17591";"4";"5649";"152";"1964";"759";"1575";"10";"15940";"0";"0";"0"
"1";"0";"2.2";"1";"14";"16177";"3";"5756";"99";"1579";"1135";"1521";"3";"15276";"0";"0";"0"
"1";"0";"2.5";"1";"14";"16177";"3";"5756";"99";"1579";"1135";"1521";"3";"15285";"0";"0";"0"
"1";"0";"2.8";"1";"14";"15583";"4";"5246";"109";"1489";"851";"1400";"10";"14280";"0";"0";"0"
