"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"33";"293988";"9";"290310";"79";"542";"0";"21766";"0";"217660";"2";"4";"60"
"Random";"Minimal";"Minimal";"14";"25895";"1";"23989";"16";"443";"0";"1420";"0";"14200";"0";"0";"0"
"Random";"Minimal";"Maximum";"14";"50154";"3";"28627";"587";"5087";"0";"2712";"0";"27120";"0";"0";"0"
"Random";"Minimal";"Median";"14";"31671";"1";"25825";"161";"1254";"0";"1858";"0";"18580";"0";"0";"0"
"Random";"Maximum";"Minimal";"14";"33903";"1";"27492";"446";"1566";"0";"2534";"0";"25340";"0";"0";"0"
"Random";"Maximum";"Maximum";"14";"63671";"4";"44056";"601";"4400";"0";"4183";"0";"41830";"0";"0";"0"
"Random";"Maximum";"Median";"14";"40299";"2";"33232";"241";"1738";"0";"2743";"0";"27430";"0";"0";"0"
"Random";"Median";"Minimal";"14";"31304";"1";"25614";"148";"1282";"0";"1898";"0";"18980";"0";"0";"0"
"Random";"Median";"Maximum";"14";"47922";"3";"34197";"380";"3142";"0";"3322";"0";"33220";"0";"0";"0"
"Random";"Median";"Median";"14";"40128";"2";"30642";"179";"1978";"0";"2652";"0";"26520";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"14";"13866";"1";"5018";"210";"1371";"0";"1453";"0";"14530";"159";"159";"3180"
"Greedy";"Minimal";"Maximum";"14";"20249";"2";"5884";"551";"2738";"0";"1623";"0";"16230";"0";"0";"0"
"Greedy";"Minimal";"Median";"14";"16228";"1";"4817";"280";"2088";"0";"1157";"0";"11570";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"14";"15382";"1";"5577";"273";"1547";"0";"1461";"0";"14610";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"14";"29341";"3";"11689";"383";"3209";"0";"2963";"0";"29630";"0";"0";"0"
"Greedy";"Maximum";"Median";"14";"26880";"2";"7859";"457";"3677";"0";"2219";"0";"22190";"0";"0";"0"
"Greedy";"Median";"Minimal";"14";"13866";"1";"5018";"210";"1371";"0";"1235";"0";"12350";"0";"0";"0"
"Greedy";"Median";"Maximum";"14";"24596";"3";"7599";"529";"3405";"0";"2158";"0";"21580";"0";"0";"0"
"Greedy";"Median";"Median";"14";"30831";"3";"7791";"535";"4517";"0";"2002";"0";"20020";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"14";"46461";"1";"44164";"83";"458";"0";"12021";"0";"120210";"140";"280";"4200"
"Bipartite";"Minimal";"Maximum";"14";"47912";"1";"44213";"438";"849";"0";"11648";"0";"116480";"0";"0";"0"
"Bipartite";"Minimal";"Median";"14";"47991";"2";"42038";"70";"1300";"0";"11041";"0";"110410";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"14";"46461";"1";"44164";"83";"458";"0";"11820";"0";"118200";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"14";"79928";"3";"66676";"309";"2565";"0";"14557";"0";"145570";"0";"0";"0"
"Bipartite";"Maximum";"Median";"14";"55449";"2";"51155";"77";"1001";"0";"13032";"0";"130320";"0";"0";"0"
"Bipartite";"Median";"Minimal";"14";"48805";"2";"42845";"222";"1315";"0";"11064";"0";"110640";"0";"0";"0"
"Bipartite";"Median";"Maximum";"14";"59647";"2";"52179";"168";"1453";"0";"12978";"0";"129780";"0";"0";"0"
"Bipartite";"Median";"Median";"14";"57721";"3";"49243";"134";"1703";"0";"11979";"0";"119790";"0";"0";"0"
