"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"14";"20045";"3";"3794";"3221";"7704";"0";"1091";"34";"10944";"0";"0";"0"
"0";"0";"0.4";"1";"14";"13493";"3";"4259";"525";"2808";"0";"1338";"12";"13428";"0";"0";"0"
"0";"0";"0.7";"1";"14";"21494";"3";"3851";"1082";"5941";"0";"1147";"48";"11806";"0";"0";"0"
"0";"0";"1.0";"1";"14";"21319";"4";"4080";"613";"5841";"0";"1077";"96";"11730";"0";"0";"0"
"0";"0";"1.3";"1";"14";"14255";"3";"4089";"363";"2468";"0";"1161";"22";"11896";"0";"0";"0"
"0";"0";"1.6";"1";"14";"13691";"2";"3843";"272";"2198";"0";"1220";"13";"12408";"0";"0";"0"
"0";"0";"1.9";"1";"14";"13691";"3";"3843";"272";"2198";"0";"1220";"13";"12447";"0";"0";"0"
"0";"0";"2.2";"1";"14";"12204";"2";"3991";"204";"1642";"0";"964";"13";"9926";"0";"0";"0"
"0";"0";"2.5";"1";"14";"13947";"2";"3963";"197";"2004";"0";"1089";"25";"11515";"0";"0";"0"
"0";"0";"2.8";"1";"14";"15384";"3";"3920";"257";"2417";"0";"978";"41";"10928";"0";"0";"0"
"0";"0";"3.1";"1";"14";"21649";"4";"3946";"284";"3942";"0";"1089";"59";"12719";"0";"0";"0"
"0";"0";"3.4";"1";"14";"21649";"3";"3946";"284";"3942";"0";"1089";"59";"12896";"0";"0";"0"
"0";"0";"3.7";"1";"14";"22349";"3";"4019";"316";"4042";"0";"1037";"82";"13404";"0";"0";"0"
"0";"0";"4.0";"1";"14";"19527";"4";"4210";"254";"3458";"0";"1225";"36";"13690";"0";"0";"0"
"0";"0";"4.3";"1";"14";"21914";"4";"4335";"227";"3565";"0";"1164";"57";"14091";"0";"0";"0"
"0";"0";"4.6";"1";"14";"21914";"4";"4335";"227";"3565";"0";"1164";"57";"14262";"0";"0";"0"
"0";"0";"4.9";"1";"17";"16136";"4";"3139";"157";"2607";"0";"942";"41";"11429";"8";"8";"472"
