"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"27";"215763";"10";"209796";"107";"858";"0";"17628";"0";"176280";"36";"36";"720"
"Random";"Minimal";"Minimal";"14";"28261";"2";"18085";"521";"2494";"0";"1192";"0";"11920";"0";"0";"0"
"Random";"Minimal";"Maximum";"14";"29343";"1";"20388";"300";"2013";"0";"1852";"0";"18520";"0";"0";"0"
"Random";"Minimal";"Median";"14";"25376";"2";"19395";"146";"1434";"0";"1472";"0";"14720";"0";"0";"0"
"Random";"Maximum";"Minimal";"14";"29901";"2";"20393";"422";"2352";"0";"1986";"0";"19860";"0";"0";"0"
"Random";"Maximum";"Maximum";"14";"43875";"2";"32557";"244";"2390";"0";"3260";"0";"32600";"0";"0";"0"
"Random";"Maximum";"Median";"14";"34667";"2";"25589";"277";"2191";"0";"2568";"0";"25680";"0";"0";"0"
"Random";"Median";"Minimal";"14";"29494";"1";"19301";"260";"2502";"0";"1486";"0";"14860";"0";"0";"0"
"Random";"Median";"Maximum";"30";"23995";"2";"21635";"345";"677";"0";"8116";"0";"81160";"0";"0";"0"
"Random";"Median";"Median";"14";"37743";"3";"22206";"357";"3563";"0";"1971";"0";"19710";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"14";"19147";"2";"3156";"579";"3573";"0";"678";"0";"6780";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"14";"13841";"1";"3694";"414";"2107";"0";"1236";"0";"12360";"0";"0";"0"
"Greedy";"Minimal";"Median";"14";"18175";"2";"3725";"339";"2956";"0";"823";"0";"8230";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"14";"14604";"1";"3961";"376";"2072";"0";"1234";"0";"12340";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"14";"26278";"3";"8992";"437";"3377";"0";"2491";"0";"24910";"0";"0";"0"
"Greedy";"Maximum";"Median";"14";"17067";"2";"6192";"145";"1946";"0";"1741";"0";"17410";"0";"0";"0"
"Greedy";"Median";"Minimal";"30";"12609";"1";"12124";"5";"107";"0";"826";"0";"8260";"0";"0";"0"
"Greedy";"Median";"Maximum";"14";"21297";"2";"5963";"481";"3097";"0";"1651";"0";"16510";"0";"0";"0"
"Greedy";"Median";"Median";"14";"20686";"2";"5656";"350";"2917";"0";"1350";"0";"13500";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"14";"38558";"2";"31235";"166";"1621";"0";"8133";"0";"81330";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"14";"46674";"2";"32602";"793";"3524";"0";"8848";"0";"88480";"0";"0";"0"
"Bipartite";"Minimal";"Median";"14";"47359";"3";"31966";"607";"3768";"0";"8355";"0";"83550";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"14";"52455";"3";"33562";"1161";"4810";"0";"8924";"0";"89240";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"14";"63903";"3";"47406";"359";"3656";"0";"10591";"0";"105910";"0";"0";"0"
"Bipartite";"Maximum";"Median";"14";"51942";"3";"38056";"364";"3174";"0";"9693";"0";"96930";"0";"0";"0"
"Bipartite";"Median";"Minimal";"14";"39996";"1";"31606";"265";"1880";"0";"8407";"0";"84070";"0";"0";"0"
"Bipartite";"Median";"Maximum";"14";"47111";"2";"37843";"294";"2221";"0";"9575";"0";"95750";"0";"0";"0"
"Bipartite";"Median";"Median";"14";"47910";"3";"36084";"387";"2724";"0";"9137";"0";"91370";"0";"0";"0"
