"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Greedy";"Minimal";"Minimal";"0.0";"0.15555555555555556";"0.06795303870384047";"0.05260851433781692";"2"
"Greedy";"Minimal";"Median";"0.0";"0.15555555555555556";"0.06971773801097264";"0.04992169376857601";"2"
"Greedy";"Minimal";"Maximum";"0.0";"0.1611111111111111";"0.06651302523732139";"0.07234078080445598";"2"
"Greedy";"Median";"Minimal";"0.5";"0.10555555555555556";"0.052802155558908284";"0.05179857102113052";"2"
"Greedy";"Median";"Median";"0.0";"0.26666666666666666";"0.10037267035031404";"0.08428051206448789";"2"
"Greedy";"Median";"Maximum";"0.0";"0.26666666666666666";"0.09118440144501123";"0.09640163666263071";"2"
"Greedy";"Maximum";"Minimal";"0.0";"0.10555555555555556";"0.0600036202441539";"0.06856265252245343";"2"
"Greedy";"Maximum";"Median";"0.0";"0.2111111111111111";"0.08526649163600138";"0.10035566167287802";"2"
"Greedy";"Maximum";"Maximum";"0.0";"0.31666666666666665";"0.11079721628895692";"0.13871951216333825";"2"
"Random";"Minimal";"Minimal";"0.0";"0.15555555555555556";"0.1095317527204712";"0.06642953004209783";"2"
"Random";"Minimal";"Median";"0.0";"0.15555555555555556";"0.11266970662895927";"0.08443300454588662";"2"
"Random";"Minimal";"Maximum";"0.0";"0.21666666666666667";"0.1532976202449715";"0.1148290642423328";"2"
"Random";"Median";"Minimal";"0.0";"0.10555555555555556";"0.12158840955784375";"0.0857489643594708";"2"
"Random";"Median";"Median";"0.0";"0.26111111111111107";"0.15571170660418543";"0.11682607982034546";"2"
"Random";"Median";"Maximum";"0.5";"0.26666666666666666";"0.13710831918132993";"0.3065136302059359";"2"
"Random";"Maximum";"Minimal";"0.0";"0.15555555555555556";"0.1269518224940265";"0.11454088967955281";"2"
"Random";"Maximum";"Median";"0.0";"0.2111111111111111";"0.14887434322067783";"0.13584978401685305";"2"
"Random";"Maximum";"Maximum";"0.0";"0.3222222222222222";"0.20996249257850402";"0.18855676299229163";"2"
"Scratch";"";"";"0.90625";"1.0";"1.0";"1.0";"2"
"Bipartite";"Minimal";"Minimal";"0.0";"0.15555555555555556";"0.16837120073269807";"0.506825827742533";"2"
"Bipartite";"Minimal";"Median";"0.0";"0.26111111111111107";"0.19136841086075124";"0.4906104533353617";"2"
"Bipartite";"Minimal";"Maximum";"0.0";"0.15555555555555556";"0.1896466617676184";"0.5185376542848088";"2"
"Bipartite";"Median";"Minimal";"0.0";"0.1611111111111111";"0.17569011805034018";"0.4926137265522025";"2"
"Bipartite";"Median";"Median";"0.0";"0.31666666666666665";"0.20919356931544336";"0.5343384425273325";"2"
"Bipartite";"Median";"Maximum";"0.0";"0.2111111111111111";"0.21061764460000412";"0.5697104953045451";"2"
"Bipartite";"Maximum";"Minimal";"0.0";"0.20555555555555555";"0.2005755175061949";"0.5246444321526105";"2"
"Bipartite";"Maximum";"Median";"0.0";"0.26111111111111107";"0.2146730513414949";"0.5742979101248148";"2"
"Bipartite";"Maximum";"Maximum";"0.0";"0.31666666666666665";"0.2840236157241311";"0.6348004527851272";"2"
