"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"11";"240";"0";"83";"18";"53";"0";"95";"0";"950";"0";"0";"0"
"Random";"Minimal";"Minimal";"11";"106";"0";"58";"3";"17";"0";"51";"0";"510";"0";"0";"0"
"Random";"Minimal";"Maximum";"11";"106";"0";"58";"3";"17";"0";"56";"0";"560";"0";"0";"0"
"Random";"Minimal";"Median";"11";"106";"0";"58";"3";"17";"0";"53";"0";"530";"0";"0";"0"
"Random";"Maximum";"Minimal";"11";"106";"0";"58";"3";"17";"0";"56";"0";"560";"0";"0";"0"
"Random";"Maximum";"Maximum";"11";"88";"0";"62";"0";"9";"0";"55";"0";"550";"0";"0";"0"
"Random";"Maximum";"Median";"11";"112";"0";"57";"5";"19";"0";"55";"0";"550";"0";"0";"0"
"Random";"Median";"Minimal";"11";"106";"0";"58";"3";"17";"0";"53";"0";"530";"0";"0";"0"
"Random";"Median";"Maximum";"11";"112";"0";"57";"5";"19";"0";"55";"0";"550";"0";"0";"0"
"Random";"Median";"Median";"11";"115";"0";"60";"4";"19";"0";"55";"0";"550";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"11";"30";"0";"1";"0";"9";"0";"1";"0";"10";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"11";"43";"0";"2";"0";"13";"0";"12";"0";"120";"0";"0";"0"
"Greedy";"Minimal";"Median";"11";"28";"0";"2";"0";"8";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"11";"43";"0";"2";"0";"13";"0";"12";"0";"120";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"11";"20";"0";"18";"0";"0";"0";"31";"0";"310";"0";"0";"0"
"Greedy";"Maximum";"Median";"11";"7";"0";"4";"0";"0";"0";"21";"0";"210";"0";"0";"0"
"Greedy";"Median";"Minimal";"11";"13";"0";"2";"0";"3";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Median";"Maximum";"11";"7";"0";"4";"0";"0";"0";"21";"0";"210";"0";"0";"0"
"Greedy";"Median";"Median";"11";"28";"0";"4";"0";"7";"0";"7";"0";"70";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"11";"98";"0";"66";"0";"11";"0";"198";"0";"1980";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"11";"98";"0";"66";"0";"11";"0";"211";"0";"2110";"0";"0";"0"
"Bipartite";"Minimal";"Median";"11";"98";"0";"66";"0";"11";"0";"198";"0";"1980";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"11";"98";"0";"66";"0";"11";"0";"211";"0";"2110";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"11";"91";"0";"91";"0";"0";"0";"239";"0";"2390";"0";"0";"0"
"Bipartite";"Maximum";"Median";"11";"70";"0";"68";"0";"1";"0";"227";"0";"2270";"0";"0";"0"
"Bipartite";"Median";"Minimal";"11";"98";"0";"66";"0";"11";"0";"198";"0";"1980";"0";"0";"0"
"Bipartite";"Median";"Maximum";"11";"70";"0";"68";"0";"1";"0";"227";"0";"2270";"0";"0";"0"
"Bipartite";"Median";"Median";"11";"159";"0";"67";"5";"32";"0";"200";"0";"2000";"0";"0";"0"
