"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"11";"80";"0";"55";"2";"6";"0";"63";"0";"630";"0";"0";"0"
"Random";"Minimal";"Minimal";"11";"44";"0";"39";"0";"1";"0";"33";"0";"330";"0";"0";"0"
"Random";"Minimal";"Maximum";"11";"94";"0";"40";"0";"17";"0";"39";"0";"390";"0";"0";"0"
"Random";"Minimal";"Median";"11";"94";"0";"40";"0";"17";"0";"35";"0";"350";"0";"0";"0"
"Random";"Maximum";"Minimal";"11";"94";"0";"40";"0";"17";"0";"39";"0";"390";"0";"0";"0"
"Random";"Maximum";"Maximum";"11";"47";"0";"41";"0";"1";"0";"36";"0";"360";"0";"0";"0"
"Random";"Maximum";"Median";"11";"69";"0";"40";"0";"9";"0";"35";"0";"350";"0";"0";"0"
"Random";"Median";"Minimal";"11";"117";"0";"40";"3";"25";"0";"35";"0";"350";"0";"0";"0"
"Random";"Median";"Maximum";"11";"76";"0";"40";"2";"11";"0";"35";"0";"350";"0";"0";"0"
"Random";"Median";"Median";"11";"51";"0";"38";"2";"4";"0";"36";"0";"360";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"11";"11";"0";"1";"0";"3";"0";"1";"0";"10";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"11";"12";"0";"2";"0";"3";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Minimal";"Median";"11";"12";"0";"2";"0";"3";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"11";"12";"0";"2";"0";"3";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"11";"29";"0";"18";"0";"3";"0";"31";"0";"310";"0";"0";"0"
"Greedy";"Maximum";"Median";"11";"21";"0";"5";"0";"5";"0";"8";"0";"80";"0";"0";"0"
"Greedy";"Median";"Minimal";"11";"20";"0";"2";"0";"5";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Median";"Maximum";"11";"21";"0";"5";"0";"5";"0";"8";"0";"80";"0";"0";"0"
"Greedy";"Median";"Median";"11";"17";"0";"4";"0";"4";"0";"6";"0";"60";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"11";"125";"0";"74";"1";"17";"0";"175";"0";"1750";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"11";"113";"0";"75";"0";"13";"0";"204";"0";"2040";"0";"0";"0"
"Bipartite";"Minimal";"Median";"11";"77";"0";"75";"0";"1";"0";"176";"0";"1760";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"11";"113";"0";"75";"0";"13";"0";"204";"0";"2040";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"11";"96";"0";"90";"0";"2";"0";"198";"0";"1980";"0";"0";"0"
"Bipartite";"Maximum";"Median";"11";"80";"0";"77";"0";"1";"0";"182";"0";"1820";"0";"0";"0"
"Bipartite";"Median";"Minimal";"11";"79";"0";"75";"0";"1";"0";"176";"0";"1760";"0";"0";"0"
"Bipartite";"Median";"Maximum";"11";"80";"0";"77";"0";"1";"0";"182";"0";"1820";"0";"0";"0"
"Bipartite";"Median";"Median";"11";"79";"0";"75";"0";"1";"0";"176";"0";"1760";"0";"0";"0"
