"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"9";"216";"0";"216";"0";"0";"0";"192";"0";"1920";"0";"0";"0"
"Random";"Minimal";"Minimal";"9";"117";"0";"115";"0";"1";"0";"70";"0";"700";"0";"0";"0"
"Random";"Minimal";"Maximum";"9";"130";"0";"130";"0";"0";"0";"89";"0";"890";"0";"0";"0"
"Random";"Minimal";"Median";"9";"118";"0";"118";"0";"0";"0";"77";"0";"770";"0";"0";"0"
"Random";"Maximum";"Minimal";"9";"130";"0";"130";"0";"0";"0";"89";"0";"890";"0";"0";"0"
"Random";"Maximum";"Maximum";"9";"129";"0";"129";"0";"0";"0";"93";"0";"930";"0";"0";"0"
"Random";"Maximum";"Median";"9";"133";"0";"129";"0";"1";"0";"91";"0";"910";"0";"0";"0"
"Random";"Median";"Minimal";"9";"118";"0";"118";"0";"0";"0";"77";"0";"770";"0";"0";"0"
"Random";"Median";"Maximum";"9";"133";"0";"129";"0";"1";"0";"91";"0";"910";"0";"0";"0"
"Random";"Median";"Median";"9";"127";"0";"125";"0";"1";"0";"79";"0";"790";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"9";"258";"0";"258";"0";"0";"0";"280";"0";"2800";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"9";"264";"0";"264";"0";"0";"0";"302";"0";"3020";"0";"0";"0"
"Bipartite";"Minimal";"Median";"9";"256";"0";"256";"0";"0";"0";"279";"0";"2790";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"9";"264";"0";"264";"0";"0";"0";"302";"0";"3020";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"9";"295";"0";"295";"0";"0";"0";"339";"0";"3390";"0";"0";"0"
"Bipartite";"Maximum";"Median";"9";"272";"0";"272";"0";"0";"0";"308";"0";"3080";"0";"0";"0"
"Bipartite";"Median";"Minimal";"9";"256";"0";"256";"0";"0";"0";"279";"0";"2790";"0";"0";"0"
"Bipartite";"Median";"Maximum";"9";"272";"0";"272";"0";"0";"0";"308";"0";"3080";"0";"0";"0"
"Bipartite";"Median";"Median";"9";"264";"0";"264";"0";"0";"0";"289";"0";"2890";"0";"0";"0"
