"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"13";"494";"1";"7";"120";"287";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"0.4";"1";"13";"255";"0";"7";"45";"125";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"0.7";"1";"13";"154";"0";"7";"20";"62";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"1.0";"1";"13";"134";"0";"7";"8";"50";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"1.3";"1";"13";"67";"0";"7";"4";"18";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"1.6";"1";"13";"67";"0";"7";"4";"18";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"1.9";"1";"13";"67";"0";"7";"4";"18";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"2.2";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"2.5";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"2.8";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"3.1";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"3.4";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"3.7";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"4.0";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"4.3";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"4.6";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"4.9";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"5.2";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"5.5";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"5.8";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"6.1";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"6.4";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"6.7";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"7.0";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"7.3";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"7.6";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"7.9";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"8.2";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"8.5";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"8.8";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"9.1";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"9.4";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"0";"9.7";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"1";"dynamic";"1";"13";"73";"0";"7";"5";"19";"0";"36";"0";"360";"0";"0";"0"
"0";"1";"0.1";"1";"13";"494";"0";"7";"120";"287";"0";"36";"0";"360";"0";"0";"0"
"0";"1";"0.4";"1";"13";"255";"0";"7";"45";"125";"0";"36";"0";"360";"0";"0";"0"
