"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"13";"1428";"0";"1276";"15";"42";"0";"613";"0";"6130";"0";"0";"0"
"Random";"Minimal";"Minimal";"13";"651";"0";"461";"20";"60";"0";"155";"0";"1550";"0";"0";"0"
"Random";"Minimal";"Maximum";"13";"710";"0";"470";"31";"80";"0";"185";"0";"1850";"0";"0";"0"
"Random";"Minimal";"Median";"14";"20";"0";"1";"0";"2";"0";"1";"0";"10";"0";"0";"0"
"Random";"Maximum";"Minimal";"13";"681";"0";"465";"29";"69";"0";"174";"0";"1740";"0";"0";"0"
"Random";"Maximum";"Maximum";"13";"714";"0";"579";"13";"41";"0";"227";"0";"2270";"0";"0";"0"
"Random";"Maximum";"Median";"13";"596";"0";"528";"6";"20";"0";"186";"0";"1860";"0";"0";"0"
"Random";"Median";"Minimal";"13";"673";"0";"467";"27";"74";"0";"162";"0";"1620";"0";"0";"0"
"Random";"Median";"Maximum";"13";"549";"0";"520";"2";"8";"0";"196";"0";"1960";"0";"0";"0"
"Random";"Median";"Median";"13";"864";"0";"496";"71";"127";"0";"165";"0";"1650";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"13";"100";"0";"4";"7";"26";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"13";"154";"0";"7";"8";"43";"0";"36";"0";"360";"0";"0";"0"
"Greedy";"Minimal";"Median";"13";"147";"0";"6";"10";"39";"0";"4";"0";"40";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"13";"154";"0";"7";"8";"43";"0";"36";"0";"360";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"13";"245";"0";"224";"0";"1";"0";"246";"0";"2460";"0";"0";"0"
"Greedy";"Maximum";"Median";"13";"207";"0";"31";"11";"54";"0";"51";"0";"510";"0";"0";"0"
"Greedy";"Median";"Minimal";"13";"87";"0";"6";"3";"21";"0";"4";"0";"40";"0";"0";"0"
"Greedy";"Median";"Maximum";"13";"207";"1";"31";"11";"54";"0";"51";"0";"510";"0";"0";"0"
"Greedy";"Median";"Median";"13";"104";"0";"27";"2";"19";"0";"22";"0";"220";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"13";"822";"0";"792";"0";"9";"0";"616";"0";"6160";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"13";"851";"0";"840";"0";"4";"0";"745";"0";"7450";"0";"0";"0"
"Bipartite";"Minimal";"Median";"13";"825";"0";"795";"0";"8";"0";"618";"0";"6180";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"13";"851";"0";"840";"0";"4";"0";"745";"0";"7450";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"13";"1485";"0";"1441";"6";"13";"0";"938";"0";"9380";"0";"0";"0"
"Bipartite";"Maximum";"Median";"13";"914";"0";"880";"1";"12";"0";"709";"0";"7090";"0";"0";"0"
"Bipartite";"Median";"Minimal";"13";"895";"0";"792";"7";"31";"0";"616";"0";"6160";"0";"0";"0"
"Bipartite";"Median";"Maximum";"13";"927";"0";"882";"3";"14";"0";"775";"0";"7750";"0";"0";"0"
"Bipartite";"Median";"Median";"13";"869";"0";"806";"3";"23";"0";"619";"0";"6190";"0";"0";"0"
