"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Minimal";"Minimal";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Minimal";"Maximum";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Minimal";"Median";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Maximum";"Minimal";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Maximum";"Maximum";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Maximum";"Median";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Median";"Minimal";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Median";"Maximum";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Random";"Median";"Median";"11";"19";"0";"18";"0";"0";"0";"28";"0";"280";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"11";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Minimal";"Median";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Maximum";"Median";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Median";"Minimal";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Median";"Maximum";"11";"34";"0";"34";"0";"0";"0";"125";"0";"1250";"0";"0";"0"
"Bipartite";"Median";"Median";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
