"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"10";"63";"0";"47";"0";"5";"0";"48";"0";"480";"0";"0";"0"
"Random";"Minimal";"Minimal";"10";"36";"0";"33";"0";"1";"0";"24";"0";"240";"0";"0";"0"
"Random";"Minimal";"Maximum";"10";"50";"0";"33";"0";"6";"0";"24";"0";"240";"0";"0";"0"
"Random";"Minimal";"Median";"10";"40";"0";"34";"0";"2";"0";"25";"0";"250";"0";"0";"0"
"Random";"Maximum";"Minimal";"10";"39";"0";"33";"0";"2";"0";"24";"0";"240";"0";"0";"0"
"Random";"Maximum";"Maximum";"10";"67";"0";"32";"0";"12";"0";"23";"0";"230";"0";"0";"0"
"Random";"Maximum";"Median";"10";"50";"0";"35";"0";"5";"0";"27";"0";"270";"0";"0";"0"
"Random";"Median";"Minimal";"10";"40";"0";"34";"0";"2";"0";"25";"0";"250";"0";"0";"0"
"Random";"Median";"Maximum";"10";"81";"0";"35";"0";"15";"0";"27";"0";"270";"0";"0";"0"
"Random";"Median";"Median";"10";"40";"0";"33";"0";"2";"0";"25";"0";"250";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Minimal";"Median";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Maximum";"Median";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Minimal";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Maximum";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greedy";"Median";"Median";"10";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"10";"68";"0";"60";"0";"3";"0";"100";"0";"1000";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"10";"68";"0";"60";"0";"3";"0";"101";"0";"1010";"0";"0";"0"
"Bipartite";"Minimal";"Median";"10";"68";"0";"60";"0";"3";"0";"100";"0";"1000";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"10";"65";"0";"60";"0";"2";"0";"101";"0";"1010";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"10";"71";"0";"71";"0";"0";"0";"124";"0";"1240";"0";"0";"0"
"Bipartite";"Maximum";"Median";"10";"65";"0";"62";"0";"1";"0";"104";"0";"1040";"0";"0";"0"
"Bipartite";"Median";"Minimal";"10";"68";"0";"60";"0";"3";"0";"100";"0";"1000";"0";"0";"0"
"Bipartite";"Median";"Maximum";"10";"67";"0";"62";"0";"2";"0";"104";"0";"1040";"0";"0";"0"
"Bipartite";"Median";"Median";"10";"61";"0";"61";"0";"0";"0";"101";"0";"1010";"0";"0";"0"
