"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"42";"3798";"2";"4";"59";"1248";"0";"6";"0";"60";"1";"7";"80"
"Random";"Minimal";"Minimal";"42";"2547";"0";"368";"6";"729";"0";"83";"0";"830";"0";"0";"0"
"Random";"Minimal";"Maximum";"42";"3282";"2";"383";"11";"961";"0";"87";"0";"870";"0";"0";"0"
"Random";"Minimal";"Median";"42";"1331";"0";"383";"0";"316";"0";"88";"0";"880";"0";"0";"0"
"Random";"Maximum";"Minimal";"42";"3749";"1";"382";"40";"1105";"0";"88";"0";"880";"0";"0";"0"
"Random";"Maximum";"Maximum";"42";"2802";"2";"6";"17";"912";"0";"8";"0";"80";"2";"7";"90"
"Random";"Maximum";"Median";"42";"3066";"1";"444";"5";"835";"0";"108";"0";"1080";"0";"0";"0"
"Random";"Median";"Minimal";"42";"1930";"0";"387";"0";"512";"0";"88";"0";"880";"0";"0";"0"
"Random";"Median";"Maximum";"42";"3749";"1";"382";"40";"1105";"0";"90";"0";"900";"1";"7";"80"
"Random";"Median";"Median";"42";"2782";"0";"413";"0";"785";"0";"97";"0";"970";"0";"0";"0"
"Greedy";"Minimal";"Minimal";"42";"4169";"2";"3";"44";"1367";"0";"2";"0";"20";"0";"0";"0"
"Greedy";"Minimal";"Maximum";"42";"2802";"1";"6";"17";"912";"0";"6";"0";"60";"0";"0";"0"
"Greedy";"Minimal";"Median";"42";"3798";"2";"4";"59";"1248";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Maximum";"Minimal";"42";"3631";"2";"6";"42";"1174";"0";"6";"0";"60";"0";"0";"0"
"Greedy";"Maximum";"Maximum";"42";"1534";"0";"22";"2";"494";"0";"23";"0";"230";"0";"0";"0"
"Greedy";"Maximum";"Median";"42";"4807";"2";"10";"21";"1568";"0";"10";"0";"100";"0";"0";"0"
"Greedy";"Median";"Minimal";"42";"4411";"2";"4";"54";"1447";"0";"3";"0";"30";"0";"0";"0"
"Greedy";"Median";"Maximum";"42";"5070";"2";"10";"29";"1669";"0";"9";"0";"90";"0";"0";"0"
"Greedy";"Median";"Median";"42";"3091";"1";"9";"13";"995";"0";"6";"0";"60";"0";"0";"0"
"Bipartite";"Minimal";"Minimal";"42";"4563";"2";"956";"12";"1148";"0";"1579";"0";"15790";"0";"0";"0"
"Bipartite";"Minimal";"Maximum";"42";"4545";"1";"972";"9";"1187";"0";"1591";"0";"15910";"0";"0";"0"
"Bipartite";"Minimal";"Median";"42";"5863";"1";"962";"4";"1632";"0";"1585";"0";"15850";"0";"0";"0"
"Bipartite";"Maximum";"Minimal";"42";"4022";"1";"977";"3";"1016";"0";"1592";"0";"15920";"0";"0";"0"
"Bipartite";"Maximum";"Maximum";"42";"3691";"1";"1066";"33";"852";"0";"1627";"0";"16270";"0";"0";"0"
"Bipartite";"Maximum";"Median";"42";"3112";"1";"1046";"0";"690";"0";"1613";"0";"16130";"0";"0";"0"
"Bipartite";"Median";"Minimal";"42";"4754";"2";"971";"6";"1254";"0";"1585";"0";"15850";"0";"0";"0"
"Bipartite";"Median";"Maximum";"42";"5374";"1";"1023";"46";"1444";"0";"1617";"0";"16170";"0";"0";"0"
"Bipartite";"Median";"Median";"42";"3955";"1";"999";"11";"983";"0";"1596";"0";"15960";"0";"0";"0"
