"init";"source";"destination";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"Scratch";"";"";"12";"6017";"0";"5677";"0";"69";"0";"1469";"0";"14690";"6";"152";"1580"
"Random";"Minimal";"Minimal";"11";"14245";"2";"994";"951";"4166";"0";"184";"0";"1840";"13";"246";"2590"
"Random";"Minimal";"Maximum";"12";"1169";"0";"1007";"0";"39";"0";"224";"0";"2240";"2";"79";"810"
"Random";"Minimal";"Median";"11";"3812";"0";"1055";"53";"682";"0";"198";"0";"1980";"11";"209";"2200"
"Random";"Maximum";"Minimal";"12";"1267";"0";"1006";"2";"62";"0";"226";"0";"2260";"4";"107";"1110"
"Random";"Maximum";"Maximum";"12";"1631";"0";"1405";"3";"57";"0";"325";"0";"3250";"5";"160";"1650"
"Random";"Maximum";"Median";"11";"13369";"2";"1350";"671";"3535";"0";"302";"0";"3020";"14";"222";"2360"
"Random";"Median";"Minimal";"11";"5760";"0";"1024";"164";"1254";"0";"191";"0";"1910";"15";"257";"2720"
"Random";"Median";"Maximum";"12";"1356";"0";"1183";"4";"48";"0";"270";"0";"2700";"5";"175";"1800"
"Random";"Median";"Median";"11";"28049";"5";"1272";"2623";"9070";"0";"248";"0";"2480";"14";"160";"1740"
"Greedy";"Minimal";"Minimal";"11";"4341";"0";"97";"134";"1049";"0";"70";"0";"700";"11";"248";"2590"
"Greedy";"Minimal";"Maximum";"11";"6569";"1";"111";"222";"1688";"0";"91";"0";"910";"12";"213";"2250"
"Greedy";"Minimal";"Median";"11";"1006";"0";"92";"7";"168";"0";"73";"0";"730";"12";"275";"2870"
"Greedy";"Maximum";"Minimal";"11";"7451";"1";"111";"265";"1993";"0";"93";"0";"930";"12";"249";"2610"
"Greedy";"Maximum";"Maximum";"11";"18707";"3";"180";"1416";"5845";"0";"151";"0";"1510";"13";"209";"2220"
"Greedy";"Maximum";"Median";"11";"10795";"2";"164";"449";"2945";"0";"133";"0";"1330";"14";"238";"2520"
"Greedy";"Median";"Minimal";"11";"21898";"4";"91";"1875";"7120";"0";"74";"0";"740";"11";"140";"1510"
"Greedy";"Median";"Maximum";"12";"579";"0";"107";"4";"81";"0";"103";"0";"1030";"4";"129";"1330"
"Greedy";"Median";"Median";"11";"14161";"2";"152";"893";"4176";"0";"114";"0";"1140";"13";"218";"2310"
"Bipartite";"Minimal";"Minimal";"12";"1897";"0";"1803";"0";"23";"0";"928";"0";"9280";"7";"189";"1960"
"Bipartite";"Minimal";"Maximum";"11";"6973";"0";"2065";"122";"1240";"0";"998";"0";"9980";"11";"214";"2250"
"Bipartite";"Minimal";"Median";"12";"1987";"0";"1879";"1";"23";"0";"953";"0";"9530";"4";"137";"1410"
"Bipartite";"Maximum";"Minimal";"11";"20674";"3";"2103";"1516";"5981";"0";"1007";"0";"10070";"14";"181";"1950"
"Bipartite";"Maximum";"Maximum";"11";"56167";"10";"2566";"7123";"20239";"0";"1125";"0";"11250";"15";"15";"300"
"Bipartite";"Maximum";"Median";"11";"18129";"2";"2398";"981";"4807";"0";"1069";"0";"10690";"9";"225";"2340"
"Bipartite";"Median";"Minimal";"11";"8648";"1";"2049";"184";"1722";"0";"973";"0";"9730";"14";"283";"2970"
"Bipartite";"Median";"Maximum";"11";"17070";"3";"2333";"909";"4468";"0";"1078";"0";"10780";"10";"180";"1900"
"Bipartite";"Median";"Median";"11";"40445";"6";"2192";"4302";"13673";"0";"1016";"0";"10160";"16";"123";"1390"
